hist=modern
a cause=à cause
à l envy=à l’envi
à lors=alors
a mesme=en même
a quoy=à quoi
a t elle=a-t-elle
a t il=a-t-il
a t on=a-t-on
au parauant=auparavant
aage=âge
aagé=âgé
aagées=âgées
aagez=âgés
abaissee=abaissée
abaissemens=abaissements
abaissoient=abaissaient
abaissoit=abaissait
abandonnants=abandonnant
abandonnerent=abandonnèrent
abandonneroit=abandonnerait
abandonneroyent=abandonneraient
abandonnoient=abandonnaient
abandonnois=abandonnais
abandonnoit=abandonnait
abatant=abattant
abate=abatte
abatis=abattis
abatit=abattit
abatoient=abattaient
abatre=abattre
abattoit=abattait
abatu=abattu
abatuë=abattue
abatus=abattus
abbaissa=abaissa
abbaisse=abaisse
abbaissoient=abaissaient
abbat=abat
abbatant=abattant
abbatirent=abattirent
abbatoit=abattait
abbattement=abattement
abbattirent=abattirent
abbattus=abattus
abbatu=abattu
abboyer=aboyer
abbregé=abrégé
abbreger=abréger
abbreuvé=abreuvé
abbyssinie=abyssinie
abcisse=abscisse
abcisses=abscisses
abdere=abdère
abderitains=abdéritains
abesse=abbesse
abesseray=abaisserai
abhore=abhorre
abhorer=abhorrer
abhorrerois=abhorrerais
abiect=abject
abille=habile
abisme=abîme
abissins=abyssins
abjet=abject
abōdance=abondance
aboiemens=aboiements
abolitionisme=abolitionnisme
abondans=abondants
abondoient=abondaient
abondoit=abondait
abordasmes=abordâmes
aborderent=abordèrent
aborderẽt=abordèrent
aborderoient=aborderaient
aborderoit=aborderait
abordoient=abordaient
aboucherent=abouchèrent
aboutiroit=aboutirait
aboutissoient=aboutissaient
aboutissoit=aboutissait
aboyement=aboiement
abrege=abrège
abregé=abrégé
abregent=abrègent
abreger=abréger
abreuvoit=abreuvait
abricôs=abricots
abry=abri
abscurdité=absurdité
absens=absents
absentois=absentais
absoluë=absolue
absolüe=absolue
absoluës=absolues
absorboit=absorbait
abstenoit=abstenait
abstiendroient=abstiendraient
abstiendrois=abstiendrais
abstiendroit=abstiendrait
absurditez=absurdités
abusee=abusée
abuserent=abusèrent
abuseroient=abuseraient
abusoient=abusaient
abusoit=abusait
abyme=abîme
abymé=abîmé
abymée=abîmée
abymées=abîmées
abymer=abîmer
abymèrent=abîmèrent
abymerions=abîmerions
abymes=abîmes
abymés=abîmés
abysme=abîme
acable=accable
academicienne=académicienne
academiciens=académiciens
academie=académie
academies=académies
academistes=académistes
accablans=accablants
accablast=accablât
accableroient=accableraient
accableroit=accablerait
accabloient=accablaient
accablois=accablais
accabloit=accablait
accedoit=accédait
accélere=accélère
accéléroit=accélérait
accens=accents
acceptasmes=acceptâmes
accepterent=acceptèrent
accepteroit=accepterait
acceptoient=acceptaient
acceptois=acceptais
acceptoit=acceptait
acceßible=accessible
accez=accès
accidens=accidents
accommodans=accommodants
accommodast=accommoda
accommoderent=accommodèrent
accommodoit=accommodait
accomode=accommode
