original,modernisé,commentaire
dontles,dont les,erreur OCR
sçene,scène,
toutce,tout ce,erreur OCR
fontenoy,fontenoy,nom propre
nageois,nageais,
redevenoient,redevenaient,
persannes,persanes,
monnoyeurs,monnayeurs,
bowl,bowl,langue étrangère
silentieux,silencieux,
delaniga,delaniga,nom propre
lecomte,lecomte,nom propre
prénoit,prenait,
rapsodies,rapsodies,correct
aggrandir,agrandir,
notte,notte,ambigu: notre ou note
eskimaux,eskimos,
substanter,sustenter,
chérissoient,chérissaient,
fentimens,sentimens,erreur OCR
ij,ij,erreur OCR
parvinmes,parvînmes,
danserent,dansèrent,
recu,reçu,
saluerent,saluèrent,
passionément,passionnément,
lagarde,lagarde,nom propre
abrége,abrège,
intriguante,intrigante,
attribuerent,attribuèrent,
filoit,filait,
benedicite,benedicite,langue étrangère
trèsconsidérable,très considérable,erreur OCR
interessante,intéressante,
inéxorable,inexorable,
joûte,joute,
jouïssances,jouissances,
bonaventure,bonaventure,nom propre
gentilhommes,gentilshommes,
frissonnois,frissonnais,
gnomide,gnomide,nom propre
deloyal,déloyal,
disje,dis-je,
cassel,cassel,nom propre
concus,conçus,
audevant,au-devant,
décachète,décachette,
confluente,confluent,
débarassé,débarrassé,
bocoup,bocoup,effet de style
autentique,authentique,
enleverez,enlèverez,
corrigeroit,corrigerait,
nesont,ne sont,erreur OCR
sauveroit,sauverait,
mocqua,moqua,
chézales,chézales,nom propre
projetta,projeta,
naxien,naxien,nom propre
pyrenées,pyrenées,nom propre
calmoient,calmaient,
propôsé,proposé,
xcii,xcii,chiffres
jele,je le,erreur OCR
colunce,colunce,nom propre
dévouoit,dévouait,
convenois,convenais,
sandal,santal,
tongri,tongri,nom propre
marchames,marchâmes,
remené,ramené,
plusque,plus que,
champlong,champlong,nom propre
hellequins,hellequins,nom propre
éxact,exact,
nérons,nérons,nom propre
étoufferent,étouffèrent,
refléxion,réflexion,
doucinet,doucinet,nom propre
flatterent,flattèrent,
orfoy,orfoy,nom propre
pazzi,pazzi,nom propre
possedes,possèdes,
sanglotte,sanglote,
desirera,désirera,
goûterent,goûtèrent,
disparoitre,disparaître,
barbades,barbades,nom propre
salloit,falloit,erreur OCR
épics,épis,
hazardait,hasardait,
pardonnezmoi,pardonnez-moi,
dîs,dis,
berle,berle,nom propre
epreuves,épreuves,
élisée,élisée,nom propre
dédomager,dédommager,
ménaces,menaces,
adorerois,adorerais,
sutlumé,sutlumé,nom propre
pardine,pardine,correct
jusqueslà,jusque là,
aureste,au reste,
traverserent,traversèrent,
visigoths,wisigoths,
sibien,si bien,
cannarins,cannarins,nom propre
epargnez,épargnez,
pilade,pilade,pas clair
detout,de tout,erreur OCR
certe,certes,
scait,sait,
chancas,chancas,nom propre
arbal,arbal,nom propre
séverité,sévérité,
voïe,voie,
déposerois,déposerais,
blomar,blomar,nom propre
inflüer,influer,
gaures,gaures,nom propre
decharlemagne,de charlemagne,erreur OCR
dissimulâtion,dissimulation,
conquerans,conquérants,
écriat,écria-t,
profiterois,profiterais,
pasmoins,pas moins,erreur OCR
aggresseur,agresseur,
dérobois,dérobais,
contentois,contentais,
méprisans,méprisants,
ecritures,écritures,
écrivîsse,écrivisse,
sollicitâtions,sollicitations,
roûgis,rougis,
crüauté,cruauté,
renouveloient,renouvelaient,
élévera,élèvera,
convelouté,convelouté,nom propre
justiffier,justifier,
scênes,scènes,
ménageois,ménageais,
éxactement,exactement,
honête,honnête,
féte,fête,
viédas,viédas,nom propre
fîssiez,fissiez,
flottois,flottais,
coûtois,coûtais,
ôser,oser,
gâgné,gagné,
moïens,moyens,
allarma,alarma
nautonnier,nautonier,
grouppes,groupes,
gémissans,gémissants,
échapée,échappée,
quelquesois,quelquefois,erreur OCR
georgienne,géorgienne,
flattâsse,flattasse,
refrogné,renfrogné,
échoüer,échouer,
independans,indépendants,
éxigeoit,exigeait,
spolette,spolette,nom propre
prétendrois,prétendrais,
cavette,cavette,correct
galeram,galeram,nom propre
esclâve,esclave,
réverie,rêverie,
forçois,forçais,
plaçois,plaçais,
recevroient,recevraient,
voyageois,voyageais,
obligâtions,obligations,
staurace,staurace,nom propre
négociâtion,négociation,
waring,waring,nom propre
profiteroit,profiterait,
taïfilé,taïfilé,nom propre
geoliers,geôliers,
accepterois,accepterais,
queq,queq,effet de style
cazerne,caserne,
sequelle,séquelle,
ensévelis,ensevelis,
farnel,farnel,nom propre
remplirois,remplirais,
monpère,mon père,erreur OCR
erzerum,erzerum,nom propre
agaçans,agaçants,
enconneur,enconneur,effet de style
fuye,fuie,
hartrade,hartrade,nom propre
herat,herat,nom propre
lanature,la nature,erreur OCR
thiare,tiare,
balançois,balançais,
réüssite,réussite,
éxigez,exigez,
retrouvoient,retrouvaient,
exciteroit,exciterait,
succédés,succédé,
abbatre,abattre,
rârement,rarement,
fûssé,fussé,
désesperoit,désespérait,
mîsse,mette,
intéressois,intéressais,
évenements,évènements,
ferabath,ferabath,nom propre
mouvans,mouvants,
desirerait,désirerait,
brachmanes,brahmanes,
agitâtion,agitation,
abacaba,abacaba,nom propre
apperçusse,aperçusse,
