,item.value,name,full_w
108,http://data.mimotext.uni-trier.de/entity/Q2567,Ducray_Victor,https://github.com/MiMoText/roman18/blob/master/XML-TEI/files/Ducray_Victor.xml
109,http://data.mimotext.uni-trier.de/entity/Q2567,Ducray_Victor,https://github.com/MiMoText/roman18/blob/master/plain/files/Ducray_Victor.txt
110,http://data.mimotext.uni-trier.de/entity/Q2586,Ripault_Journee,https://github.com/MiMoText/roman18/blob/master/XML-TEI/files/Ripault_Journee.xml
111,http://data.mimotext.uni-trier.de/entity/Q2586,Ripault_Journee,https://github.com/MiMoText/roman18/blob/master/plain/files/Ripault_Journee.txt
112,http://data.mimotext.uni-trier.de/entity/Q2615,Genlis_Emigres,https://github.com/MiMoText/roman18/blob/master/XML-TEI/files/Genlis_Emigres.xml
113,http://data.mimotext.uni-trier.de/entity/Q2615,Genlis_Emigres,https://github.com/MiMoText/roman18/blob/master/plain/files/Genlis_Emigres.txt
114,http://data.mimotext.uni-trier.de/entity/Q2693,Souza_Emilie,https://github.com/MiMoText/roman18/blob/master/XML-TEI/files/Souza_Emilie.xml
115,http://data.mimotext.uni-trier.de/entity/Q2693,Souza_Emilie,https://github.com/MiMoText/roman18/blob/master/plain/files/Souza_Emilie.txt
116,http://data.mimotext.uni-trier.de/entity/Q2730,Chaussard_Diable,https://github.com/MiMoText/roman18/blob/master/XML-TEI/files/Chaussard_Diable.xml
117,http://data.mimotext.uni-trier.de/entity/Q2730,Chaussard_Diable,https://github.com/MiMoText/roman18/blob/master/plain/files/Chaussard_Diable.txt
118,http://data.mimotext.uni-trier.de/entity/Q2744,Ducray_Coelina,https://github.com/MiMoText/roman18/blob/master/XML-TEI/files/Ducray_Coelina.xml
119,http://data.mimotext.uni-trier.de/entity/Q2744,Ducray_Coelina,https://github.com/MiMoText/roman18/blob/master/plain/files/Ducray_Coelina.txt
120,http://data.mimotext.uni-trier.de/entity/Q3989,Voltaire_Eloge,https://github.com/MiMoText/roman18/blob/master/XML-TEI/files/Voltaire_Eloge.xml
121,http://data.mimotext.uni-trier.de/entity/Q3989,Voltaire_Eloge,https://github.com/MiMoText/roman18/blob/master/plain/files/Voltaire_Eloge.txt
