,LOC,PER
Dorat_Sacrifices.txt,"[(('Adieu', 'LOC'), 24), (('Paris', 'LOC'), 20), (('Ô', 'LOC'), 11), (('Senanges', 'LOC'), 9), (('Plaignez', 'LOC'), 4)]","[(('Madame De Senanges', 'PER'), 224), (('Combien', 'PER'), 39), (('Ah', 'PER'), 36), ((""Madame D'Ercy"", 'PER'), 31), (('M De Valois', 'PER'), 17)]"
Tiphaigne_Galligenes.txt,"[(('Galligènes', 'LOC'), 87), (('Alcine', 'LOC'), 49), (('République', 'LOC'), 27), (('Almont', 'LOC'), 22), (('Europe', 'LOC'), 19)]","[(('Duncan', 'PER'), 90), (('Montmor', 'PER'), 51), (('Almont', 'PER'), 10), (('Magistrats', 'PER'), 6), (('Alcine', 'PER'), 6)]"
Loaisel_Ainsi.txt,"[(('Eugénie', 'LOC'), 65), (('Adieu', 'LOC'), 22), (('Paris', 'LOC'), 12), (('Strasbourg', 'LOC'), 8), (('S', 'LOC'), 6)]","[(('Madame De V', 'PER'), 65), (('Madame De V.', 'PER'), 11), (('Comte De P.', 'PER'), 9), (('Mes', 'PER'), 7), (('Eugénie', 'PER'), 5)]"
Mercier_An.txt,"[(('État', 'LOC'), 27), (('Paris', 'LOC'), 14), (('François', 'LOC'), 9), ((""l'Europe"", 'LOC'), 8), (('Angleterre', 'LOC'), 7)]","[(('Roi', 'PER'), 7), (('Voltaire', 'PER'), 7), (('François', 'PER'), 6), (('Louis XV', 'PER'), 6), (('Monsieur', 'PER'), 6)]"
Cazotte_Diable.txt,"[(('Alvare', 'LOC'), 14), (('Venise', 'LOC'), 13), (('Estrémadure', 'LOC'), 10), (('Portici', 'LOC'), 7), (('Naples', 'LOC'), 7)]","[(('Biondetta', 'PER'), 74), (('Alvare', 'PER'), 27), (('Marcos', 'PER'), 9), (('Biondetto', 'PER'), 7), (('Soberano', 'PER'), 6)]"
Benouville_Pensees.txt,"[(('Religion', 'LOC'), 35), (('Mérida', 'LOC'), 10), (('Bérénice', 'LOC'), 8), (('Loix', 'LOC'), 7), (('B', 'LOC'), 5)]","[(('Zegri', 'PER'), 33), (('Titus', 'PER'), 21), (('Ciel', 'PER'), 16), (('Dom César', 'PER'), 16), (('Dom Alphonse', 'PER'), 15)]"
LaPlace_Lydia.txt,"[(('Lydia', 'LOC'), 15), (('Dames', 'LOC'), 13), (('Diana', 'LOC'), 11), (('Londres', 'LOC'), 10), (('Milady', 'LOC'), 8)]","[(('Mistris Bernard', 'PER'), 42), (('Lydia', 'PER'), 20), (('Lady Rivers', 'PER'), 13), (('Tom', 'PER'), 7), (('Warwick', 'PER'), 6)]"
Tiphaigne_Amilec.txt,"[(('Amans', 'LOC'), 7), (('Médecin', 'LOC'), 4), (('Vois', 'LOC'), 4), (('Mars', 'LOC'), 4), (('Election des Rois', 'LOC'), 4)]","[(('Amilec', 'PER'), 58), (('Souverain', 'PER'), 5), (('Venus', 'PER'), 4), (('Royal', 'PER'), 4), (('Seigneur Amilec', 'PER'), 3)]"
Mirabeau_Conversion.txt,"[(('Paris', 'LOC'), 9), (('Pardieu', 'LOC'), 7), (('Ô', 'LOC'), 7), (('Vit-au-Conas', 'LOC'), 7), (('Euphrosie', 'LOC'), 7)]","[(('Monsieur', 'PER'), 18), (('Ah', 'PER'), 13), (('Foutre', 'PER'), 12), (('Agathe', 'PER'), 10), (('Madame', 'PER'), 8)]"
Nerciat_Aphrodites.txt,"[(('Durut', 'LOC'), 737), (('La Comtesse', 'LOC'), 119), (('La Marquise', 'LOC'), 114), (('Célestine', 'LOC'), 69), (('Baronne', 'LOC'), 68)]","[(('Celestine', 'PER'), 260), (('Comte', 'PER'), 162), (('Célestine', 'PER'), 92), (('Madame', 'PER'), 83), (('Limecœur', 'PER'), 77)]"
Arnaud_Sentiment.txt,"[(('Nelly', 'LOC'), 126), (('Nancy', 'LOC'), 124), (('Sargines', 'LOC'), 86), (('Sélicourt', 'LOC'), 85), (('Lucie', 'LOC'), 65)]","[(('Batilde', 'PER'), 158), (('Zénothémis', 'PER'), 138), (('Fanny', 'PER'), 135), (('Archambaud', 'PER'), 117), (('Bell', 'PER'), 114)]"
Fourqueux_Zely.txt,"[(('Zély', 'LOC'), 39), (('Nassès', 'LOC'), 30), (('Amour', 'LOC'), 15), (('Epoux', 'LOC'), 11), (('Vieillard', 'LOC'), 9)]","[(('Zély', 'PER'), 67), (('Nassès', 'PER'), 32), (('Victorine', 'PER'), 21), (('Madame', 'PER'), 19), (('Dieux', 'PER'), 18)]"
Crebillon_Nuit.txt,"[(('CIDALISE', 'LOC'), 92), (('Célimene', 'LOC'), 14), (('Oronte', 'LOC'), 11), (('Amant', 'LOC'), 11), (('Luscinde', 'LOC'), 10)]","[(('Madame', 'PER'), 30), (('Clitandre', 'PER'), 26), (('Araminte', 'PER'), 20), (('Monsieur', 'PER'), 15), (('Éraste', 'PER'), 14)]"
Bernardin_Paul.txt,"[(('Virginie', 'LOC'), 200), (('Domingue', 'LOC'), 29), (('France', 'LOC'), 21), (('Bourdonnais', 'LOC'), 20), ((""l'Europe"", 'LOC'), 16)]","[(('Paul', 'PER'), 155), (('Marguerite', 'PER'), 35), (('Marie', 'PER'), 19), (('M.', 'PER'), 17), (('Paul et Virginie', 'PER'), 16)]"
Diderot_Religieuse.txt,"[(('Paris', 'LOC'), 30), (('Longchamp', 'LOC'), 22), (('Sainte-Thérèse', 'LOC'), 20), (('Sainte-Suzanne', 'LOC'), 19), (('Religieuse', 'LOC'), 18)]","[(('Diderot', 'PER'), 36), (('M.', 'PER'), 31), (('Monsieur', 'PER'), 27), (('Madame', 'PER'), 25), (('M. Manouri', 'PER'), 24)]"
Lesuire_Aventurier.txt,"[(('Adélaïde', 'LOC'), 99), (('Paris', 'LOC'), 54), (('Thérésine', 'LOC'), 42), (('Princesse', 'LOC'), 39), (('Couvent', 'LOC'), 31)]","[(('Adélaïde', 'PER'), 167), (('Ciel', 'PER'), 107), (('Artémise', 'PER'), 85), (('Princesse', 'PER'), 80), (('Monsieur', 'PER'), 69)]"
Beckford_Vathek.txt,"[(('Vathek', 'LOC'), 61), (('Gulchenrouz', 'LOC'), 33), (('Morakanabad', 'LOC'), 13), (('Suleïman', 'LOC'), 9), (('Bababalouk', 'LOC'), 6)]","[(('Nouronihar', 'PER'), 84), (('Carathis', 'PER'), 68), (('Bababalouk', 'PER'), 41), (('Vathek', 'PER'), 35), (('Fakreddin', 'PER'), 14)]"
Sade_Aline.txt,"[(('l’', 'LOC'), 404), (('qu’', 'LOC'), 343), (('Léonore', 'LOC'), 177), (('t’', 'LOC'), 163), (('Paris', 'LOC'), 97)]","[(('n’', 'PER'), 1720), (('d’', 'PER'), 848), (('m’', 'PER'), 566), (('Aline', 'PER'), 249), (('Sophie', 'PER'), 153)]"
Lagrave_Sophie.txt,"[(('Adieu', 'LOC'), 74), (('Auterive', 'LOC'), 31), (('Ormilly', 'LOC'), 21), (('Darcy', 'LOC'), 20), (('Dijon', 'LOC'), 20)]","[(('Beauregard', 'PER'), 158), (('M.', 'PER'), 76), (('Sophie', 'PER'), 48), (('Sophie de Beauregard', 'PER'), 35), (('Auterive', 'PER'), 29)]"
Mercier_Jezennemours.txt,"[(('Suzanne', 'LOC'), 12), (('Paris', 'LOC'), 9), (('Strasbourg', 'LOC'), 8), (('Chaterbaune', 'LOC'), 8), (('Europe', 'LOC'), 7)]","[(('Jezennemours', 'PER'), 255), (('Florimonde', 'PER'), 107), (('Suzanne', 'PER'), 87), (('Monval', 'PER'), 75), (('Voltaire', 'PER'), 9)]"
Duclos_Acajou.txt,"[(('Acajou', 'LOC'), 65), (('Zirphile', 'LOC'), 35), (('Ninette', 'LOC'), 24), (('Génie', 'LOC'), 13), (('Princesse', 'LOC'), 8)]","[(('Harpagine', 'PER'), 33), (('Zirphile', 'PER'), 12), (('Ninette', 'PER'), 10), (('Princesse', 'PER'), 9), (('Zobéïde', 'PER'), 6)]"
Arnaud_Matinees.txt,"[(('Dorneuil', 'LOC'), 171), (('Virginie', 'LOC'), 154), (('Blansey', 'LOC'), 79), (('Stéphanie', 'LOC'), 55), (('Talmot', 'LOC'), 29)]","[(('Elisabeth', 'PER'), 78), (('Géminvile', 'PER'), 75), (('Lindley', 'PER'), 70), (('Henry', 'PER'), 55), (('Sinderson', 'PER'), 49)]"
Jacquin_Parisiennes.txt,"[(('Amour', 'LOC'), 49), (('Paris', 'LOC'), 24), (('Mademoiselle', 'LOC'), 20), (('Amant', 'LOC'), 17), (('Gaudricour', 'LOC'), 15)]","[(('Monsieur', 'PER'), 152), (('Madame de Rougeon', 'PER'), 90), (('Mademoiselle de Rougeon', 'PER'), 46), (('Hortence', 'PER'), 34), (('Gavri', 'PER'), 25)]"
Maistre_Voyage.txt,"[(('Aspasie', 'LOC'), 9), (('Alpes', 'LOC'), 4), (('Turin', 'LOC'), 3), (('Rome', 'LOC'), 2), ((""d'Italie"", 'LOC'), 2)]","[(('Joannetti', 'PER'), 20), (('Rosine', 'PER'), 8), (('Raphaël', 'PER'), 7), (('Hippocrate', 'PER'), 6), (('Platon', 'PER'), 5)]"
Sade_120.txt,"[(('Durcet', 'LOC'), 184), (('Curval', 'LOC'), 84), (('Duclos', 'LOC'), 81), (('Rosette', 'LOC'), 46), (('Paris', 'LOC'), 40)]","[(('Curval', 'PER'), 224), (('Duclos', 'PER'), 183), (('Augustine', 'PER'), 87), (('Zelmire', 'PER'), 82), (('Sophie', 'PER'), 80)]"
Retif_AntiJustine.txt,"[(('Traitdamour', 'LOC'), 101), (('Conquette', 'LOC'), 90), (('Vitnègre', 'LOC'), 44), (('Minonne', 'LOC'), 29), (('Guaé', 'LOC'), 25)]","[(('Connette', 'PER'), 49), (('Timori', 'PER'), 35), (('Rosemauve', 'PER'), 28), (('Minonne', 'PER'), 26), (('Fysitère', 'PER'), 22)]"
Puget_Periphas.txt,"[(('Phocide', 'LOC'), 53), (('Athenes', 'LOC'), 45), (('Locriens', 'LOC'), 43), (('Phocéens', 'LOC'), 24), (('Atheniens', 'LOC'), 23)]","[(('Periphas', 'PER'), 280), (('Dieux', 'PER'), 117), (('Apollon', 'PER'), 61), (('Ociroé', 'PER'), 47), (('Phocus', 'PER'), 47)]"
Rousseau_Emile.txt,"[(('Etat', 'LOC'), 34), (('Paris', 'LOC'), 33), (('Emile', 'LOC'), 18), (('Voulez', 'LOC'), 13), ((""l'Europe"", 'LOC'), 11)]","[(('Sophie', 'PER'), 235), (('Emile', 'PER'), 184), (('Émile', 'PER'), 63), (('Combien', 'PER'), 26), (('Télémaque', 'PER'), 15)]"
Fievee_Dot.txt,"[(('Paris', 'LOC'), 24), (('Londres', 'LOC'), 11), (('Saint-Domingue', 'LOC'), 9), (('France', 'LOC'), 6), (('Philadelphie', 'LOC'), 5)]","[(('Suzette', 'PER'), 124), (('M De Senneterre', 'PER'), 27), (('Adolphe', 'PER'), 25), (('Madame Depréval', 'PER'), 25), (('Madame De Senneterre', 'PER'), 18)]"
Anonym_Suzon.txt,"[(('Couvent', 'LOC'), 30), (('Paris', 'LOC'), 13), (('État', 'LOC'), 13), (('Cordelier', 'LOC'), 11), (('Minois', 'LOC'), 11)]","[((""Madame d'Inville"", 'PER'), 27), (('Ambroise', 'PER'), 18), (('Comte', 'PER'), 15), (('Commis', 'PER'), 9), (('Madame', 'PER'), 7)]"
Beauharnais_Lettres.txt,"[(('Stéphanie', 'LOC'), 113), (('Clarence', 'LOC'), 52), (('Rosemont', 'LOC'), 29), (('Adieu', 'LOC'), 23), (('Eléonore', 'LOC'), 18)]","[(('Fernand', 'PER'), 56), (('Madame de Céléria', 'PER'), 53), (('Florizene', 'PER'), 49), (('Sidley', 'PER'), 33), (('Marquise', 'PER'), 27)]"
Prevost_Monde.txt,"[(('Paris', 'LOC'), 45), (('Vienne', 'LOC'), 44), (('Hongrie', 'LOC'), 35), (('Turquie', 'LOC'), 21), (('Constantinople', 'LOC'), 21)]","[(('Mademoiselle Tekely', 'PER'), 196), (('Madame Olasmir', 'PER'), 44), (('Mademoiselle De Créon', 'PER'), 28), (('Mes', 'PER'), 25), (('Lucas', 'PER'), 22)]"
Florian_Galatee.txt,"[(('Téolinde', 'LOC'), 33), (('Artidore', 'LOC'), 31), (('Blanche', 'LOC'), 24), (('Mœris', 'LOC'), 15), (('Florise', 'LOC'), 14)]","[(('Élicio', 'PER'), 103), (('Nisida', 'PER'), 53), (('Timbrio', 'PER'), 49), (('Cervantes', 'PER'), 48), (('Tircis', 'PER'), 32)]"
Boufflers_Reine.txt,"[(('Golconde', 'LOC'), 6), (('Paris', 'LOC'), 3), (('Dinazarde', 'LOC'), 1), (('Molinos', 'LOC'), 1), (('Géorgie', 'LOC'), 1)]","[(('Aline', 'PER'), 24), (('Marquise De Castelmont', 'PER'), 2), (('Madame De Castelmont', 'PER'), 2), (('Arlequin', 'PER'), 1), (('Marc Aurele', 'PER'), 1)]"
Reveroni_Pauliska.txt,"[(('Durand', 'LOC'), 26), (('Ernest', 'LOC'), 22), (('Russes', 'LOC'), 15), (('Ust', 'LOC'), 14), (('Bude', 'LOC'), 12)]","[(('Baron', 'PER'), 84), (('Edvinski', 'PER'), 52), (('Ernest', 'PER'), 43), (('Paolo', 'PER'), 40), (('Ciel', 'PER'), 33)]"
Diderot_Supplement.txt,"[(('B', 'LOC'), 89), (('A', 'LOC'), 50), (('Bougainville', 'LOC'), 13), (('Taïtiens', 'LOC'), 13), (('Taïti', 'LOC'), 6)]","[(('Taïtien', 'PER'), 8), (('Aotourou', 'PER'), 4), (('Asto', 'PER'), 4), (('Palli', 'PER'), 4), (('Combien', 'PER'), 3)]"
