Werk ID	Column	Narrative_Location	Wikdata Id	occurenceInText	Quantity	Property	LOC 2	Wikidata ID2	Quantity2	Property2	LOC3	Wikidata ID 3	Quantity3	narrative_location	LOC 4	Wikidata ID 4	quantity	Property3	LOC 13	Wikidata ID 5	quantity2
Riccoboni_MissJenny.txt	narrative_location	Anglesey		occurenceInText	144	narrative_location	London	Q84	84					narrative_location	Angleterre		19	narrative_location	Irlande		9
Nerciat_Felicia.txt	narrative_location	Aiglemont		occurenceInText	80					narrative_location	Paris	Q90	50					narrative_location	Sydney		31
Diderot_Neveu.txt						narrative_location	Paris	Q90	6					narrative_location	India	Q668	5				
Voltaire_Micromegas.txt						narrative_location	Saturne		13	narrative_location	Sirius		5	narrative_location	Jupiter		5	narrative_location	mer Baltique		3
Constant_Laure1.txt	narrative_location	Verseuil		occurenceInText	9	narrative_location	Orseuil		7												
Leonard_Lettres.txt																		narrative_location	Paris	Q90	10
Montesquieu_Arsace.txt	narrative_location	Ardasire		occurenceInText	29	narrative_location	Aspar		16	narrative_location	Médie		14	narrative_location	Bactriane		13	narrative_location	Hyrcanie		11
Lesuire_Crime.txt	narrative_location	Paris	Q90	occurenceInText	135					narrative_location	Dumoulin		75					narrative_location	Couvent		69
Genlis_Adele.txt	narrative_location	Adieu		occurenceInText	149	narrative_location	Paris	Q90	142					narrative_location	Rome	Q220	43	narrative_location	Languedoc		30
Beaumont_Clarice.txt										narrative_location	London	Q84	37	narrative_location	Doyen		23	narrative_location	Cerin		20
Ducray_Cinquante.txt	narrative_location	Eranville		occurenceInText	97	narrative_location	Paris	Q90	90	narrative_location	Saint-Ange		75	narrative_location	Briceval		73	narrative_location	Linval		44
Genlis_Chevaliers.txt	narrative_location	Armoflède		occurenceInText	240	narrative_location	Nasuf		100	narrative_location	Abassa		86					narrative_location	Ordalie		58
Crebillon_Atheniennes.txt						narrative_location	Athênes		83	narrative_location	Axiochus		80	narrative_location	Thrazylle		75	narrative_location	Grece, Pezë		33
Riccoboni_Histoire.txt						narrative_location	Cressy		38	narrative_location	Elmont		25	narrative_location	Hortense		14				
Puttelange_Roi.txt	narrative_location	Paquantois		occurenceInText	13	narrative_location	Paquans		12	narrative_location	Sire		5	narrative_location	Bagatelle		4	narrative_location	Memphis		3
Marmontel_Belisaire.txt	narrative_location	Tibére		occurenceInText	84	narrative_location	Rome		23	narrative_location	Italie		21	narrative_location	Bélisaire		13	narrative_location	Thrace		9
Senac_Emigre.txt																					
Berquin_Enfants.txt										narrative_location	Firmin		69								
Mirabeau_Rideau.txt														narrative_location	Courbelon		11				
Sade_Justine.txt	narrative_location	Dubois		occurenceInText	71	narrative_location	Cardoville		39	narrative_location	Saint-Florent		31	narrative_location	Lyon		27	narrative_location	Paris	Q90	26
Nerciat_Etourdi.txt	narrative_location	Paris	Q90	occurenceInText	14													narrative_location	Peins		6
Riccoboni_LettresFanni.txt						narrative_location	Betzi		11					narrative_location	London	Q84	4	narrative_location	Pasar Tais		2
Voltaire_Homme.txt	narrative_location	État		occurenceInText	29	narrative_location	Paris	Q90	22	narrative_location	l Europe		12	narrative_location	Rome	Q220	7	narrative_location	England	Q21	6
Marmontel_Contes.txt	narrative_location	Verglan		occurenceInText	36	narrative_location	Hortense		27					narrative_location	Bélise		23	narrative_location	Lubin		23
Voltaire_Candide.txt						narrative_location	Venise		27					narrative_location	Bulgares		21	narrative_location	Buenos		12
Charriere_Lausanne.txt	narrative_location	London	Q84	occurenceInText	29	narrative_location	Bath		16	narrative_location	Lausanne		15	narrative_location	Caliste		14	narrative_location	Paris	Q90	10
Anonyme_Zoloe.txt						narrative_location	Volsange		33	narrative_location	Lauréda		18	narrative_location	Fessinot		17	narrative_location	Pacôme		13
Louvet_Fin.txt										narrative_location	Paris	Q90	30	narrative_location			24	narrative_location	Brumont		23
Lagrave_Zabeth.txt	narrative_location	Fermon		occurenceInText	107	narrative_location	Saint-Silvain		69					narrative_location	Boulogne		18				
Rosny_Firmin.txt	narrative_location	Paris	Q90	occurenceInText	17					narrative_location	Stainville		15	narrative_location	Thomassin		10				
Sade_Philosophie.txt										narrative_location	Rome		12	narrative_location	Venus	Q313	10				
