filename	au-name	title	au-gender	firsted-yr	printSource-yr	form	spelling	data-capture	token count	size	bgrf	author_wikidata	title_wikidata
Dorat_Malheurs	Claude-Joseph Dorat	Les Malheurs de l'inconstance ou Lettres de la marquise de Circé et du comte de Mirbelle	M	1772	1775	epistolary	historical	semi-automatic transcription	68517	medium	72.19	Q361456	NA
Dorat_Sacrifices	Claude-Joseph Dorat	Les Sacrifices de l’amour	M	1771	1771	epistolary	historical	semi-automatic transcription	75519	medium	71.25	Q361456	NA
Ducray_Cinquante	François Guillaume Ducray-Duminil	Les Cinquante francs de Jeannette, par le Cen Ducray-Duminil	M	1798	1798	heterodiegetic	historical	double keying	72560	medium	99.76	Q2072208	NA
Dulaurens_Compere	Henri-Joseph Dulaurens	Le Compère Mathieu ou les Bigarrures de l'esprit humain	M	1766	1831	homodiegetic	modern	semi-automatic transcription	145307	long	66.21	Q345858	NA
Dulaurens_Imirce	Henri-Joseph Dulaurens	Imirce ou la Fille de nature	M	1765	1922	autodiegetic	modern	OCR	70054	medium	65.21	Q345858	NA
Fievee_Dot	Joseph Fiévée	La Dot de Suzette, ou Histoire de Mme de Senneterre racontée par elle-même	M	1797	1826	heterodiegetic	historical	semi-automatic transcription	33262	short	98.41	Q3184948	Q107275176
Florian_Estelle	Jean-Pierre Claris de Florian	Estelle	M	1788	1838	heterodiegetic	historical	double keying	33714	short	88.53	Q551740	NA
Florian_Galatee	Jean-Pierre Claris de Florian	Galatée	M	1783	1812	heterodiegetic	historical	double keying	21849	short	83.26	Q551740	NA
Florian_Numa	Jean-Pierre Claris de Florian	Numa Pompilius	M	1786	1786	mixed	modern	semi-automatic transcription	71429	medium	86.34	Q551740	NA
Fourqueux_Zely	Marie-Louise Auget de Monthyon, Madame de Fourqueux	Zély	F	1775	1775	heterodiegetic	historical	double keying	25494	short	75.28	Q33141030	NA
Genlis_Adele	Stéphanie Félicité Ducrest de Saint-Aubin de Genlis	Adèle et Théodore	F	1782	1782	epistolary	historical	semi-automatic transcription	262122	long	82.20	Q55037230	NA
Genlis_Chevaliers	Stéphanie Félicité Ducrest de Saint-Aubin de Genlis	Les Chevaliers du cygne	F	1795	1795	heterodiegetic	historical	semi-automatic transcription	193036	long	95.20	Q55037230	NA
Gerard_Comte	Philippe Louis Gérard	Le Comte de Valmont ou les égarements de la raison, lettres recueillies et publiées	M	1774	1775	epistolary	historical	semi-automatic transcription	180258	long	74.15	Q60151324	NA
Gorjy_Voyage	Jean-Claude Gorgy	Nouveau voyage sentimental	M	1791	1791	autodiegetic	historical	double keying	19017	short	84.27	Q15407023	NA
Jacquin_Parisiennes	Armand-Pierre Jacquin	Lettres parisiennes sur le désir d'être heureux	M	1758	1758	epistolary	historical	double keying	61934	medium	58.13	Q60842185	NA
Laclos_Liaisons	Pierre Choderlos de Laclos	Les Liaisons dangereuses	M	1782	1869	epistolary	modern	semi-automatic transcription	147847	long	82.17	Q212476	Q862050
Lagrave_Sophie	Comtesse de Lagrave	Sophie de Beauregard, ou Le véritable amour	F	1798	1798	epistolary	historical	double keying	57935	medium	99.104	NA	NA
Lagrave_Zabeth	Comtesse de Lagrave	Zabeth, ou la Victime de l'ambition	F	1798	1798	heterodiegetic	historical	double keying	73683	medium	99.105	NA	NA
Lavaux_Eusebe	Laveaux, Jean-Charles	Eusèbe, ou les Beaux profits de la vertu dans le siècle où nous vivons	M	1785	1785	heterodiegetic	historical	OCR	29894	short	85.33	Q649330	NA
Leonard_Clementine	Nicolas-Germain Léonard	La Nouvelle Clémentine, ou Lettres de Henriette du Berville	M	1774	1774	epistolary	modern	semi-automatic transcription	13553	short	74.20	Q970715	NA
Leonard_Lettres	Nicolas-Germain Léonard	Lettres de deux amants habitants de Lyon	M	1783	1783	epistolary	historical	double keying	66934	medium	83.31	Q970715	NA
Lesuire_Aventurier	Robert-Martin Lesuire	L'Aventurier François ou Mémoires de Grégoire Merveil	M	1782	1782	autodiegetic	historical	double keying	218774	long	82.27	Q3434367	NA
Lesuire_Crime	Robert-Martin Lesuire	Le crime, ou Lettres originales, contenant les aventures de César de Perlencour	M	1789	1789	epistolary	historical	double keying	178990	long	89.81	Q3434367	NA
Loaisel_Ainsi	Joseph Marie Loaisel de Tréogate	Ainsi finissent les grandes passions, ou les Dernières amours du chevalier de ***	M	1788	1788	epistolary	modern	semi-automatic transcription	69750	medium	87.54bis	Q56062794	NA
Loaisel_Comtesse	Joseph Marie Loaisel de Tréogate	La Comtesse d'Alibre	M	1779	1779	heterodiegetic	historical	double keying	31565	short	79.22	Q56062794	NA
Loaisel_Dolbreuse	Joseph de Loaisel de Tréogate	Dolbreuse ou l'Homme du siècle ramené à la vérité par le sentiment et la raison	M	1783	1783	autodiegetic	modern	semi-automatic transcription	65768	medium	83.33	Q56062794	NA
Louvet_Annee	Jean-Baptiste Louvet de Couvray	Une année dans la vie du chevalier de Faublas	M	1787	1960	autodiegetic	historical	semi-automatic transcription	119518	long	87.56	Q1362457	NA
Louvet_Fin	Jean-Baptiste Louvet de Couvrai	La Fin des amours de Faublas	M	1790	1884	autodiegetic	historical	semi-automatic transcription	73119	medium	90.47	Q1362457	Q91971388
Maistre_Voyage	Xavier de Maistre	Voyage autour de ma chambre	M	1794	1839	autodiegetic	modern	semi-automatic transcription	19704	short	94.8	Q2737006	Q10392559
Marmontel_Belisaire	Jean-François Marmontel	Bélisaire	M	1767	1767	heterodiegetic	modern	semi-automatic transcription	44239	short	67.39	Q379923	Q5005038
Marmontel_Contes	Jean-François Marmontel	Contes moraux	M	1761	1829	heterodiegetic	modern	semi-automatic transcription	130232	long	61.12	Q379923	NA
Marmontel_Incas	Jean-François Marmontel	Les Incas ou la destruction de l'empire du Pérou	M	1777	1777	heterodiegetic	modern	semi-automatic transcription	109917	long	77.50	Q379923	Q106889862
Merard_Bergeries	Anne-Jeanne-Félicité Mérard de Saint-Just	Bergeries et opuscules de Mlle d'Ormoy l'aînée	F	1784	1784	dialogue novel	historical	double keying	19894	short	84.43	Q4252921	NA
Mercier_An	Louis-Sébastien Mercier	L'An deux mille quatre cent quarante, rêve s'il en fut jamais	M	1771	1774	autodiegetic	NA	NA	68158	medium	71.36	Q709670	Q82530
Mercier_Jezennemours	Louis-Sébastien Mercier	Jezennemours : roman dramatique	M	1776	1776	mixed	historical	semi-automatic transcription	78873	medium	76.36	Q709670	NA
Mirabeau_Conversion	Honoré-Gabriel Riqueti de Mirabeau	Ma Conversion ou le Libertin de qualité	M	1783	1801	autodiegetic	modern	semi-automatic transcription	39962	short	83.40	Q218747	NA
Mirabeau_Rideau	Honoré-Gabriel Riqueti de Mirabeau	Le Rideau levé ou l'éducation de Laure	M	1786	1921	autodiegetic	modern	semi-automatic transcription	43539	short	86.51	Q218747	Q19198685
Montesquieu_Arsace	Charles-Louis de Secondat, baron de La Brède et de Montesquieu	Arsace et Isménie : histoire orientale	M	1755	1949	heterodiegetic	historical	semi-automatic transcription	14228	short	83.42	Q15975	NA
Morelly_Naufrage	Étienne-Gabriel Morelly	Naufrage des Iles Flottantes	M	1753	1753	heterodiegetic	historical	double keying	99913	medium	53.26	Q289139	Q56391765
Mouhy_Opuscule	Charles de Fieux chevalier de Mouhy	Opuscule d’un célèbre auteur égyptien, contenant l’histoire d’Orphée par laquelle on pourroit soupçonner qu’il est peu de femmes fidèles	M	1752	NA	mixed	historical	semi-automatic transcription	5306	short	52.35	Q2960572	NA
Nerciat_Aphrodites	Robert-André Andréa de Nerciat	Les Aphrodites	M	1764	1793	dialogue novel	historical	double keying	110529	long	93.16	Q718081	Q3230640
Nerciat_Etourdi	Robert-André Andréa de Nerciat	L'Étourdi	U	1784	1784	autodiegetic	modern	semi-automatic transcription	45727	short	84.50	Q718081	NA
Nerciat_Felicia	Robert-André Andréa de Nerciat	Félicia ou mes Fredaines	M	1775	1778	autodiegetic	modern	semi-automatic transcription	100569	medium	75.37	Q718081	Q20725904
PigaultLebrun_Adele	Charles-Antoine-Guillaume Pigault de l’Epinay, dit Pigault-Lebrun	Adèle et D'Abligny, par Pigault-Lebrun	M	NA	1800	heterodiegetic	historical	semi-automatic transcription	20215	medium	00.119	Q3388279	NA
PigaultLebrun_Kinglin	Charles-Antoine-Guillaume Pigault de l’Epinay, dit Pigault-Lebrun	Monsieur de Kinglin, ou la prescience	M	1800	1823	heterodiegetic	historical	semi-automatic transcription	21942	short	00.122	Q3388279	NA
PigaultLebrun_Metusko	Charles-Antoine-Guillaume Pigault de l’Epinay, dit Pigault-Lebrun	Métusko, ou les polonais	M	1800	1802	heterodiegetic	historical	semi-automatic transcription	19289	short	00.120	Q3388279	0
Popeliniere_Daira	Alexandre Jean Joseph Le Riche de La Popelinière	Daïra. Histoire orientale	M	1761	1761	autodiegetic	historical	double keying	45379	medium	60.21	Q2720200	Q28530619
Prevost_Monde	Antoine François Prévost	Le monde moral,: ou mémoires pour servir à l'histoire du cœur humain	M	1760	1766	autodiegetic	modern	semi-automatic transcription	148056	long	60.28	Q311483	NA
Puget_Periphas	Puget de Saint-Pierre	Les aventures de Periphas, descendant de Cécrops	M	1761	1761	heterodiegetic	historical	double keying	64565	medium	61.17	NA	NA
Quesne_Folies	Jacques Salbigoton Quesné	Les folies d’un conscrit	M	1800	1799	heterodiegetic	historical	semi-automatic transcription	43933	short	00.127	Q3159956	NA
Retif_AntiJustine	Nicolas-Edme Rétif de la Bretonne	L'Anti-Justine	M	1798	1798	autodiegetic	modern	semi-automatic transcription	57064	medium	98.84	Q732729	Q3202134
Retif_Paysan	Nicolas Rétif de la Bretonne	Le Paysan perverti ou les Dangers de la ville	M	1776	1776	epistolary	modern	semi-automatic transcription	227440	long	76.44	Q732729	NA
Retif_Paysanne	Nicolas-Edme Rétif de la Bretonne	La paysanne pervertie ou Les dangers de la ville	M	1784	1784	epistolary	modern	semi-automatic transcription	199461	long	84.58	Q732729	NA
Retif_Sara	Nicolas Rétif de la Bretonne	Histoire de Sara	M	1796	1883	mixed	modern	semi-automatic transcription	65625	medium	83.48	Q732729	NA
Retif_Vie	Nicolas Rétif de la Bretonne	La Vie de mon père	M	1779	1983	heterodiegetic	modern	semi-automatic transcription	57821	medium	79.31	Q732729	NA
Reveroni_Pauliska	Révéroni Saint-Cyr	Pauliska ou la Perversité moderne	M	1798	1798	autodiegetic	modern	semi-automatic transcription	64952	medium	98.85	Q3157878	Q3372783
Riccoboni_Histoire	Marie-Jeanne Riccoboni	Histoire du marquis de Cressy	F	1758	1814	heterodiegetic	modern	semi-automatic transcription	25982	short	58.17	Q3087936	NA
Riccoboni_LettreJuliette	Marie-Jeanne Riccoboni	Lettre de Milady Juliette Catesby à Milady Henriette Campley	F	1759	1759	epistolary	modern	semi-automatic transcription	33221	short	59.22	Q3087936	NA
Riccoboni_LettresAdelaide	Marie-Jeanne Riccoboni	Lettres d'Adelaïde de Dammartin, comtesse de Sancerre, à M. le Comte de Nancé, son ami	F	1767	1818	epistolary	modern	semi-automatic transcription	49408	short	67.44	Q3087936	NA
Riccoboni_LettresFanni	Marie-Jeanne Riccoboni	Lettres de Fanni Butler à Milord Charles Alfred de Caitombridge	F	1757	1757	epistolary	modern	semi-automatic transcription	32027	short	57.12	Q3087936	NA
Riccoboni_MissJenny	Marie-Jeanne Riccoboni	Histoire de Miss Jenny, écrite et envoyée par elle à Miladi, comtesse de Roscomond	F	1764	1818	autodiegetic	historical	semi-automatic transcription	94498	medium	64.39	Q3087936	NA
Riccoboni_MylordRivers	Marie-Jeanne Riccoboni	Lettres de Mylord Rivers à Sir Charles Cardigan	F	1776	1776	epistolary	historical	semi-automatic transcription	49147	short	77.57	Q3087936	NA
Rosny_Firmin	Joseph Rosny	Firmin ou le Jouet de la fortune	M	1798	1798	autodiegetic	modern	semi-automatic transcription	37304	short	98.88	Q52149410	Q57200464
Rousseau_Emile	Jean-Jacques Rousseau	Émile ou de l'éducation	M	1762	1780-1789	autodiegetic	modern	semi-automatic transcription	271453	long	62.33	Q6527	Q913599
Rousseau_Julie	Jean-Jaques Rousseau	Julie, ou La nouvelle Héloïse	M	1761	1774	epistolary	modern	semi-automatic transcription	291120	long	61.18	Q6527	NA
Sacy_Amours	Claude Louis Michel de Sacy	Les Amours de Mirtil	M	1761	1761	heterodiegetic	historical	double keying	13704	short	61.19	Q1096895	NA
Sade_120	Donatien de Sade	Les Cent Vingt Journées de Sodome	M	NA	1904	heterodiegetic	modern	semi-automatic transcription	166024	long	1	Q123867	NA
Sade_Aline	Donatien de Sade	Aline et Valcour ou le roman philosophique	M	1795	1795	epistolary	historical	semi-automatic transcription	297959	short	95.36	Q123867	Q629452
Sade_Infortunes	Donatien de Sade	Les Infortunes de la vertu	M	1787	1787	heterodiegetic	modern	semi-automatic transcription	53703	short	1	Q123867	NA
Sade_Justine	Donatien de Sade	Justine ou les Malheurs de la vertu	M	1791	1791	heterodiegetic	modern	semi-automatic transcription	119412	long	91.42	Q123867	Q1329470
Sade_Philosophie	Donatien de Sade	La Philosophie dans le boudoir	M	1791	1791	dialogue novel	modern	semi-automatic transcription	67671	medium	95.37	Q123867	Q1215417
Saurin_Mirza	Bernard-Joseph Saurin	Mirza et Fatmé, conte indien traduit de l’Arabe	M	1754	1754	heterodiegetic	historical	semi-automatic transcription	27491	medium	54.31	Q822205	0
