,Text in Florian_Galatee,Text in B,Location in Florian_Galatee,Location in B
Marmontel_Incas_0," à sa maîtresse: tous étaient ANIMÉS PAR L'AMOUR ET PAR LA JOIE. 
Les nouveaux mariés ne se f","dessus d'un courage à la fois ANIMÉ PAR L'AMOUR ET PAR LA NATURE. "" à ces mots il tendit les b","(52238, 52271)","(414484, 414518)"
Nerciat_Etourdi_0,"pé comme d'un coup de foudre, JE PARTIS SUR-LE-CHAMP POUR ALLER M'INFORMER moi-même de tous mes malheurs"," me laisser voir mes devoirs. JE PARTIS SUR LE CHAMP POUR ALLER JOINDRE mon père. 
cherche des yeux, ","(103424, 103468)","(27989, 28030)"
Nerciat_Felicia_0,"mpêche de rapporter à ton ami TOUT CE QUI VIENT DE SE PASSER, en mettant le nom de celle q",u'il soit la cause directe de TOUT CE QUI VIENT DE SE PASSER et qu'à cet égard elle ait li,"(71461, 71491)","(36100, 36130)"
Popeliniere_Daira_0,"n qu'il ne pouvait guérir; et CRAIGNANT DE N'AVOIR PAS LE TEMPS DE finir son ouvrage, il augment","ue j'en frémis, etamp; que je CRAIGNIS DE N'AVOIR PAS LE TEMPS DE le sauver. Je le mis sur mon ","(12502, 12538)","(14980, 15015)"
Prevost_Manon_0,"ule, et leur fit le détail de TOUT CE QUI LUI ÉTAIT ARRIVÉ DEPUIS leur séparation. Ce récit fut","u fait. » Elle m'apprit alors TOUT CE QUI LUI ÉTAIT ARRIVÉ DEPUIS qu'elle avait trouvé G M , qu","(102615, 102650)","(232476, 232511)"
Retif_Paysanne_0, aurait dû me sauver „la vie; MAIS LA VOLONTÉ DE DIEU SOIT „FAITE! Votre excellence saura du mo," nous ont bien surpris, ici ! MAIS LA VOLONTÉ DE DIEU SOIT FAITE, et ce qui est fait et approu","(13491, 13526)","(32724, 32758)"
Rousseau_Julie_0,"au tout ce qu'elle contenait; DES LARMES DE JOIE COULENT DE SES YEUX: et la bergère, embarrassée d", être gaie. Souvent on voyait DES LARMES DE JOIE COULER DE SES YEUX; elle contemplait sa cousine ,"(29651, 29689)","(1237337, 1237374)"
Sade_Aline_0,", et une vaine réconnaissance EST TOUT CE QUE JE PUIS VOUS offrir. Vous pouvez nous raco"," passés à des collatéraux … c’EST TOUT CE QUE JE PUIS VOUS dire, qui que ce fut que vous","(61177, 61205)","(273076, 273104)"
Sade_Philosophie_0,", et une vaine réconnaissance EST TOUT CE QUE JE PUIS VOUS offrir. Vous pouvez nous raco","e vous ferez sera bienfait, c'EST TOUT CE QUE JE PUIS VOUS dire ; elle va suivre ma lett","(61177, 61205)","(343584, 343612)"
Senac_Emigre_0,"vu: il cacha ce funeste métal DANS LES ENTRAILLES DE LA TERRE; ET, non content de combler le pr","'offre des métaux à demi-forméS DANS LES ENTRAILLES DE LA TERRE, et quelques changement success","(85730, 85765)","(435033, 435068)"
