,Text in Montesquieu_Arsace,Text in B,Location in Montesquieu_Arsace,Location in B
Loaisel_Ainsi_0,"el amour donne un air riant à TOUT CE QUI NOUS ENTOURE; ET QUE, PARCE QU'UN OBJET NOUS PLAÎT, IL ORDONNE À TOUTE LA NATURE DE NOUS PLAIRE; IL SEMBLE QU'UN TEL AMOUR SOIT CETTE ENFANCE AIMABLE, DEVANT QUI TOUT SE JOUE, ET QUI SOURIT TOUJOURS. Je sens une espèce de douceu","rte d'influence charmante sur TOUT CE QUI NOUS ENTOURE, ET QUE PARCE QU'UN OBJET NOUS PLAÎT, IL ORDONNE À TOUTE LA NATURE DE NOUS PLAIRE; IL SEMBLE QU'UN TEL AMOUR SOIT CETTE ENFANCE AIMABLE DEVANT QUI TOUT SE JOUE, ET QUI SOURIT TOUJOURS. Nous faisons souvent d'assez","(15844, 16054)","(71698, 71906)"
Loaisel_Ainsi_1,"avec des gens qui le fussent. LE BONHEUR FAUX REND LES HOMMES DURS ET SUPERBES, ET CE BONHEUR NE SE COMMUNIQUE POINT. LE VRAI BONHEUR LES REND DOUX ET SENSIBLES, ET CE BONHEUR SE PARTAGE TOUJOURS. Je me souviens qu'Ardasire f"," avec des gens qui le saient. LE BONHEUR FAUX REND LES HOMMES DURS ET SUPERBES, ET CE BONHEUR NE SE COMMUNIQUE POINT; LE VRAI BONHEUR LES REND DOUX ET SENSIBLES, ET CE BONHEUR SE PARTAGE TOUJOURS. Sans doute que l'effet natur","(17012, 17177)","(75749, 75914)"
