,Text in Rousseau_Julie,Text in B,Location in Rousseau_Julie,Location in B
Rousseau_Emile_0," qu’il n’est qu’un enfant. 
A CONSIDÉRER L’ENFANCE EN ELLE-MÊME, Y A-T-IL AU MONDE UN ÊTRE PLUS FAIBLE, PLUS MISÉRABLE, PLUS À LA MERCI DE TOUT CE QUI L’ENVIRONNE, QUI AIT SI GRAND BESOIN DE PITIÉ, d’amour, de protection, qu’u","; bave pour toute réponse. 
A CONSIDÉRER L'ENFANCE EN ELLE-MÊME, Y A-T-IL AU MONDE UN ÊTRE PLUS FAIBLE, PLUS MISÉRABLE, PLUS À LA MERCI DE TOUT CE QUI L'ENVIRONNE, QUI AIT SI GRAND BESOIN DE PITIÉ, de soins, de protection, qu'","(1167487, 1167653)","(155728, 155894)"
Rousseau_Emile_1," ce qu’il entend le frappe et IL S’EN SOUVIENT; IL TIENT REGISTRE EN LUI-MÊME DES ACTIONS, DES DISCOURS DES HOMMES; ET TOUT CE QUI L’ENVIRONNE EST LE LIVRE DANS LEQUEL, SANS Y SONGER, IL ENRICHIT CONTINUELLEMENT SA MÉMOIRE, EN ATTENDANT QUE SON JUGEMENT PUISSE EN PROFITER. C’EST DANS LE CHOIX DE CES OBJETS, C’EST DANS LE SOIN DE LUI PRÉSENTER SANS CESSE CEUX qu’il doit connaître et de lu","u'il entend le frappe, etamp; IL S'EN SOUVIENT; IL TIENT REGISTRE EN LUI-MÊME DES ACTIONS, DES DISCOURS DES HOMMES; ET TOUT CE QUI L'ENVIRONNE EST LE LIVRE DANS LEQUEL, SANS Y SONGER, IL ENRICHIT CONTINUELLEMENT SA MÉMOIRE EN ATTENDANT QUE SON JUGEMENT. PUISSE EN PROFITER. C'EST DANS LE CHOIX DE CES OBJETS, C'EST DANS LE SOIN, DE LUI PRÉSENTER SANS CESSE CEUX qu'il peut connaître etamp; d","(1193910, 1194240)","(230747, 231078)"
