,Text in Maistre_Voyage,Text in B,Location in Maistre_Voyage,Location in B
Lesuire_Crime_0,"le des hommes qui fourmillent SUR LA SURFACE DE LA TERRE, IL n'en est pas un seul--non, pa",font “couler le sang les larmeS SUR LA “SURFACE DE LA TERRE. Ils sont honorés; “ une pauvre ,"(1369, 1399)","(837336, 837368)"
Louvet_Fin_0,"rrompue vivement:--«Non, non, JE NE SUIS POINT LA DUPE DE VOTRE bienveillance supposée:--le s",rt bien trouvé!—Certainement! JE NE SUIS POINT LA DUPE DE VOTRE fausse gaieté; ce n'est pas d,"(88216, 88249)","(225727, 225760)"
Nerciat_Felicia_0,"rrompue vivement:--«Non, non, JE NE SUIS POINT LA DUPE DE votre bienveillance supposée:","m'avez joué un tour, friponne JE NE SUIS POINT LA DUPE DE ce hasard auquel vous imputez","(88216, 88243)","(101621, 101648)"
Retif_Paysanne_0,"nt si rares, si clair-semées, QU'IL FAUDRAIT ÊTRE FOU POUR NE PAS s'arrêter, se détourner même ","uicide y est également, en ce QU'IL FAUDRAIT ÊTRE FOU, POUR NE PAS compter sur la possibilité d'","(7080, 7115)","(382963, 382999)"
Riccoboni_LettresFanni_0," lecteur, puisque je l'ignore MOI-MÊME? TOUT CE QUE JE PUIS assurer, c'est que si l'ouvra","mes complaisances, l'oubli de MOI-MÊME, TOUT CE QUE JE PUIS immoler à vos désirs... je ne","(3813, 3842)","(10709, 10738)"
Rosny_Firmin_0,"haos, voilà le vaste champ où JE ME PROMÈNE EN LONG ET EN LARGE, ET tout à loisir; car le temps n","encore ; j'allais, je venais, JE ME PROMENAIS EN LONG ET EN LARGE, ET afin de diminuer la longueur ","(77263, 77300)","(89916, 89955)"
Rousseau_Emile_0,'ailleurs je n'y pense jamais QUE LE MOINS QU'IL M'EST POSSIBLE. IL me suffit d'avoir donné le pl,"aliment, dont il ne faut user QUE LE MOINS QU'IL EST POSSIBLE. IL importe que les enfants s'acc","(24278, 24315)","(104039, 104074)"
Rousseau_Emile_1,"aient demander des nouvelles: IL N'EN FALLAIT PAS TANT POUR LE mettre décidément au lit. 
Le",raissois profondément occupe. IL N'EN FALLAIT PAS TANT POUR LE déterminer. Il ne manqua pas ,"(95020, 95052)","(104039, 104074)"
Sade_Aline_0,"aurait, au contraire, peindre LA CHOSE DU MONDE LA PLUS SIMPLE sans que l'âme y emploie tout","En existe-t-il sous le ciel?… LA CHOSE DU MONDE LA PLUS SIMPLE, est d’être née pour les reve","(50562, 50594)","(250874, 250906)"
Senac_Emigre_0,"cène d'enthousiasme, et jouir DE TOUTES LES FORCES DE MON IMAGINATION, je m'attache hardiment aux p","cacher ; j'aime, sans espoir, DE TOUTES LES FORCES DE MON ÂME, ET je m'étais imposé la loi rigo","(78780, 78819)","(212916, 212951)"
Voltaire_Princesse_0,"aurait, au contraire, peindre LA CHOSE DU MONDE LA PLUS SIMPLE sans que l'âme y emploie tout","adame, lui dit le phénix, est LA CHOSE DU MONDE LA PLUS SIMPLE. Il n'est pas plus surprenant","(50562, 50594)","(56210, 56242)"
