,Text in Cottin_Claire,Text in B,Location in Cottin_Claire,Location in B
Genlis_Adele_0,e le temps : il me semble que TOUT CE QUI S'EST PASSÉ DANS MON ÂME DEPUIS HIER n'a pu avoir lieu dans un esp,... je ne puis vous dépeindre TOUT CE QUI S'EST PASSÉ DANS MON ÂME DEPUIS HIER; certainement j'ai un autre c,"(137283, 137331)","(341904, 341952)"
Genlis_Chevaliers_0," Frédéric éprouve de l'amitié POUR LA PREMIÈRE FOIS DE SA VIE, et doit l'exprimer avec viva"," moment toute son audace; et, POUR LA PREMIÈRE FOIS DE SA VIE, un sentiment qui ressemblait","(46177, 46208)","(432580, 432611)"
Laclos_Liaisons_0,"eur, eût été trop heureuse... MAIS JE NE SAIS PAS CE QUE je dis ; pardonne, Élise, ma ",as que je n'aime bien maman ; MAIS JE NE SAIS PAS CE QUE c'était. Je devais aller à l',"(82135, 82161)","(59265, 59291)"
Laclos_Liaisons_1,"u'il m'a vue, mais qu'il sait TOUT CE QUI SE PASSE DANS MON cœur. J'avais espéré pourtant","r, d'où vous savez qu'on voit TOUT CE QUI SE PASSE DANS MON cabinet de toilette, et ce fu","(140010, 140039)","(59265, 59291)"
Lagrave_Sophie_0,infidèle qui n'oserait avouer CE QUI SE PASSE DANS SON CŒUR sans porter la mort dans celu,ouve qu'elle redoute que je ne LISE CE QUI SE PASSE DANS SOn cœur. A qui l'ouvrira-t-elle,"(118195, 118224)","(75611, 75640)"
Lagrave_Zabeth_0," Frédéric éprouve de l'amitié POUR LA PREMIÈRE FOIS DE SA VIE, et doit l'exprimer avec viva","t de rire général: la Dupuis, POUR LA PREMIÈRE FOIS DE SA VIE, se trouva déconcertée. Elle ","(46177, 46208)","(46741, 46772)"
Lagrave_Zabeth_1,"BILLLET. 
FRÉDÉRIC À CLAIRE. 
JE NE SUIS PAS MAÎTRE DE MON amour, je le suis de ma vie ;","ric; pardon, ma tendre maman. JE NE SUIS PAS MAÎTRE DE MON premier mouvement; mais, avec","(84841, 84869)","(46741, 46772)"
Lagrave_Zabeth_2,i-même... Je voulais t'écrire TOUT CE QUI VIENT DE SE PASSER ; mais je ne le puis : ma mai,"vez être étonné, monsieur, de TOUT CE QUI VIENT DE SE PASSER vis-à-vis de vous? La mission","(110485, 110515)","(46741, 46772)"
LaPlace_Collection_0,i-même... Je voulais t'écrire TOUT CE QUI VIENT DE SE PASSER ; mais je ne le puis : ma mai,"ns à votre rang, et regardons TOUT CE QUI VIENT DE SE PASSER, comme non avenu. 
Ce discour","(110485, 110515)","(134710, 134740)"
Lesuire_Crime_0, assez tranquille ; cependant JE NE LE PERDAIS PAS DE VUE : tout à coup je me suis aper, j'étais retiré dans un coin; JE NE LE PERDAIS PAS DE VUE; mais je semblois ne pas le v,"(153645, 153672)","(52065, 52092)"
Louvet_Annee_0," au nom du ciel, laissez-moi, VOUS NE SAVEZ PAS LE MAL QUE VOUS me faites. » Mon mari est ren","avez dits en partant! Ingrat! VOUS NE SAVEZ PAS LE MAL QUE VOUS m'avez fait! Revenez à moi, m","(104138, 104171)","(240715, 240748)"
Maistre_Voyage_0,"'est rendu coupable. Mon ami, JE NE CRAINS POINT DE LE DIRE, en interceptant toute commun","me encore aujourd'hui. Aussi, JE NE CRAINS POINT DE LE DIRE, je l'aime avec une portion d","(152334, 152363)","(35578, 35607)"
Marmontel_Contes_0,eillard gémissait sur le sort DE SA FEMME ET DE SES ENFANTS que sa mort allait réduire à ,"de sa propre estime, de celle DE SA FEMME ET DE SES ENFANTS; il faut pouvoir s'accoutumer","(70779, 70808)","(386915, 386944)"
