,LOC,PER
Beauharnais_Lettres_all_2_needs_to_be_corrected.txt,"[('Florizene', 157), ('Clarence', 89), ('Félici', 87), ('Rosemont', 74), ('Stéphanie', 70)]","[('Stéphanie', 314), ('Fernand', 271), ('Madame de Céléria', 142), ('Ximenès', 83), ('Dom Lope', 79)]"
Retif_Paysan.txt,"[('Ursule', 127), ('Arras', 105), ('Zéphire', 104), ('Tiennete', 99), ('M Parangon', 91)]","[('Edmond', 505), ('Madame Parangon', 259), ('Gaudet', 132), ('Edmée', 125), ('Mademoiselle Manon', 95)]"
Rosny_Firmin.txt,"[('Stainville', 21), ('Paris', 17), ('Thomill', 10), ('Liège', 7), ('Orl', 6)]","[('Sophie', 51), ('Comte', 31), ('Britannicus', 21), ('Thomassin', 15), ('M.', 14)]"
Berquin_Enfants.txt,"[('S-Firmin', 61), ('Fanchette', 24), ('Saint-Firmin', 19), ('Amand', 8), ('Tenez', 7)]","[('Frédéric', 120), ('Robert', 86), ('Agathe', 57), ('Charles', 48), ('Sophie', 48)]"
Lesuire_Aventurier.txt,"[('Adélaïde', 165), ('Paris', 49), ('Cieux', 28), ('Naples', 27), ('France', 24)]","[('Adélaïde', 92), ('Artémise', 71), ('Ciel', 66), ('Cardinal', 49), ('Madame', 43)]"
Retif_AntiJustine.txt,"[('Traitdamour', 56), ('Conquette', 41), ('Timori', 36), ('Rosemauve', 33), ('Guaé', 32)]","[('Traitdamour', 51), ('Vitnègre', 40), ('Guaé', 32), ('Conquette Ingénue', 24), ('Minonne', 23)]"
Riccoboni_LettresAdelaide.txt,"[('Mondelis', 41), ('Paris', 38), ('Sancerre', 32), ('Comminges', 10), ('Thémines', 8)]","[('Madame De Martigues', 136), ('M De Sancerre', 70), ('M De Montalais', 61), ('Madame De Sancerre', 42), ('Madame De Cézanes', 38)]"
Nerciat_Felicia.txt,"[('Sydney', 87), ('Aiglemont', 78), ('Paris', 51), ('Sylvina', 45), ('Sylvino', 30)]","[('Sylvina', 161), ('Thérèse', 80), ('Monrose', 78), ('Lambert', 62), ('Éléonore', 43)]"
Doppet_Memoires.txt,"[('Paris', 27), ('Annecy', 26), ('Chambery', 22), ('Savoye', 9), ('Univers', 7)]","[('Warens', 73), ('M.', 23), ('Rousseau', 17), ('M. de Warens', 11), ('J. J. Rousseau', 10)]"
Loaisel_Ainsi.txt,"[('Paris', 12), ('Strasbourg', 7), ('Gur', 3), ('zéphir', 3), ('Gurc', 3)]","[('Madame De V', 69), ('Eugénie', 65), ('Madame De V.', 9), ('Comte De P.', 5), ('Marquis De R', 5)]"
Nerciat_Etourdi.txt,"[('Paris', 10), ('Montpellier', 6), ('Anglais', 6), ('A', 5), ('Despras', 4)]","[('Madame', 23), ('Chevalier', 21), ('Serfet', 20), ('Cécile', 20), ('Monsieur', 19)]"
Riccoboni_MissJenny.txt,"[('Anglesey', 87), ('Londres', 82), ('Miladi', 59), ('Lidy', 32), ('Angleterre', 19)]","[('Milord Arundel', 117), ('Edouard', 103), ('Sir James', 94), ('Milord Danby', 93), ('Ladi Sara', 92)]"
Riccoboni_LettreJuliette.txt,"[('Erford', 34), ('Vinchester', 29), ('Londres', 27), ('Montfort', 9), ('Mosès', 6)]","[('Henriette', 37), ('Sir Henry', 27), ('Milord Carlile', 23), ('Sir James', 15), ('Abraham', 12)]"
Sacy_Amours.txt,"[('Mirtil', 74), ('Florise', 20), ('Vénus', 19), ('Sylvanire', 17), ('Bergères', 11)]","[('Berger', 58), ('Vénus', 24), ('Adonis', 23), ('Déesse', 19), ('Amour', 15)]"
Retif_Sara.txt,"[('Lamontette', 41), ('Paris', 20), ('palais-royal', 13), ('Virginie', 7), ('Amiens', 7)]","[('Sara', 466), ('Florimond', 63), ('Mme Debée', 26), ('Lamontette', 26), ('Delarbre', 25)]"
Dulaurens_Imirce.txt,"[('Paris', 89), ('Tien', 24), ('Zéphyre', 19), ('France', 10), ('Aoulia', 10)]","[('Ariste', 65), ('Lucrèce', 42), ('Xan-Xung', 24), ('Monsieur', 23), ('François I', 22)]"
Sade_Philosophie.txt,"[('Dolmancé', 51), ('État', 15), ('Saint-Ange', 12), ('Rome', 11), ('Chevalier', 9)]","[('MME DE SAINT-ANGE', 172), ('Eugénie', 103), ('Augustin', 47), ('Chevalier', 29), ('Mme de Saint-Ange', 22)]"
Fievee_Dot.txt,"[('Paris', 24), ('Londres', 11), ('Senneterre', 10), ('Saint-Domingue', 9), ('France', 5)]","[('Suzette', 117), ('Adolphe', 46), ('M Chenu', 38), ('Madame Depréval', 24), ('Augustine', 19)]"
Crebillon_Atheniennes.txt,"[('Axiochus', 77), ('avoüe', 66), ('Thrazylle', 47), ('Cléon', 46), ('état', 37)]","[('Alcibiade', 145), ('Aspasie', 99), ('Périclès', 96), ('Némée', 83), ('Diotime', 50)]"
