FR								
new								
LOCATION STRING (novel)	Wikidata Label fr	coordonnées géographiques	Wikidata URL (P31)	Quelle 				
 Lauréda	Laurède	43.755555555556,-0.78861111111111	https://www.wikidata.org/wiki/Q1111777	NER				
 Lausanne	Lausanne	46.533333333333,6.6333333333333	https://www.wikidata.org/wiki/Q807	NER				
 Layrac	 Layrac			NER				
 le Taïtien	 le Taïtien			NER				
 Lesseville	 Lesseville			NER				
 Liège	Liège	50.639722222222225,5.570555555555556	https://www.wikidata.org/wiki/Q3992	NER				
 Locriens	 Locriens			NER				
 Loire	Loire	44.841666666667,4.2186111111111	https://www.wikidata.org/wiki/Q1469	NER				
 Londres	Londres	51.507222222222,-0.1275	https://www.wikidata.org/wiki/Q84	NER				
 Longchamp	 Longchamp			NER				
 Lyon	Lyon	45.758888888889,4.8413888888889	https://www.wikidata.org/wiki/Q456	NER				
 Manzaïde	 Manzaïde			NER				
 Massanne	 Massanne			NER				
 Médie	 Médie			NER				
 Memphis	Memphis	29.85412,31.25934	https://www.wikidata.org/wiki/Q5715	NER				
 Ménécrate	 Ménécrate			NER				
 mer Baltique	mer Baltique	58,20	https://www.wikidata.org/wiki/Q545	NER				
 Mérida	Mérida	38.915833333333,-6.3333333333333	https://www.wikidata.org/wiki/Q14323	NER				
 Méris	 Méris			NER				
 Merval	 Merval			NER				
 Michette	Michette		https://www.wikidata.org/wiki/Q6747596	NER				
 Milcourt	 Milcourt			NER				
 Minois	 Minois			NER				
 Mirval	 Mirval			NER				
 Mœris	 Mœris			NER				
 Molinos	 Molinos			NER				
 Montfort	 Montfort			NER				
 Montpellier	Montpellier	43.610919444444,3.8772305555556	https://www.wikidata.org/wiki/Q6441	NER				
 Morakanabad	 Morakanabad			NER				
 Murcé	 Murcé			NER				
 Naples	Naples	40.833333333333,14.25	https://www.wikidata.org/wiki/Q2634	NER				
 Nasuf	 Nasuf			NER				
 Neuilly	 Neuilly			NER				
 Nisida	Nisida	40.795277777778,14.163333333333	https://www.wikidata.org/wiki/Q1192720	NER				
 Nismes	 Nismes			NER				
 Nitri	 Nitri			NER				
 Noyers	Noyers	47.696944444444,3.9938888888889	https://www.wikidata.org/wiki/Q732586	NER				
 Olympia				NER				
 Opéra	opéra		https://www.wikidata.org/wiki/Q153562	NER				
 Orbe	 Orbe			NER				
 Orl	 Orl			NER				
 Ormilly	 Ormilly			NER				
 Orseuil	 Orseuil			NER				
