,LOC,PER
Loaisel_Dolbreuse.txt,"[(('Paris', 385), 11), (('volupté', 385), 7), (('état', 385), 7), ((""l' empire"", 385), 3), (('allais', 385), 3)]","[(('La comtesse', 4317129024397789502), 9), (('Jean-Jacques', 4317129024397789502), 7), (('La marquise', 4317129024397789502), 6), (('Voltaire', 4317129024397789502), 5), (('Ajoutoit', 4317129024397789502), 4)]"
Doppet_Memoires.txt,"[(('Paris', 385), 27), (('Annecy', 385), 26), (('Chambery', 385), 22), (('Savoye', 385), 9), (('Univers', 385), 7)]","[(('Warens', 4317129024397789502), 73), (('M.', 4317129024397789502), 23), (('Rousseau', 4317129024397789502), 17), (('M. de Warens', 4317129024397789502), 11), (('J. J. Rousseau', 4317129024397789502), 10)]"
Genlis_Chevaliers.txt,"[(('Armoflède', 385), 280), (('Nasuf', 385), 101), (('Vitikind', 385), 65), (('Ordalie', 385), 59), (('Diaulas', 385), 42)]","[(('Isambard', 4317129024397789502), 462), (('Béatrix', 4317129024397789502), 295), (('Célanire', 4317129024397789502), 235), (('Barmécide', 4317129024397789502), 163), (('Gérold', 4317129024397789502), 132)]"
Retif_AntiJustine.txt,"[(('Traitdamour', 385), 56), (('Conquette', 385), 41), (('Timori', 385), 36), (('Rosemauve', 385), 33), (('Guaé', 385), 32)]","[(('Traitdamour', 4317129024397789502), 51), (('Vitnègre', 4317129024397789502), 40), (('Guaé', 4317129024397789502), 32), (('Conquette Ingénue', 4317129024397789502), 24), (('Minonne', 4317129024397789502), 23)]"
Arnaud_Epoux.txt,"[(('Paris', 385), 27), (('Lesseville', 385), 19), (('Agathe', 385), 16), (('Mademoiselle', 385), 10), (('état', 385), 10)]","[(('Agathe', 4317129024397789502), 362), (('Laurence', 4317129024397789502), 61), (('Monsieur', 4317129024397789502), 47), (('Marianne', 4317129024397789502), 28), (('Mademoiselle', 4317129024397789502), 26)]"
Loaisel_Comtesse.txt,"[(('Saint-Flour', 385), 21), (('Milcourt', 385), 5), (('soleil', 385), 2), (('jura', 385), 2), (('Alibre', 385), 2)]","[(('Lucile', 4317129024397789502), 72), (('madame de Courmill', 4317129024397789502), 23), (('Alibre', 4317129024397789502), 7), (('Madame de Courmill', 4317129024397789502), 6), (('M. de Saint-Flour', 4317129024397789502), 6)]"
Benouville_Pensees.txt,"[(('Religion', 385), 13), (('Bérénice', 385), 11), (('Mérida', 385), 10), (('Univers', 385), 8), (('Peuple', 385), 6)]","[(('Titus', 4317129024397789502), 21), (('Dom César', 4317129024397789502), 17), (('Dom Alphonse', 4317129024397789502), 16), (('Ciel', 4317129024397789502), 13), (('Ferdinand', 4317129024397789502), 10)]"
Popeliniere_Daira.txt,"[(('etamp', 385), 68), (('Daïra', 385), 50), (('Alep', 385), 37), (('Isle', 385), 16), (('Sérail', 385), 16)]","[(('Pacha', 4317129024397789502), 51), (('Ciel', 4317129024397789502), 50), (('Maître', 4317129024397789502), 47), (('Zoah', 4317129024397789502), 36), (('Amant', 4317129024397789502), 34)]"
Gorjy_Voyage.txt,"[(('Kermouth', 385), 12), (('Paris', 385), 5), (('Calais', 385), 3), (('Bruxelles', 385), 2), (('France', 385), 2)]","[(('Zeinevill', 4317129024397789502), 18), (('Justine', 4317129024397789502), 16), (('Artémire', 4317129024397789502), 15), (('Monsieur', 4317129024397789502), 12), (('Dariolette', 4317129024397789502), 10)]"
Montesquieu_Arsace.txt,"[(('Ardasire', 385), 27), (('Isménie', 385), 19), (('Bactriane', 385), 17), (('Médie', 385), 14), (('Hyrcanie', 385), 11)]","[(('Arsace', 4317129024397789502), 56), (('Ardasire', 4317129024397789502), 49), (('Aspar', 4317129024397789502), 16), (('Isménie', 4317129024397789502), 5), (('La reine', 4317129024397789502), 2)]"
