Column 1	bgrf	LOC1	Wikidata Label fr	coordonnées géographiques5	URL	Quantity LOC1	LOC2	LOC_2 Wikidata Label fr	coordonnées géographiques6	URL2	Quantity LOC2	LOC3	LOC2 Wikidata Label fr	coordonnées géographiques	URL3	Quantity LOC3	LOC4	LOC3 Wikidata fr	coordonnées géographiques3	coordonnées géographiques2	URL4	Quantity LOC4	Loc5 Wikidata fr	LOC5	coordonnées géographiques4	URL5	Quantity LOC5
Lesuire_Aventurier	86.27						 Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 49	 Cieux	Cieux	45.991666666667,1.0452777777778	https://www.wikidata.org/wiki/Q597576	 28	 Naples	Naples	40.833333333333,14.25	40.833333333333,14.25	https://www.wikidata.org/wiki/Q2634	 27	 France	France	47,2	https://www.wikidata.org/wiki/Q142	 24
Crebillon_Nuit	86.27	Célimene					 Cidalise	 Cidalise			 10						 Belise	 Belise				 5	 Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 4
Arnaud_Sentiment	99.62	Nancy	Nancy	48.692777777778,6.1836111111111	https://www.wikidata.org/wiki/Q40898	 111 	 Sargines	 Sargines			 109	 Ménécrate	 Ménécrate			 99	 Syndham	 Syndham				 78					
Mercier_Jezennemours	71.23	Jezennemours	Jezennemours			 98 	 Florimonde	 Florimonde			 32	 Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 9	 Strasbourg	 Strasbourg				 7	 Europe	 Europe			 6
Puget_Periphas	54.13	Periphas	Periphas			 69 	 Phocide	Phocide	38.5,22.25	https://www.wikidata.org/wiki/Q26915	 58	 Athenes	Athènes	37.98416666666667,23.728055555555557	https://www.wikidata.org/wiki/Q1524	 55	 Locriens	 Locriens				 42	 Phocus	 Phocus			 41
Maistre_Voyage	55.16	Alpes	Alpes	46,10	https://www.wikidata.org/wiki/Q1286	 4 	 Turin	Turin	45.066666666667,7.7	https://www.wikidata.org/wiki/Q495	 3	 Rome	Rome	41.893055555556,12.482777777778	https://www.wikidata.org/wiki/Q220	 2	 soleil	Soleil			https://www.wikidata.org/wiki/Q525	 2					
Louvet_Fin	79.15	Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 30 						 Fromonville	 Fromonville			 19							 Belcour	 Belcour			 12
Puttelange_Roi	97.21	Paquans	Paquans			 54 	 Paquantois	 Paquantois			 13	 Memphis	Memphis	29.85412,31.25934	https://www.wikidata.org/wiki/Q5715	 3											
Diderot_Religieuse	1.0	Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 29 	 Longchamp	 Longchamp			 22						 Caen	Caen	49.182222222222,-0.37055555555556	49.182222222222,-0.37055555555556	https://www.wikidata.org/wiki/Q41185	 16					
Loaisel_Lucile	97.22						 Saint-Flour	 Saint-Flour			 14	 Milcourt	 Milcourt			 7	 Saint - Flour	 Saint - Flour				 5	 Alibre	 Alibre			 3
Marmontel_Belisaire	98.38	Tibére	Tibéré	6.0666666666667,14.316666666667	https://www.wikidata.org/wiki/Q23663811	 77 	 état	État		https://www.wikidata.org/wiki/Q7275	 40	 Rome	Rome	41.893055555556,12.482777777778	https://www.wikidata.org/wiki/Q220	 23	" ""l empire"""	" ""l empire"""				 18	 Italie	 Italie			 17
Riccoboni_MylordRivers	86.32	Belosane	Belosane			 62 	 Londres	Londres	51.507222222222,-0.1275	https://www.wikidata.org/wiki/Q84	 37	 Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 23	 Layrac	 Layrac				 14	 Angleterre	Angleterre	53,-1	https://www.wikidata.org/wiki/Q21	 11
Marmontel_Contes	72.19	Verglan	Verglan			 34 	 Corée	Corée	38.316666666667,127.23333333333	https://www.wikidata.org/wiki/Q18097	 22						 Timante	 Timante				 21	 Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 20
Tiphaigne_Galligenes	71.25	etamp	etamp			 103 	 Galligènes	 Galligènes			 90	 Almont	 Almont			 72	 République	république			https://www.wikidata.org/wiki/Q7270	 51	 Alcine	 Alcine			 38
Diderot_Supplement	61.R19	Taïtiens	Tahiti	-17.666666666667,-149.46666666667	https://www.wikidata.org/wiki/Q42000	 13 	 le Taïtien	 le Taïtien			 8	 Bougainville	 Bougainville			 5	 Taïti	Tahiti	-17.666666666667,-149.46666666667	-17.666666666667,-149.46666666667	https://www.wikidata.org/wiki/Q42000	 5					
Beckford_Vathek	99.76	Nouronihar	Nouronihar			 40 	 Gulchenrouz	 Gulchenrouz			 21	 Morakanabad	 Morakanabad			 18	 Samarah	Samarah	16.139722222222,43.151944444444	16.139722222222,43.151944444444	https://www.wikidata.org/wiki/Q20306954	 13	 Fakreddin	 Fakreddin			 13
Prevost_Monde	66.21	Vienne	Vienne	48.20833,16.373064	https://www.wikidata.org/wiki/Q1741	 45 	 Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 43	 Hongrie	Hongrie	47,19	https://www.wikidata.org/wiki/Q28	 35	 Tergowitz	 Tergowitz				 24					
Florian_Galatee	65.21	Artidore	Artidore			 38 	 Téolinde	 Téolinde			 33	 Mœris	 Mœris			 29	 Nisida	Nisida	40.795277777778,14.163333333333	40.795277777778,14.163333333333	https://www.wikidata.org/wiki/Q1192720	 19	 Florise	 Florise			 16
Charriere_Lausanne	98.41	Londres	Londres	51.507222222222,-0.1275	https://www.wikidata.org/wiki/Q84	 28 						 Bath	Bath	51.381389,-2.358611	https://www.wikidata.org/wiki/Q22889	 16	 Lausanne	Lausanne	46.533333333333,6.6333333333333	46.533333333333,6.6333333333333	https://www.wikidata.org/wiki/Q807	 15	 Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 10
Sade_Philosophie	88.53						 État	État		https://www.wikidata.org/wiki/Q7275	 15	 Saint-Ange	 Saint-Ange			 12	 Rome	Rome	41.893055555556,12.482777777778	41.893055555556,12.482777777778	https://www.wikidata.org/wiki/Q220	 11					
Reveroni_Pauliska	83.26	Russes	Russie	66.41666666666667,94.25	https://www.wikidata.org/wiki/Q159	 21 	 Ust	 Ust			 17	 Polonais	Pologne	52,19	https://www.wikidata.org/wiki/Q36	 16	 Bude	 Bude				 12	 Francfort	Francfort-sur-le-Main	50.113611111111,8.6797222222222	https://www.wikidata.org/wiki/Q1794	 11
Riccoboni_MissJenny	86.34	Anglesey	Anglesey	53.293975,-4.376728	https://www.wikidata.org/wiki/Q168159	 87 	 Londres	Londres	51.507222222222,-0.1275	https://www.wikidata.org/wiki/Q84	 82												 Angleterre	Angleterre	53,-1	https://www.wikidata.org/wiki/Q21	 19
Rousseau_Julie	75.28	Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 65 	 Clarens	 Clarens			 26	 Orbe	 Orbe			 26							 Londres	Londres	51.507222222222,-0.1275	https://www.wikidata.org/wiki/Q84	 20
Anonym_Suzon	82.20	Couvent	couvent		https://www.wikidata.org/wiki/Q1128397	 21 	 Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 13	 État	État		https://www.wikidata.org/wiki/Q7275	 13	 Minois	 Minois				 12					
Dulaurens_Imirce	95.20	Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 89 	 Tien	 Tien			 24	 Zéphyre	Zéphyre		https://www.wikidata.org/wiki/Q3576516	 19	 France	 France				 10					
Boufflers_Reine	74.15	Golconde	Golconde			 4 	 Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 3	 état	État		https://www.wikidata.org/wiki/Q7275	 3	 Dinazarde	 Dinazarde				 1	 Molinos	 Molinos			 1
Loaisel_Dolbreuse	84.27	Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 11 						 état	État		https://www.wikidata.org/wiki/Q7275	 7	" ""l empire"""	" ""l empire"""				 3					
Doppet_Memoires	58.13	Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 27 	 Annecy	Annecy	45.899166666667,6.1294444444444	https://www.wikidata.org/wiki/Q50189	 26	 Chambery	Chambéry	45.566388888889,5.9208333333333	https://www.wikidata.org/wiki/Q165090	 22	 Savoye	Savoie	45.57,5.9118	45.57,5.9118	https://www.wikidata.org/wiki/Q14118	 9	 Univers	univers		https://www.wikidata.org/wiki/Q1	 7
Genlis_Chevaliers	82.17	Armoflède	Armoflède			 280 	 Nasuf	 Nasuf			 101	 Vitikind	 Vitikind			 65							 Diaulas	 Diaulas			 42
Retif_AntiJustine	99104.0											 Timori	 Timori			 36							 Guaé	 Guaé			 32
Arnaud_Epoux	99105.0	Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 27 	 Lesseville	 Lesseville			 19												 état	État		https://www.wikidata.org/wiki/Q7275	 10
Loaisel_Comtesse	85.33	Saint-Flour	Saint-Flour			 21 	 Milcourt	 Milcourt			 5	 soleil	Soleil		https://www.wikidata.org/wiki/Q525	 2	 jura	Jura	47.2431,6.0219	47.2431,6.0219	https://www.wikidata.org/wiki/Q178611	 2	 Alibre	 Alibre			 2
Benouville_Pensees	74.20											 Mérida	Mérida	38.915833333333,-6.3333333333333	https://www.wikidata.org/wiki/Q14323	 10	 Univers	univers			https://www.wikidata.org/wiki/Q1	 8	 Peuple	 Peuple			 6
Popeliniere_Daira	83.31	etamp	etamp			 68 						 Alep	Alep	36.2,37.15	https://www.wikidata.org/wiki/Q41183	 37	 Isle	 Isle				 16	 Sérail	sérail		https://www.wikidata.org/wiki/Q1170287	 16
Gorjy_Voyage	82.27	Kermouth	Kermouth			 12 	 Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 5	 Calais	 Calais			 3	 Bruxelles	 Bruxelles				 2	 France	France	47,2	https://www.wikidata.org/wiki/Q142	 2
Montesquieu_Arsace	89.81	Ardasire	Ardasire			 27 	 Isménie	 Isménie			 19	 Bactriane	Bactriane	36.758056,66.898889	https://www.wikidata.org/wiki/Q132646	 17	 Médie	 Médie				 14	 Hyrcanie	Hyrcanie	36.967822,55.011854	https://www.wikidata.org/wiki/Q48726	 11
Jacquin_Parisiennes	87.54bis	Barville	Barville			 53 	 Hortence	Hortence		https://www.wikidata.org/wiki/Q21144570	 50	 Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 24	 etamp	 etamp				 22					
