Column 1	bgrf	LOC1	Wikidata Label fr	coordonnées géographiques5	URL	Quantity LOC1	LOC2	LOC_2 Wikidata Label fr	coordonnées géographiques6	URL2	Quantity LOC2	LOC3	LOC2 Wikidata Label fr	coordonnées géographiques	URL3	Quantity LOC3	LOC4	LOC3 Wikidata fr	coordonnées géographiques3	coordonnées géographiques2	URL4	Quantity LOC4	Loc5 Wikidata fr	LOC5	coordonnées géographiques4	URL5	Quantity LOC5
Florian_Numa	98.88	Rome	Rome	41.893055555556,12.482777777778	https://www.wikidata.org/wiki/Q220	 98 		Hersilie		https://www.wikidata.org/wiki/Q1402198		 romains	 romains			 51	 Cérès	(1) Cérès			https://www.wikidata.org/wiki/Q596	 25					
Riccoboni_LettresAdelaide	62.33	Mondelis	Mondelis			 41 	 Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 38	 Sancerre	 Sancerre			 32	 Comminges	 Comminges				 10	 Thémines	 Thémines			 8
Senac_Emigre	61.18	Français	Français			 47 	 Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 37	 Francfort	Francfort-sur-le-Main	50.113611111111,8.6797222222222	https://www.wikidata.org/wiki/Q1794	 33	 France	France	47,2	47,2	https://www.wikidata.org/wiki/Q142	 33	 la France	France	47,2	https://www.wikidata.org/wiki/Q142	 25
Dorat_Malheurs	61.19	Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 18 	 Sidley	 Sidley			 15												 Italie	Italie	42.5,12.5	https://www.wikidata.org/wiki/Q38	 4
Florian_Estelle	1.0	Némorin	Némorin			 43 	 Massanne	 Massanne			 26						 Languedoc	Languedoc	43.666666666667,3.1666666666667	43.666666666667,3.1666666666667	https://www.wikidata.org/wiki/Q206221	 13	 Nismes	 Nismes			 12
Denon_Point	95.36											 sauvai	 sauvai			 1							 Seine	Seine	49.434722222222,0.1175	https://www.wikidata.org/wiki/Q1471	 1
Souza_Adele	1.0	Mortagne	Mortagne			 34 	 Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 29	 Neuilly	 Neuilly			 15	 Angleterre	Angleterre	53,-1	53,-1	https://www.wikidata.org/wiki/Q21	 10	 Londres	Londres	51.507222222222,-0.1275	https://www.wikidata.org/wiki/Q84	 3
Marmontel_Incas	91.42	Pizarre	Pizarre			 122 	 indiens	 indiens			 52	 incas	civilisation inca		https://www.wikidata.org/wiki/Q3404008	 51	 Cusco	Cuzco	-13.26,-72.11	-13.26,-72.11	https://www.wikidata.org/wiki/Q205057	 45	 soleil	Soleil		https://www.wikidata.org/wiki/Q525	 44
Morelly_Naufrage	95.37	etamp	etamp			 75 	 Univers	univers		https://www.wikidata.org/wiki/Q1	 40	 Zeinzemin	 Zeinzemin			 37	 Isles	 Isles				 34	 Pays	pays		https://www.wikidata.org/wiki/Q6256	 30
Beauharnais_Lettres	89104.0	Florizene	Florizene			 50 																					
Nerciat_Felicia	97.74	Sydney	Sydney			 87 	 Aiglemont	Aiglemont	49.781388888889,4.7658333333333	https://www.wikidata.org/wiki/Q541738	 78	 Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 51											
Voltaire_Candide	94.13						 Venise	Venise	45.439722222222,12.331944444444	https://www.wikidata.org/wiki/Q641	 25	 Bulgares	Bulgarie	42.75,25.5	https://www.wikidata.org/wiki/Q219	 21	 Constantinople	Constantinople	41.01224,28.976018	41.01224,28.976018	https://www.wikidata.org/wiki/Q16869	 12	 Buenos-Ayres	Buenos Aires	-34.599722222222,-58.381944444444	https://www.wikidata.org/wiki/Q1486	 12
Retif_Vie	54.33	Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 27 	 Nitri	 Nitri			 23	 Auxerre	Auxerre	47.7975,3.5669444444444	https://www.wikidata.org/wiki/Q167600	 14	 état	État			https://www.wikidata.org/wiki/Q7275	 7	 Noyers	Noyers	47.696944444444,3.9938888888889	https://www.wikidata.org/wiki/Q732586	 6
Crebillon_Atheniennes	65.5	Axiochus	Axiochus			 77 						 Thrazylle	 Thrazylle			 47							 état	État		https://www.wikidata.org/wiki/Q7275	 37
Tiphaigne_Amilec	51.42						 la Terre	Terre		https://www.wikidata.org/wiki/Q2	 7																
Segur_Correspondance	59.25	Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 71 	 Villarceaux	domaine de Villarceaux	49.123055555556,1.7058333333333	https://www.wikidata.org/wiki/Q3034560	 11																
Cazotte_Honneur	68.55	Bazilette	Bazilette			 39 	 Primrose	 Primrose			 17						 Guaiziek	 Guaiziek				 8	 Bretagne	Bretagne	48,-3	https://www.wikidata.org/wiki/Q327	 5
Mercier_An	52.43	État	État		https://www.wikidata.org/wiki/Q7275	 26 	 Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 15	Europe	Europe	48.690959,9.14062	https://www.wikidata.org/wiki/Q46	 8	 Angleterre	Angleterre	53,-1	53,-1	https://www.wikidata.org/wiki/Q21	 6					
	68.55																										
