Column 1	bgrf	LOC1	Wikidata Label fr	URL	Quantity LOC1	LOC2	LOC_2 Wikidata Label fr	URL2	Quantity LOC2	LOC3	LOC2 Wikidata Label fr	URL3	Quantity LOC3	LOC4	LOC3 Wikidata fr	URL4	Quantity LOC4	Loc5 Wikidata fr	LOC5	URL5	Quantity LOC5
Voltaire_Micromegas	79.31	Saturne	Saturne	https://www.wikidata.org/wiki/Q193	 13 	 Micromégas	Micromégas	https://www.wikidata.org/wiki/Q1785978	 10	 Sirius	Sirius	https://www.wikidata.org/wiki/Q3409	 4	 Jupiter	Jupiter	https://www.wikidata.org/wiki/Q319	 4	 mer Baltique	mer Baltique	https://www.wikidata.org/wiki/Q545	 3
Sade_120	98.85					 Paris	Paris	https://www.wikidata.org/wiki/Q90	 39	 Zélamir	 Zélamir		 38	 Michette	Michette	https://www.wikidata.org/wiki/Q6747596	 38				
Retif_Paysanne	58.17					 Paris	Paris	https://www.wikidata.org/wiki/Q90	 69	 Fanchette	 Fanchette		 56	 Lagouache	 Lagouache		 47	 Parangon	 Parangon		 39
Constant_Laure2	59.22	Marville	Marville	https://www.wikidata.org/wiki/Q59176	 43 					 Flamacour	 Flamacour		 14	 Paris	Paris	https://www.wikidata.org/wiki/Q90	 12	 Taninge	Taninges	https://www.wikidata.org/wiki/Q369188	 10
Sade_Justine	67.44	Dubois	Dubois		 49 	 Paris	Paris	https://www.wikidata.org/wiki/Q90	 26	 Lyon	Lyon	https://www.wikidata.org/wiki/Q456	 25	 Cardoville	 Cardoville		 21				
Lagrave_Zabeth	57.12	Saint-Silvain	Saint-Silvain		 120 	 Combe	 Combe		 39	 Fermon	 Fermon		 27	 Wilton	 Wilton		 21	 Boulogne	bois de Boulogne	https://www.wikidata.org/wiki/Q209626	 17
Diderot_Jacques	64.39	Desglands	Desglands		 27 	 Paris	Paris	https://www.wikidata.org/wiki/Q90	 19	 Arcis	 Arcis		 15	 Merval	 Merval		 13	 Gaine	 Gaine		 9
Gerard_Comte	77.57					 Senneville	 Senneville		 44					 Est	est	https://www.wikidata.org/wiki/Q684	 8	 Rome	Rome	https://www.wikidata.org/wiki/Q220	 8
Florian_Numa	98.88	Rome	Rome	https://www.wikidata.org/wiki/Q220	 98 		Hersilie	https://www.wikidata.org/wiki/Q1402198		 romains	 romains		 51	 Cérès	(1) Cérès	https://www.wikidata.org/wiki/Q596	 25				
Riccoboni_LettresAdelaide	62.33	Mondelis	Mondelis		 41 	 Paris	Paris	https://www.wikidata.org/wiki/Q90	 38	 Sancerre	 Sancerre		 32	 Comminges	 Comminges		 10	 Thémines	 Thémines		 8
Senac_Emigre	61.18	Français	Français		 47 	 Paris	Paris	https://www.wikidata.org/wiki/Q90	 37	 Francfort	Francfort-sur-le-Main	https://www.wikidata.org/wiki/Q1794	 33	 France	France	https://www.wikidata.org/wiki/Q142	 33	 la France	France	https://www.wikidata.org/wiki/Q142	 25
Dorat_Malheurs	61.19	Paris	Paris	https://www.wikidata.org/wiki/Q90	 18 	 Sidley	 Sidley		 15									 Italie	Italie	https://www.wikidata.org/wiki/Q38	 4
Florian_Estelle	1.0	Némorin	Némorin		 43 	 Massanne	 Massanne		 26					 Languedoc	Languedoc	https://www.wikidata.org/wiki/Q206221	 13	 Nismes	 Nismes		 12
Denon_Point	95.36									 sauvai	 sauvai		 1					 Seine	Seine	https://www.wikidata.org/wiki/Q1471	 1
Souza_Adele	1.0	Mortagne	Mortagne		 34 	 Paris	Paris	https://www.wikidata.org/wiki/Q90	 29	 Neuilly	 Neuilly		 15	 Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	 10	 Londres	Londres	https://www.wikidata.org/wiki/Q84	 3
Marmontel_Incas	91.42	Pizarre	Pizarre		 122 	 indiens	 indiens		 52	 incas	civilisation inca	https://www.wikidata.org/wiki/Q3404008	 51	 Cusco	Cuzco	https://www.wikidata.org/wiki/Q205057	 45	 soleil	Soleil	https://www.wikidata.org/wiki/Q525	 44
Morelly_Naufrage	95.37	etamp	etamp		 75 	 Univers	univers	https://www.wikidata.org/wiki/Q1	 40	 Zeinzemin	 Zeinzemin		 37	 Isles	 Isles		 34	 Pays	pays	https://www.wikidata.org/wiki/Q6256	 30
Beauharnais_Lettres	89104.0	Florizene	Florizene		 50 																
Nerciat_Felicia	97.74	Sydney	Sydney		 87 	 Aiglemont	Aiglemont	https://www.wikidata.org/wiki/Q541738	 78	 Paris	Paris	https://www.wikidata.org/wiki/Q90	 51								
Voltaire_Candide	94.13					 Venise	Venise	https://www.wikidata.org/wiki/Q641	 25	 Bulgares	Bulgarie	https://www.wikidata.org/wiki/Q219	 21	 Constantinople	Constantinople	https://www.wikidata.org/wiki/Q16869	 12	 Buenos-Ayres	Buenos Aires	https://www.wikidata.org/wiki/Q1486	 12
Retif_Vie	54.33	Paris	Paris	https://www.wikidata.org/wiki/Q90	 27 	 Nitri	 Nitri		 23	 Auxerre	Auxerre	https://www.wikidata.org/wiki/Q167600	 14	 état	État	https://www.wikidata.org/wiki/Q7275	 7	 Noyers	Noyers	https://www.wikidata.org/wiki/Q732586	 6
Crebillon_Atheniennes	65.5	Axiochus	Axiochus		 77 					 Thrazylle	 Thrazylle		 47					 état	État	https://www.wikidata.org/wiki/Q7275	 37
Tiphaigne_Amilec	51.42					 la Terre	Terre	https://www.wikidata.org/wiki/Q2	 7												
Segur_Correspondance	59.25	Paris	Paris	https://www.wikidata.org/wiki/Q90	 71 	 Villarceaux	domaine de Villarceaux	https://www.wikidata.org/wiki/Q3034560	 11												
Cazotte_Honneur	68.55	Bazilette	Bazilette		 39 	 Primrose	 Primrose		 17					 Guaiziek	 Guaiziek		 8	 Bretagne	Bretagne	https://www.wikidata.org/wiki/Q327	 5
Mercier_An	52.43	État	État	https://www.wikidata.org/wiki/Q7275	 26 	 Paris	Paris	https://www.wikidata.org/wiki/Q90	 15	Europe	Europe	https://www.wikidata.org/wiki/Q46	 8	 Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	 6				
	68.55																				
