Column 1	bgrf	LOC1	Wikidata Label fr	URL	Quantity LOC1	LOC2	LOC_2 Wikidata Label fr	URL2	Quantity LOC2	LOC3	LOC2 Wikidata Label fr	URL3	Quantity LOC3	LOC4	LOC3 Wikidata fr	URL4	Quantity LOC4	Loc5 Wikidata fr	LOC5	URL5	Quantity LOC5
Abbes_Voyage	58.5	Palais	palais	https://www.wikidata.org/wiki/Q16560	3	Vestibule	vestibule	https://www.wikidata.org/wiki/Q301276	3	Angleterre			2	Pays	pays	https://www.wikidata.org/wiki/Q6256	1	Région	zone géographique	https://www.wikidata.org/wiki/Q82794	1
Anonym_Suzon	83.9	Couvent	couvent	https://www.wikidata.org/wiki/Q1128397	21	Paris	Paris	https://www.wikidata.org/wiki/Q90	13	État	État	https://www.wikidata.org/wiki/Q7275	13	Minois	Minois		12				
Anonyme_Zoloe	00.37					Volsange	Volsange		40	Lauréda	Laurède	https://www.wikidata.org/wiki/Q1111777	21	Fessinot	Fessinot		13	Mirval	Mirval		8
Arnaud_Epoux	83.15	Paris	Paris	https://www.wikidata.org/wiki/Q90	27	Lesseville	Lesseville		19									état	État	https://www.wikidata.org/wiki/Q7275	10
Arnaud_Matinees	99.43					Dorneuil	Dorneuil		127	Dolimon	Dolimon		54	Géminyile	Géminyile		52	Sinderson	Sinderson		26
Arnaud_Sentiment	70.21	Nancy	Nancy	https://www.wikidata.org/wiki/Q40898	111	Sargines	Sargines		109	Ménécrate	Ménécrate		99	Syndham	Syndham		78				
Barthelemy_Voyage	88.27	Grèce	Grèce	https://www.wikidata.org/wiki/Q41	440	Athènes	Athènes	https://www.wikidata.org/wiki/Q1524	280	athéniens	Athènes	https://www.wikidata.org/wiki/Q1524	206	Lacédémone	Lacédémone		135	Sicile	Sicile	https://www.wikidata.org/wiki/Q4951156	104
Beauharnais_Lettres	78.1	Florizene	Florizene		157									Rosemont	Rosemont		74				
Beauharnais_Lettres	78.12	Florizene	Florizene		50																
Beaumont_Clarice	67.36	Londres	Londres	https://www.wikidata.org/wiki/Q84	51	Hariote	Hariote		38	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	36	France	France	https://www.wikidata.org/wiki/Q142	31	Bordeaux	Bordeaux	https://www.wikidata.org/wiki/Q1479	27
Beckford_Vathek	87.25	Nouronihar	Nouronihar		40	Gulchenrouz	Gulchenrouz		21	Morakanabad	Morakanabad		18	Samarah	Samarah	https://www.wikidata.org/wiki/Q20306954	13	Fakreddin	Fakreddin		13
Benoist_Elisabeth	66.11	Luzan	Luzan		103	Albi	Albi		54	Paris	Paris	https://www.wikidata.org/wiki/Q90	48	Saintré	Saintré		38				
Benouville_Pensees	58.8									Mérida	Mérida	https://www.wikidata.org/wiki/Q14323	10	Univers	univers	https://www.wikidata.org/wiki/Q1	8	Peuple	Peuple		6
Bernardin_Chaumiere	91.43	Gange	Gange	https://www.wikidata.org/wiki/Q5089	13	Inde	Inde	https://www.wikidata.org/wiki/Q668	12	Indes	Inde	https://www.wikidata.org/wiki/Q668	11	Jagrenat	Jagrenat		10	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	8
Bernardin_Paul	88.101									"""lEurope"""	Europe	https://www.wikidata.org/wiki/Q46	21	France	France		21				
Berquin_Enfants	82.14	S-Firmin	S-Firmin		61	Fanchette	Fanchette		24	Saint-Firmin	Saint-Firmin	https://www.wikidata.org/wiki/Q37180	19	Amand	Amand		8				
Boufflers_Reine	61.6	Golconde	Golconde		4	Paris	Paris	https://www.wikidata.org/wiki/Q90	3	état	État	https://www.wikidata.org/wiki/Q7275	3	Dinazarde	Dinazarde		1	Molinos	Molinos		1
Cazotte_Diable	72.17	Venise	Venise	https://www.wikidata.org/wiki/Q641	14	Estrémadure	Estrémadure	https://www.wikidata.org/wiki/Q742117	10	Olympia								Naples	Naples		7
Cazotte_Honneur	88.41	Bazilette	Bazilette		39	Primrose	Primrose		17					Guaiziek	Guaiziek		8	Bretagne	Bretagne	https://www.wikidata.org/wiki/Q327	5
Cazotte_Ollivier	63.19	Fleur-De-Myrte	Fleur-De-Myrte		38	Zerbin				Tours	Tours	https://www.wikidata.org/wiki/Q288	20	Barin	Barin		20	Inare	Inare		14
Charriere_Femmes	96.18	Altendorf	Altendorf	https://www.wikidata.org/wiki/Q69625	22					Paris	Paris	https://www.wikidata.org/wiki/Q90	13					Allemagne	Allemagne	https://www.wikidata.org/wiki/Q183	7
Charriere_Lausanne	85.24	Londres	Londres	https://www.wikidata.org/wiki/Q84	28					Bath	Bath	https://www.wikidata.org/wiki/Q22889	16	Lausanne	Lausanne	https://www.wikidata.org/wiki/Q807	15	Paris	Paris	https://www.wikidata.org/wiki/Q90	10
Chevrier_Colporteur	62.11	Paris	Paris	https://www.wikidata.org/wiki/Q90	65					Cléon	Cléon		21	France	France	https://www.wikidata.org/wiki/Q142	11	Beaumenard	Beaumenard		9
Constant_Laure1	86.27	Verseuil	Verseuil	https://www.wikidata.org/wiki/Q55038540	6	Orseuil	Orseuil		4												
Constant_Laure2	86.27	Marville	Marville	https://www.wikidata.org/wiki/Q59176	43					Flamacour	Flamacour		14	Paris	Paris	https://www.wikidata.org/wiki/Q90	12	Taninge	Taninges	https://www.wikidata.org/wiki/Q369188	10
Cottin_Claire	99.62					Loire	Loire	https://www.wikidata.org/wiki/Q1469	4					Lyon	Lyon	https://www.wikidata.org/wiki/Q456	2	Paris	Paris	https://www.wikidata.org/wiki/Q90	2
Crebillon_Atheniennes	71.23	Axiochus	Axiochus		77					Thrazylle	Thrazylle		47					état	État	https://www.wikidata.org/wiki/Q7275	37
Crebillon_Conte	54.13	Schah-Baham	Schah-Baham		48	Tout-Ou-Rien	Tout-Ou-Rien		42	état	État	https://www.wikidata.org/wiki/Q7275	40	Manzaïde	Manzaïde		32	autruche	autruche		26
Crebillon_Nuit	55.16	Célimene				Cidalise	Cidalise		10					Belise	Belise		5	Paris	Paris	https://www.wikidata.org/wiki/Q90	4
Denon_Point	79.15									sauvai	sauvai		1					Seine	Seine	https://www.wikidata.org/wiki/Q1471	1
Diderot_Jacques	97.21	Desglands	Desglands		27	Paris	Paris	https://www.wikidata.org/wiki/Q90	19	Arcis	Arcis		15	Merval	Merval		13	Gaine	Gaine		9
Diderot_Neveu	1									Paris	Paris	https://www.wikidata.org/wiki/Q90	5					Est	Est		4
Diderot_Religieuse	97.22	Paris	Paris	https://www.wikidata.org/wiki/Q90	29	Longchamp	Longchamp		22					Caen	Caen	https://www.wikidata.org/wiki/Q41185	16				
Diderot_Supplement	98.38	Taïti	Tahiti	https://www.wikidata.org/wiki/Q42000	26					Bougainville	Bougainville		5								
Doppet_Memoires	86.32	Paris	Paris	https://www.wikidata.org/wiki/Q90	27	Annecy	Annecy	https://www.wikidata.org/wiki/Q50189	26	Chambery	Chambéry	https://www.wikidata.org/wiki/Q165090	22	Savoye	Savoie	https://www.wikidata.org/wiki/Q14118	9	Univers	univers	https://www.wikidata.org/wiki/Q1	7
Dorat_Malheurs	72.19	Paris	Paris	https://www.wikidata.org/wiki/Q90	18	Sidley	Sidley		15									Italie	Italie	https://www.wikidata.org/wiki/Q38	4
Dorat_Sacrifices	71.25	Paris	Paris	https://www.wikidata.org/wiki/Q90	20	Est	est	https://www.wikidata.org/wiki/Q684	5									Versenai	Versenai		3
Ducray_Cinquante	61.R19	Paris	Paris	https://www.wikidata.org/wiki/Q90	86	Saint-Ange	Saint-Ange		81	Eranville	Eranville		65	Briceval	Briceval		61				
Dulaurens_Compere	99.76	Paris	Paris	https://www.wikidata.org/wiki/Q90	47					Rome	Rome	https://www.wikidata.org/wiki/Q220	23	état	État	https://www.wikidata.org/wiki/Q7275	20	espagnol	Espagne	https://www.wikidata.org/wiki/Q29	19
Dulaurens_Imirce	66.21	Paris	Paris	https://www.wikidata.org/wiki/Q90	89	Tien	Tien		24	Zéphyre	Zéphyre	https://www.wikidata.org/wiki/Q3576516	19	France	France		10				
Fievee_Dot	65.21	Paris	Paris	https://www.wikidata.org/wiki/Q90	24	Londres	Londres	https://www.wikidata.org/wiki/Q84	11	Senneterre	Senneterre		10	Saint-Domingue	Saint-Domingue	https://www.wikidata.org/wiki/Q861551	9	France	France	https://www.wikidata.org/wiki/Q142	5
Florian_Estelle	98.41	Némorin	Némorin		43	Massanne	Massanne		26					Languedoc	Languedoc	https://www.wikidata.org/wiki/Q206221	13	Nismes	Nismes		12
Florian_Galatee	88.53	Artidore	Artidore		38	Téolinde	Téolinde		33	Mœris	Mœris		29	Nisida	Nisida	https://www.wikidata.org/wiki/Q1192720	19	Florise	Florise		16
Florian_Numa	83.26	Rome	Rome	https://www.wikidata.org/wiki/Q220	98		Hersilie	https://www.wikidata.org/wiki/Q1402198		romains	romains		51	Cérès	(1) Cérès	https://www.wikidata.org/wiki/Q596	25				
Fourqueux_Zely	86.34	Nassès	Nassès		17					Ville	ville	https://www.wikidata.org/wiki/Q515	5								
Genlis_Adele	75.28	Paris	Paris	https://www.wikidata.org/wiki/Q90	143	Lagaraye	Lagaraye		58	Rome	Rome	https://www.wikidata.org/wiki/Q220	44	Dainville	Dainville		33	Languedoc	Languedoc	https://www.wikidata.org/wiki/Q206221	29
Genlis_Chevaliers	82.20	Armoflède	Armoflède		280	Nasuf	Nasuf		101	Vitikind	Vitikind		65					Diaulas	Diaulas		42
Gerard_Comte	95.20					Senneville	Senneville		44					Est	est	https://www.wikidata.org/wiki/Q684	8	Rome	Rome	https://www.wikidata.org/wiki/Q220	8
Gorjy_Voyage	74.15	Kermouth	Kermouth		12	Paris	Paris	https://www.wikidata.org/wiki/Q90	5	Calais	Calais		3	Bruxelles	Bruxelles		2	France	France	https://www.wikidata.org/wiki/Q142	2
Jacquin_Parisiennes	84.27	Barville	Barville		53	Hortence	Hortence	https://www.wikidata.org/wiki/Q21144570	50	Paris	Paris	https://www.wikidata.org/wiki/Q90	24								
Laclos_Liaisons	58.13	Paris	Paris	https://www.wikidata.org/wiki/Q90	104									Opéra	opéra	https://www.wikidata.org/wiki/Q153562	14	Gercourt	Gercourt-et-Drillancourt	https://www.wikidata.org/wiki/Q217293	12
Lagrave_Sophie	82.17	Auterive	Auterive		31	Dijon	Dijon	https://www.wikidata.org/wiki/Q7003	21	Paris	Paris	https://www.wikidata.org/wiki/Q90	18	Ormilly	Ormilly		16	Armincourt	Armincourt		15
Lagrave_Zabeth	99.104	Saint-Silvain	Saint-Silvain		120	Combe	Combe		39	Fermon	Fermon		27	Wilton	Wilton		21	Boulogne	bois de Boulogne	https://www.wikidata.org/wiki/Q209626	17
