FR;;;
new;;;
LOCATION STRING (novel);Wikidata Label fr;coordonnées géographiques;Wikidata URL (P31)
Vernol;Vernol;;
Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
Frivolipolis;Frivolipolis;;
Schah-Baham;Schah-Baham;;
Trénel;Trénel;;
S-Firmin;S-Firmin;;
;;;
;;;
;;;
Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
;;;
Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
Babylone;Babylone;32.541780555556,44.431644444444;https://www.wikidata.org/wiki/Q5684
Grèce;Grèce;38.5,23;https://www.wikidata.org/wiki/Q41
;;;
;;;
Erford;Erford;;https://www.wikidata.org/wiki/Q36858333
Stainville;Stainville;48.653611111111,5.1855555555556;https://www.wikidata.org/wiki/Q210672
Saturne;Saturne;;https://www.wikidata.org/wiki/Q193
;;;
;;;
Marville;Marville;49.452222222222,5.4558333333333;https://www.wikidata.org/wiki/Q59176
Dubois;Dubois;;
Saint-Silvain;Saint-Silvain;;
Desglands;Desglands;;
;;;
Rome;Rome;41.893055555556,12.482777777778;https://www.wikidata.org/wiki/Q220
Mondelis;Mondelis;;
Français;Français;;
Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
Némorin;Némorin;;
;;;
Mortagne;Mortagne;;
Pizarre;Pizarre;;
etamp;etamp;;
Florizene;Florizene;;
Sydney;Sydney;;
;;;
Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
Axiochus;Axiochus;;
;;;
Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
Bazilette;Bazilette;;
État;État;;https://www.wikidata.org/wiki/Q7275
;;;
 Strasbourg;Strasbourg;48.573333333333,7.7522222222222;https://www.wikidata.org/wiki/Q6602
 Dorneuil; Dorneuil;;
;;;
 Zerbin;;;
 Dijon;Dijon;47.323055555556,5.0419444444444;https://www.wikidata.org/wiki/Q7003
 Londres;Londres;51.507222222222,-0.1275;https://www.wikidata.org/wiki/Q84
;;;
 Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
 Inde;Inde;22.8,83;https://www.wikidata.org/wiki/Q668
;;;
;;;
 Orseuil; Orseuil;;
 Estrémadure;Estrémadure;38.708042,-9.139016;https://www.wikidata.org/wiki/Q742117
;;;
 Méris; Méris;;
;;;
 Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
;;;
 Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
 Albi; Albi;;
 Est;est;;https://www.wikidata.org/wiki/Q684
 Volsange; Volsange;;
;;;
 Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
 Cidalise; Cidalise;;
 Sargines; Sargines;;
 Florimonde; Florimonde;;
 Phocide;Phocide;38.5,22.25;https://www.wikidata.org/wiki/Q26915
 Turin;Turin;45.066666666667,7.7;https://www.wikidata.org/wiki/Q495
;;;
 Paquantois; Paquantois;;
 Longchamp; Longchamp;;
 Saint-Flour; Saint-Flour;;
 état;État;;https://www.wikidata.org/wiki/Q7275
 Londres;Londres;51.507222222222,-0.1275;https://www.wikidata.org/wiki/Q84
 Corée;Corée;38.316666666667,127.23333333333;https://www.wikidata.org/wiki/Q18097
 Galligènes; Galligènes;;
 le Taïtien; le Taïtien;;
 Gulchenrouz; Gulchenrouz;;
 Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
 Téolinde; Téolinde;;
;;;
 État;État;;https://www.wikidata.org/wiki/Q7275
 Ust; Ust;;
 Londres;Londres;51.507222222222,-0.1275;https://www.wikidata.org/wiki/Q84
 Clarens; Clarens;;
 Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
 Tien; Tien;;
 Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
;;;
 Annecy;Annecy;45.899166666667,6.1294444444444;https://www.wikidata.org/wiki/Q50189
 Nasuf; Nasuf;;
;;;
 Lesseville; Lesseville;;
 Milcourt; Milcourt;;
;;;
;;;
 Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
 Isménie; Isménie;;
 Hortence;Hortence;;https://www.wikidata.org/wiki/Q21144570
;;;
 Montpellier;Montpellier;43.610919444444,3.8772305555556;https://www.wikidata.org/wiki/Q6441
;;;
;;;
 Lagaraye; Lagaraye;;
 Vestibule;vestibule;;https://www.wikidata.org/wiki/Q301276
 Hariote; Hariote;;
 Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
;;;
;;;
 Zamé;Zamé;11.083333333333,-0.56666666666667;https://www.wikidata.org/wiki/Q8065766
 Hiboumanes; Hiboumanes;;
 Tout-Ou-Rien; Tout-Ou-Rien;;
;;;
 Fanchette; Fanchette;;
 Arras;Arras;50.289166666667,2.78;https://www.wikidata.org/wiki/Q131329
 Loire;Loire;44.841666666667,4.2186111111111;https://www.wikidata.org/wiki/Q1469
;;47.27,-2.1844444444444;
 Saint-Ange; Saint-Ange;;
;;;
;;;
;;;
 Amazan; Amazan;;
 Athènes;Athènes;37.98416666666667,23.728055555555557;https://www.wikidata.org/wiki/Q1524
 Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
 Cressy; Cressy;;
 Vinchester; Vinchester;;
 Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
 Micromégas;Micromégas;;https://www.wikidata.org/wiki/Q1785978
 Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
 Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
;;;
 Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
 Combe; Combe;;
 Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
 Senneville; Senneville;;
;Hersilie;;https://www.wikidata.org/wiki/Q1402198
 Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
 Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
 Sidley; Sidley;;
 Massanne; Massanne;;
;;;
 Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
 indiens; indiens;;
 Univers;univers;;https://www.wikidata.org/wiki/Q1
;;;
 Aiglemont;Aiglemont;49.781388888889,4.7658333333333;https://www.wikidata.org/wiki/Q541738
 Venise;Venise;45.439722222222,12.331944444444;https://www.wikidata.org/wiki/Q641
 Nitri; Nitri;;
;;;
 la Terre;Terre;;https://www.wikidata.org/wiki/Q2
 Villarceaux;domaine de Villarceaux;49.123055555556,1.7058333333333;https://www.wikidata.org/wiki/Q3034560
 Primrose; Primrose;;
 Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
 Rome;Rome;41.893055555556,12.482777777778;https://www.wikidata.org/wiki/Q220
;;;
 Dolimon; Dolimon;;
 Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
 Tours;Tours;47.392777777778,0.68833333333333;https://www.wikidata.org/wiki/Q288
 Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
 Senneterre; Senneterre;;
;;;
 Etat;État;;https://www.wikidata.org/wiki/Q7275
 Indes;Inde;22.8,83;https://www.wikidata.org/wiki/Q668
;;;
 Cléon; Cléon;;
;;;
 Olympia;;;
;;;
 Silvérie;Silvérie;;https://www.wikidata.org/wiki/Q19232000
 Vénus;Vénus;;https://www.wikidata.org/wiki/Q313
 Branlinos; Branlinos;;
" ""lEurope""";Europe;48.690959,9.14062;https://www.wikidata.org/wiki/Q46
 palais-royal;Palais-Royal;48.863333333333,2.3369444444444;https://www.wikidata.org/wiki/Q329948
 Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
;;;
 Lauréda;Laurède;43.755555555556,-0.78861111111111;https://www.wikidata.org/wiki/Q1111777
;;;
 Cieux;Cieux;45.991666666667,1.0452777777778;https://www.wikidata.org/wiki/Q597576
;;;
 Ménécrate; Ménécrate;;
 Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
 Athenes;Athènes;37.98416666666667,23.728055555555557;https://www.wikidata.org/wiki/Q1524
 Rome;Rome;41.893055555556,12.482777777778;https://www.wikidata.org/wiki/Q220
 Fromonville; Fromonville;;
 Memphis;Memphis;29.85412,31.25934;https://www.wikidata.org/wiki/Q5715
;;;
 Milcourt; Milcourt;;
 Rome;Rome;41.893055555556,12.482777777778;https://www.wikidata.org/wiki/Q220
 Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
;;;
 Almont; Almont;;
 Bougainville; Bougainville;;
 Morakanabad; Morakanabad;;
 Hongrie;Hongrie;47,19;https://www.wikidata.org/wiki/Q28
 Mœris; Mœris;;
 Bath;Bath;51.381389,-2.358611;https://www.wikidata.org/wiki/Q22889
 Saint-Ange; Saint-Ange;;
 Polonais;Pologne;52,19;https://www.wikidata.org/wiki/Q36
;;;
 Orbe; Orbe;;
 État;État;;https://www.wikidata.org/wiki/Q7275
 Zéphyre;Zéphyre;;https://www.wikidata.org/wiki/Q3576516
 état;État;;https://www.wikidata.org/wiki/Q7275
 état;État;;https://www.wikidata.org/wiki/Q7275
 Chambery;Chambéry;45.566388888889,5.9208333333333;https://www.wikidata.org/wiki/Q165090
 Vitikind; Vitikind;;
 Timori; Timori;;
;;;
 soleil;Soleil;;https://www.wikidata.org/wiki/Q525
 Mérida;Mérida;38.915833333333,-6.3333333333333;https://www.wikidata.org/wiki/Q14323
 Alep;Alep;36.2,37.15;https://www.wikidata.org/wiki/Q41183
 Calais; Calais;;
 Bactriane;Bactriane;36.758056,66.898889;https://www.wikidata.org/wiki/Q132646
 Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
 Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
 Anglais;Angleterre;53,-1;https://www.wikidata.org/wiki/Q21
 Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
 Thémidore; Thémidore;;
 Rome;Rome;41.893055555556,12.482777777778;https://www.wikidata.org/wiki/Q220
 Anglois; Anglois;;
 Angleterre;Angleterre;53,-1;https://www.wikidata.org/wiki/Q21
" ""lEurope""";Europe;48.690959,9.14062;https://www.wikidata.org/wiki/Q46
 Ville;ville;;https://www.wikidata.org/wiki/Q515
;;;
;;;
 Etat;État;;https://www.wikidata.org/wiki/Q7275
 état;État;;https://www.wikidata.org/wiki/Q7275
 état;État;;https://www.wikidata.org/wiki/Q7275
 Saint-Firmin;Saint-Firmin;47.043333333333,3.3916666666667;https://www.wikidata.org/wiki/Q37180
;;;
;;;
;;;
 Eranville; Eranville;;
;;;
;;;
 Lyon;Lyon;45.758888888889,4.8413888888889;https://www.wikidata.org/wiki/Q456
 Égypte;Égypte;27,29;https://www.wikidata.org/wiki/Q79
 athéniens;Athènes;37.98416666666667,23.728055555555557;https://www.wikidata.org/wiki/Q1524
;;;
;;;
 Londres;Londres;51.507222222222,-0.1275;https://www.wikidata.org/wiki/Q84
 Thomill; Thomill;;
 Sirius;Sirius;;https://www.wikidata.org/wiki/Q3409
 Zélamir; Zélamir;;
 Fanchette; Fanchette;;
 Flamacour; Flamacour;;
 Lyon;Lyon;45.758888888889,4.8413888888889;https://www.wikidata.org/wiki/Q456
 Fermon; Fermon;;
 Arcis; Arcis;;
;;;
 romains; romains;;
 Sancerre; Sancerre;;
 Francfort;Francfort-sur-le-Main;50.113611111111,8.6797222222222;https://www.wikidata.org/wiki/Q1794
;;;
;;;
 sauvai; sauvai;;
 Neuilly; Neuilly;;
 incas;civilisation inca;;https://www.wikidata.org/wiki/Q3404008
 Zeinzemin; Zeinzemin;;
;;;
 Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
 Bulgares;Bulgarie;42.75,25.5;https://www.wikidata.org/wiki/Q219
 Auxerre;Auxerre;47.7975,3.5669444444444;https://www.wikidata.org/wiki/Q167600
 Thrazylle; Thrazylle;;
;;;
;;;
;;;
Europe;Europe;48.690959,9.14062;https://www.wikidata.org/wiki/Q46
 état;État;;https://www.wikidata.org/wiki/Q7275
;;;
 Géminyile; Géminyile;;
;;;
 Barin; Barin;;
 Ormilly; Ormilly;;
 Saint-Domingue;Saint-Domingue;19.1,-72.333333333333;https://www.wikidata.org/wiki/Q861551
 Grande-Bretagne;Royaume-Uni;54.6,-2;https://www.wikidata.org/wiki/Q145
" ""lEurope""";Europe;48.690959,9.14062;https://www.wikidata.org/wiki/Q46
 Jagrenat; Jagrenat;;
;;;
 de France;France;47,2;https://www.wikidata.org/wiki/Q142
;;;
;;;
 Rosemont; Rosemont;;
;;;
 Sylvanire; Sylvanire;;
 Dorville; Dorville;;
 France; France;;
;;;
 Saintré; Saintré;;
;;;
 Fessinot; Fessinot;;
;;;
 Naples;Naples;40.833333333333,14.25;https://www.wikidata.org/wiki/Q2634
 Belise; Belise;;
 Syndham; Syndham;;
 Strasbourg; Strasbourg;;
 Locriens; Locriens;;
 soleil;Soleil;;https://www.wikidata.org/wiki/Q525
;;;
;;;
 Caen;Caen;49.182222222222,-0.37055555555556;https://www.wikidata.org/wiki/Q41185
 Saint - Flour; Saint - Flour;;
" ""l empire""";" ""l empire""";;
 Layrac; Layrac;;
 Timante; Timante;;
 République;république;;https://www.wikidata.org/wiki/Q7270
 Taïti;Tahiti;-17.666666666667,-149.46666666667;https://www.wikidata.org/wiki/Q42000
 Samarah;Samarah;16.139722222222,43.151944444444;https://www.wikidata.org/wiki/Q20306954
 Tergowitz; Tergowitz;;
 Nisida;Nisida;40.795277777778,14.163333333333;https://www.wikidata.org/wiki/Q1192720
 Lausanne;Lausanne;46.533333333333,6.6333333333333;https://www.wikidata.org/wiki/Q807
 Rome;Rome;41.893055555556,12.482777777778;https://www.wikidata.org/wiki/Q220
 Bude; Bude;;
;;;
;;;
 Minois; Minois;;
 France; France;;
 Dinazarde; Dinazarde;;
" ""l empire""";" ""l empire""";;
 Savoye;Savoie;45.57,5.9118;https://www.wikidata.org/wiki/Q14118
;;;
;;;
;;;
 jura;Jura;47.2431,6.0219;https://www.wikidata.org/wiki/Q178611
 Univers;univers;;https://www.wikidata.org/wiki/Q1
 Isle; Isle;;
 Bruxelles; Bruxelles;;
 Médie; Médie;;
 etamp; etamp;;
 Valcreux; Valcreux;;
;;;
;;;
 Elmasie; Elmasie;;
 Dainville; Dainville;;
 Pays;pays;;https://www.wikidata.org/wiki/Q6256
 France;France;47,2;https://www.wikidata.org/wiki/Q142
 Rome;Rome;41.893055555556,12.482777777778;https://www.wikidata.org/wiki/Q220
;;;
;;;
 Déterville; Déterville;;
;;;
 Manzaïde; Manzaïde;;
 Murcé; Murcé;;
 Amand; Amand;;
 Tiennete; Tiennete;;
 Lyon;Lyon;45.758888888889,4.8413888888889;https://www.wikidata.org/wiki/Q456
;;;
 Briceval; Briceval;;
 Opéra;opéra;;https://www.wikidata.org/wiki/Q153562
 Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
 Couvent;couvent;;https://www.wikidata.org/wiki/Q1128397
;;;
 Lacédémone; Lacédémone;;
 Lyon; Lyon;;
 Chelles; Chelles;;
 Montfort; Montfort;;
 Liège;Liège;50.639722222222225,5.570555555555556;https://www.wikidata.org/wiki/Q3992
 Jupiter;Jupiter;;https://www.wikidata.org/wiki/Q319
 Michette;Michette;;https://www.wikidata.org/wiki/Q6747596
 Lagouache; Lagouache;;
 Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
 Cardoville; Cardoville;;
 Wilton; Wilton;;
 Merval; Merval;;
 Est;est;;https://www.wikidata.org/wiki/Q684
 Cérès;(1) Cérès;;https://www.wikidata.org/wiki/Q596
 Comminges; Comminges;;
 France;France;47,2;https://www.wikidata.org/wiki/Q142
;;;
 Languedoc;Languedoc;43.666666666667,3.1666666666667;https://www.wikidata.org/wiki/Q206221
;;;
 Angleterre;Angleterre;53,-1;https://www.wikidata.org/wiki/Q21
 Cusco;Cuzco;-13.26,-72.11;https://www.wikidata.org/wiki/Q205057
 Isles; Isles;;
;;;
;;;
 Constantinople;Constantinople;41.01224,28.976018;https://www.wikidata.org/wiki/Q16869
 état;État;;https://www.wikidata.org/wiki/Q7275
 Guaiziek; Guaiziek;;
 Angleterre;Angleterre;53,-1;https://www.wikidata.org/wiki/Q21
 espagnol;Espagne;40.2,-3.5;https://www.wikidata.org/wiki/Q29
;;;
 Sinderson; Sinderson;;
 Allemagne;Allemagne;51,10;https://www.wikidata.org/wiki/Q183
 Inare; Inare;;
 Armincourt; Armincourt;;
 France;France;47,2;https://www.wikidata.org/wiki/Q142
 Angleterre;Angleterre;53,-1;https://www.wikidata.org/wiki/Q21
 Sparte;Sparte;37.081944444444,22.423611111111;https://www.wikidata.org/wiki/Q5690
 Angleterre;Angleterre;53,-1;https://www.wikidata.org/wiki/Q21
;;;
 Beaumenard; Beaumenard;;
;;;
 Naples; Naples;;
;;;
;;;
;;;
;;;
;;;
 Amiens;Amiens;49.891944444444,2.2977777777778;https://www.wikidata.org/wiki/Q41604
;;;
 Versenai; Versenai;;
 Mirval; Mirval;;
;;;
 France;France;47,2;https://www.wikidata.org/wiki/Q142
 Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
;;;
 Europe; Europe;;
 Phocus; Phocus;;
;;;
 Belcour; Belcour;;
;;;
;;;
 Alibre; Alibre;;
 Italie; Italie;;
 Angleterre;Angleterre;53,-1;https://www.wikidata.org/wiki/Q21
 Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
 Alcine; Alcine;;
;;;
 Fakreddin; Fakreddin;;
;;;
 Florise; Florise;;
 Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
;;;
 Francfort;Francfort-sur-le-Main;50.113611111111,8.6797222222222;https://www.wikidata.org/wiki/Q1794
 Angleterre;Angleterre;53,-1;https://www.wikidata.org/wiki/Q21
 Londres;Londres;51.507222222222,-0.1275;https://www.wikidata.org/wiki/Q84
;;;
;;;
 Molinos; Molinos;;
;;;
 Univers;univers;;https://www.wikidata.org/wiki/Q1
 Diaulas; Diaulas;;
 Guaé; Guaé;;
 état;État;;https://www.wikidata.org/wiki/Q7275
 Alibre; Alibre;;
 Peuple; Peuple;;
 Sérail;sérail;;https://www.wikidata.org/wiki/Q1170287
 France;France;47,2;https://www.wikidata.org/wiki/Q142
 Hyrcanie;Hyrcanie;36.967822,55.011854;https://www.wikidata.org/wiki/Q48726
;;;
 Baronnet; Baronnet;;
;Despras;;https://www.wikidata.org/wiki/Q63087559
 Est; Est;;
 Zélamire; Zélamire;;
 Languedoc;Languedoc;43.666666666667,3.1666666666667;https://www.wikidata.org/wiki/Q206221
 Région;zone géographique;;https://www.wikidata.org/wiki/Q82794
 Bordeaux;Bordeaux;44.837777777778,-0.57944444444444;https://www.wikidata.org/wiki/Q1479
 la France;France;47,2;https://www.wikidata.org/wiki/Q142
 autruche; autruche;;
 Vante; Vante;;
 Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
 Gercourt;Gercourt-et-Drillancourt;49.285,5.2380555555556;https://www.wikidata.org/wiki/Q217293
 Varsovie;Varsovie;52.216666666667,21.033333333333;https://www.wikidata.org/wiki/Q270
;;;
 Scythes;Scythes;;https://www.wikidata.org/wiki/Q131802
 Sicile;Sicile;37.566666666667,14.266666666667;https://www.wikidata.org/wiki/Q4951156
 Gersay; Gersay;;
 Mosès; Mosès;;
 Orl; Orl;;
 mer Baltique;mer Baltique;58,20;https://www.wikidata.org/wiki/Q545
 Parangon; Parangon;;
 Taninge;Taninges;46.1075,6.5913888888889;https://www.wikidata.org/wiki/Q369188
;;;
 Boulogne;bois de Boulogne;48.864722222222,2.2508333333333;https://www.wikidata.org/wiki/Q209626
 Gaine; Gaine;;
 Rome;Rome;41.893055555556,12.482777777778;https://www.wikidata.org/wiki/Q220
 Thémines; Thémines;;
 la France;France;47,2;https://www.wikidata.org/wiki/Q142
 Italie;Italie;42.5,12.5;https://www.wikidata.org/wiki/Q38
 Nismes; Nismes;;
 Seine;Seine;49.434722222222,0.1175;https://www.wikidata.org/wiki/Q1471
 Londres;Londres;51.507222222222,-0.1275;https://www.wikidata.org/wiki/Q84
 soleil;Soleil;;https://www.wikidata.org/wiki/Q525
 Pays;pays;;https://www.wikidata.org/wiki/Q6256
 Buenos-Ayres;Buenos Aires;-34.599722222222,-58.381944444444;https://www.wikidata.org/wiki/Q1486
 Noyers;Noyers;47.696944444444,3.9938888888889;https://www.wikidata.org/wiki/Q732586
 état;État;;https://www.wikidata.org/wiki/Q7275
 Bretagne;Bretagne;48,-3;https://www.wikidata.org/wiki/Q327
