filename	au-name	au-birth	au-death	title	au-gender	firsted-yr	printSource-yr	form	spelling	data-capture	token count	vols_count	size	bgrf	author_wikidata	title_wikidata	lang	publisher	distributor	distribution_date	copyright_status	digitalSource_Title	digitalSource_Ref	digitalSource_Publisher	digitalSource_Date	printSource_title	printSource_author	printSource_pubPlace	printSource_date	resp_datacapture	resp_encoding
Arnaud_Clary	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Clary ou le retour à la vertu récompensé	M	1767	1773	mixed	modern	semi-automatic transcription	14367	NA	short	67.15	Q548610	NA	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18		https://creativecommons.org/publicdomain/zero/1.0/deed.en	NA	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	NA	NA	Épreuves du sentiment	François-Thomas-Marie de Baculard d'Arnaud	Paris	1773	unknown	Amelie Probst
Arnaud_Epoux	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Les époux malheureux	M	1745	1803	autodiegetic	modern	semi-automatic transcription	76729	2	medium	83.15	Q548610	NA	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	NA	https://www.frantext.fr/repository/frantext	NA	NA	Les Époux malheureux ou Histoire de Monsieur et Madame de ***	François-Thomas-Marie de Baculard d'Arnaud	NA	1803	frantext	Johanna Konstanciak
Arnaud_Fanny	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Fanny, histoire anglaise	M	1764	1773	autodiegetic	modern	semi-automatic transcription	17766	NA	short	64.14	Q548610	NA	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18		https://creativecommons.org/publicdomain/zero/1.0/deed.en	NA	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	NA	NA	Épreuves du sentiment	François-Thomas-Marie de Baculard d'Arnaud	Paris	1773	unknown	Amelie Probst
Arnaud_Julie	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Julie ou l'heureux repentir	M	1767	1773	heterodiegetic	historical	semi-automatic transcription	17122	NA	short	67.16	Q548610	NA	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18		https://creativecommons.org/publicdomain/zero/1.0/deed.en	NA	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	NA	NA	Épreuves du sentiment	François-Thomas-Marie de Baculard d'Arnaud	Paris	1773	unknown	Amelie Probst
Arnaud_Lucie	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Lucie et Mélanie ou les deux sœurs généreuses	M	1767	1773	heterodiegetic	modern	semi-automatic transcription	13017	NA	short	67.17	Q548610	NA	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18		https://creativecommons.org/publicdomain/zero/1.0/deed.en	NA	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	NA	NA	Épreuves du sentiment	François-Thomas-Marie de Baculard d'Arnaud	Paris	1773	unknown	Amelie Probst
Arnaud_Matinees	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Les matinées	M	1798	1799	heterodiegetic	historical	semi-automatic transcription	76551	3	medium	99.43	Q548610	NA	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	NA	https://books.google.de/books?id=srQ5AAAAcAAJ	NA	NA	Les matinées, nouvelles anecdotes	François-Thomas-Marie de Baculard d'Arnaud	Paris	1799	googlebooks	Amelie Probst
Arnaud_Nancy	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Nancy ou les malheurs de l'imprudence et de la jalousie	M	1767	1773	heterodiegetic	historical	semi-automatic transcription	17504	NA	short	67.18	Q548610	NA	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18		https://creativecommons.org/publicdomain/zero/1.0/deed.en	NA	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	NA	NA	Épreuves du sentiment	François-Thomas-Marie de Baculard d'Arnaud	Paris	1773	unknown	Amelie Probst
Arnaud_Sargines	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Sargines, nouvelle	M	1772	1773	heterodiegetic	modern	semi-automatic transcription	22138	NA	short	72.11	Q548610	NA	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18		https://creativecommons.org/publicdomain/zero/1.0/deed.en	NA	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	NA	NA	Épreuves du sentiment	François-Thomas-Marie de Baculard d'Arnaud	Paris	1773	unknown	Amelie Probst
Arnaud_Selicourt	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Sélicourt, nouvelle	M	1769	1773	heterodiegetic	modern	semi-automatic transcription	18754	NA	short	69.13	Q548610	NA	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18		https://creativecommons.org/publicdomain/zero/1.0/deed.en	NA	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	NA	NA	Épreuves du sentiment	François-Thomas-Marie de Baculard d'Arnaud	Paris	1773	unknown	Amelie Probst
Arnaud_Sidney	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Sidney et Volsan	M	1766	1773	autodiegetic	modern	semi-automatic transcription	18053	NA	short	66.9	Q548610	NA	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18		https://creativecommons.org/publicdomain/zero/1.0/deed.en	NA	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	NA	NA	Épreuves du sentiment	François-Thomas-Marie de Baculard d'Arnaud	Paris	1773	unknown	Amelie Probst
Arnaud_Zenothemis	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Zénothémis	M	1773	1773	heterodiegetic	historical	semi-automatic transcription	18678	NA	short	73.9	Q548610	NA	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18		https://creativecommons.org/publicdomain/zero/1.0/deed.en	NA	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	NA	NA	Épreuves du sentiment	François-Thomas-Marie de Baculard d'Arnaud	Paris	1773	unknown	Amelie Probst
BarbeMarbois_Parisienne	François Barbé-Marbois	1745	1837	La Parisienne en province	M	1769	1769	heterodiegetic	historical	semi-automatic transcription	28964	NA	short	69.14	Q708732	NA	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	NA	https://creativecommons.org/publicdomain/zero/1.0/deed.en	NA	https://gallica.bnf.fr/ark:/12148/bpt6k6382224v?rk=21459;2	NA	NA	La Parisienne en province. Ouvrage national. Par                    M.....	François marquis de Barbé-Marbois	Amsterdam	1769	gallica	Johanna Konstanciak
Barthe_Femme	Nicolas Thomas Barthe	1736	1785	La jolie femme ou la femme du jour	M	1769	1769	heterodiegetic	historical	semi-automatic transcription	62780	NA	medium	69.15	Q3340819	NA	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	NA	https://creativecommons.org/publicdomain/zero/1.0/deed.en	NA	https://www.digitale-sammlungen.de/de/view/bsb10088194?page=,1	NA	NA	La jolie femme, ou la femme du jour.	Nicolas-Thomas Barthe	Lyon	1769	Münchener DigitalisierungsZentrum	Johanna Konstanciak
Bastide_Maison	Jean François Bastide	1724	1798	La Petite Maison	M	1762	1879	heterodiegetic	modern	semi-automatic transcription	6932	NA	short	62.9	Q3165946	Q19187345	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	NA	https://creativecommons.org/publicdomain/zero/1.0/deed.en	NA	https://fr.wikisource.org/wiki/La_Petite_Maison	NA	NA	La Petite Maison	Jean-François de Bastide	Paris	1879	wikisource	NA
Beauharnais_Lettres	Fanny de Beauharnais	1737	1813	Lettres de Stéphanie	F	1778	1778	epistolary	historical	double keying, semi-automatic transcription	130032	3	long	78.12	Q446559	NA	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	NA	https://creativecommons.org/publicdomain/zero/1.0/deed.en	NA	gallica	NA	NA	NA	NA	NA	1778	"double keying by ""Jiangsu"", China"	Julia Dudar
Beaumont_Belle	Jeanne-Marie Leprince de Beaumont	1711	1776	La Belle et la Bête	F	1756	1806	heterodiegetic	modern	semi-automatic transcription	5599	NA	short	56.19	Q466788	Q60193373	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	NA	https://creativecommons.org/publicdomain/zero/1.0/deed.en	NA	https://fr.wikisource.org/wiki/Contes_moraux_pour_l%E2%80%99instruction_de_la_jeunesse/La_Belle_et_la_B%C3%AAte	NA	NA	Contes moraux pour l'instruction de la jeunesse	Jeanne Marie Leprince de Beaumont	Paris	1806	wikisource	NA
Beaumont_Clarice	Jeanne-Marie Leprince de Beaumont	1711	1780	La nouvelle Clarice	F	1767	1767	epistolary	historical	double keying	135343	2	long	67.36	Q466788	NA	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	NA	https://gallica.bnf.fr/ark:/12148/bpt6k6550212p	NA	2013	La nouvelle Clarice, histoire véritable	Jeanne-Marie Leprince de Beaumont	Lyon	1767	"double keying by ""Jiangsu"", China"	Julia Dudar
Beaumont_Prince	Jeanne-Marie Leprince de Beaumont	1711	1776	Le Prince Chéri	F	1756	1806	heterodiegetic	modern	semi-automatic transcription	4674	NA	short	56.19	Q466788	Q106165259	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	NA	https://creativecommons.org/publicdomain/zero/1.0/deed.en	NA	https://fr.wikisource.org/wiki/Contes_moraux_pour_l%E2%80%99instruction_de_la_jeunesse/Le_Prince_Ch%C3%A9ri	NA	NA	Contes moraux pour l'instruction de la jeunesse	Jeanne Marie Leprince de Beaumont	Paris	1806	wikisource	NA
Beckford_Vathek	William Beckford	1760	1844	Vathek: conte arabe	M	1787	1787	heterodiegetic	modern	semi-automatic transcription	35146	NA	short	87.25	Q361026	Q54548	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18		https://creativecommons.org/publicdomain/zero/1.0/deed.en	NA	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	NA	NA	Vathek, conte arabe	William Beckford	Paris	1787	unknown	Amelie Probst
Bellin_Nuit	Louis François Marie Bellin de La Liborlière	1774	1847	La Nuit anglaise	M	1799	1799	heterodiegetic	historical	semi-automatic transcription	47089	2	short	99.44	Q3261946	NA	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	NA	https://creativecommons.org/publicdomain/zero/1.0/deed.en	NA	https://gdz.sub.uni-goettingen.de/id/PPN879346302	NA	NA	La nuit anglaise ou aventures jadis un peu extraordinaires, mais aujourd'hui                        toutes simples et très communes de M. Dabaud, marchand de la rue Saint-Honoré, à                        Paris	Louis François Marie Bellin de La Liborlière	Hambourg	1799	Niedersächsische Staars- und Universitätsbibliothek Göttingen	NA
Benoist_Elisabeth	Françoise-Albine Benoist	1724	1809	Elisabeth	F	1766	1766	epistolary	historical	double keying	84717	3	medium	66.11	Q3086371	NA	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	NA	https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001100158141	NA	NA	Elisabeth, roman. Par madame ***	Françoise-Albine Puzin de la Martinière, Mme Benoist	Amsterdam	1766	"double keying volume 3 by ""Jiangsu"", China"	Julia Dudar
Benouville_Pensees	Bonne-Charlotte Bénouville	NA	NA	Les pensées errantes	F	1758	1758	epistolary	historical	double keying	39063	NA	short	58.8	0	NA	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	NA	https://gallica.bnf.fr/ark:/12148/bpt6k6260293p	NA	NA	Les pensées errantes ; avec quelques lettres d'un     Indien	Henriette de Marans	London	1758	"double keying by ""Jiangsu"", China"	Julia Dudar
Bernardin_Chaumiere	Jacques Henri Bernardin de Saint-Pierre	1737	1814	Chaumière Indienne	M	1791	1829	heterodiegetic	modern	semi-automatic transcription	13551	NA	short	91.43	Q361976	Q42187814	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	NA	https://www.frantext.fr/	NA	NA	NA	NA	NA	1829	frantext	Johanna Konstanciak
Bernardin_Paul	Jacques Henri Bernardin de Saint-Pierre	1737	1814	Paul et Virginie	M	1787	1806	homodiegetic	modern	semi-automatic transcription	64366	NA	medium	88.101	Q361976	Q2293012	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	NA	https://www.ebooksgratuits.com/details.php?book=1682	NA	NA	Paul et Virginie	Jacques-Henri Bernardin de Saint Pierre	Paris	1806	Ebooks libres et gratuits contributors	Julia Dudar
Berquin_Enfants	Arnaud Berquin	1747	1791	L'ami des Enfants	M	1782	1845	mixed	modern	semi-automatic transcription	38322	NA	short	82.14	Q350566	Q42185919	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18		https://creativecommons.org/publicdomain/zero/1.0/deed.en	NA	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	NA	NA	L'ami des enfants	Arnaud Berquin	Paris	1845	unknown	Amelie Probst
