,Abbes_Voyage,Anonym_Suzon,Beauharnais_Lettres,Beaumont_Clarice,Benoist_Elisabeth3,Benouville_Pensees,Bernardin_Paul,Bernardin_Paul[1],Constant_Laure1,Constant_Laure2,Diderot_Bijoux[1],Diderot_Jacques,Diderot_Neveu,Diderot_Religieuse,Diderot_Supplement[1],Doppet_Memoires,Duclos_Acajou,Ducray_Cinquante1,Dulaurens_Imirce,Duras_Edouard,Duras_Ourika,Florian_Estelle,Florian_Galatee,Fourqueux_Zely,Gorjy_Voyage,Jacquant_Lettres,Jacquin_Parisiennes2,Kimber_Thompson1,Kimber_Thompson2,Lagrave_Sophie1,Lagrave_Zabeth1,LaPlace_Collection,LaPlace_Lydia,Leonard_Lettres1,Lesage_Histoire[1],Lesuire_Aventurier1,Lesuire_Crime1,Loaisel_Comtesse,Loaisel_Lucile,Meissner_Histoire1,Merard_Bergeries,Mirabeau_Conversion,Morelly_Naufrage1,Morelly_Naufrage2,Nerciat_Aphrodites,Nerciat_Felicia,Popeliniere_Daira1,Popeliniere_Daira2,Puget_Periphas1,Puget_Periphas2,Reveroni_Pauliska,Rousseau_Emile1,Rousseau_Emile2,Sacy_Amours,Sade_120,Sade_Infortunes,Sade_Justine,Sade_Philosophie,Tiphaigne_Galligenes1,Tiphaigne_Galligenes2,Voltaire_Homme,Voltaire_Princesse,sum
mere,0,48,21,7,10,13,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,21,1,0,20,23,29,41,0,0,0,1,65,0,15,0,9,0,5,8,0,28,15,26,0,11,9,7,6,0,1,17,0,0,0,0,0,7,1,0,0,481
coeur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,77,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,265,0,0,0,0,0,0,0,0,0,478
m'avoit,1,22,5,1,6,3,0,0,8,8,0,0,0,0,0,10,0,0,0,0,0,1,5,0,0,34,27,25,33,0,4,135,16,8,0,40,15,0,0,0,2,0,6,0,0,0,15,7,2,1,0,0,8,0,0,0,0,0,0,0,0,0,448
faisoit,4,0,6,3,3,6,0,0,5,13,0,0,0,0,0,20,11,0,0,0,0,7,10,0,0,26,14,20,13,0,24,56,3,8,0,36,17,12,12,2,7,0,19,13,0,0,11,3,6,7,0,12,24,3,0,0,0,0,5,4,0,0,445
n'avoit,0,9,12,1,12,7,0,0,11,8,0,0,0,0,0,16,13,0,0,0,0,17,9,0,0,19,8,15,8,0,31,63,10,4,0,15,8,15,15,2,2,0,15,5,0,0,8,6,8,10,0,7,25,4,0,0,0,0,3,6,0,0,427
duclos,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,281,0,0,0,0,0,0,0,408
thérèse,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,37,0,237,0,0,0,0,0,407
auroit,2,33,18,3,5,16,0,0,7,9,0,0,0,0,0,13,3,0,0,0,0,4,10,0,0,21,8,15,11,0,24,23,6,5,0,12,9,9,9,18,2,0,12,5,0,0,13,4,7,8,0,16,30,5,0,0,0,0,6,5,0,0,406
paul,0,0,0,0,0,0,205,178,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,389
connoître,1,3,16,1,9,7,0,0,18,13,0,0,0,0,0,5,7,0,0,0,0,2,7,0,1,18,6,11,5,0,5,36,9,6,0,6,6,6,6,5,5,0,13,20,0,0,31,10,4,4,0,17,42,4,0,0,0,0,3,2,0,0,370
