avoit=avait
étoit=était
connoissance=connaissance
faisoit=faisait
allois=allais
causois=causais
avanture=aventure
ame=âme
vuide=vide
&=et
auroit=aurait
errois=errais
sçavois=savais
montois=montais
descendois=descendais
cessois=cessais
vûe=vue
paroître=paraître
leverent=levèrent
causoit=causait
croyois=croyais
vivans=vivants
