étoit=était
avoit=avait
tems=temps
pere=père
avois=avais 
mad=Mme
ame=âme
étois=étais
mme=Mme
étoient=étaient
seroit=serait
sentimens=sentiment
pouvoit=pouvait
chere=chère
enfans=enfants
mere=mère
coeur=cœur
faisoit=faisait
auroit=aurait
connoître=connaître
disoit=disait
devoit=devait
venoit=venait
pourroit=pourrait
grace=grâce
laqu-elle=laquelle
mr=M.
vouloit=voulait
loix=lois
'j''aurois=j''aurais'
mlle=Mlle
déja=déjà
pouvois=pouvais
reconnoissance=réconnaissance
'n''avois=n''avais'
'l''ame=l''âme'
falloit=fallait
premiere=première
parens=parents
serois=serais
paroît=paraît
sembloit=semblait
alloit=allait
foible=faible
paroître=paraître
graces=grâces
connoissance=connaissance
paroissoit=paraissait
voudrois=voudrais
maniere=manière
mouvemens=mouvement
amans=amant
avois=avais
momens=moment
foiblesse=faiblesse
desirs=désirs
voulois=voulais
donnoit=donnait
connois=connais
frere=frère
croyois=croyais
desir=désirs
faisoient=faisaient
voyois=voyais
voyoit=voyait
pourrois=pourrais
'j''allois=j''allais'
sçais=sais
devois=devais
reconnoître=reconnaître
talens=talents
caractere=caractère
jetter=jeter
voudroit=voudrait
espece=espèce
ames=âmes
différens=différents
pû=pu
seroient=seraient
trouvoit=trouvait
habitans=habitants
feroit=ferait
'n''auroit=n''aurait'
pouvoient=pouvaient
'm''étois=m''étais'
'n''étoient=n''étaient'
disois=disais
parloit=parlait
faisois=faisais
foibles=faibles
vîte=vite
sçavoir=savoir
tourmens=tourments
derniere=dernière
connoît=connaît
joye=joie
lumiere=lumière
instans=instants
croyoit=croyait
sentois=sentais
trouvois=trouvais
faudroit=faudrait
moeurs=mœurs
laissoit=laissait
hazard=hasard
rendoit=rendait
aimoit=aimait
peres=pères
'n''étois=n''étais'
's''étoient=s''étaient'
portoit=portait
commençoit=commençait
étois=étais
colere=colère
passoit=passait
devroit=devrait
tenoit=tenait
'n''aurois=n''aurais'
fidele=fidèle
bergere=bergère
asyle=asile
