pere=père
j'avois=j'avais
tems=temps
j'étois=j'étais
étoient=étaient
seroit=serait
sentimens=sentiments
pouvoit=pouvait
chere=chère
mere=mère
disoit=disait
devoit=devait
enfans=enfants
connoître=connaître
venoit=venait
pourroit=pourrait
loix=lois
déja=déjà
reconnoissance=reconnaissance
grace=grâce
vouloit=voulait
pouvois=pouvais
paroît=paraît
j'aurois=j'aurais
n'avois=n'avais
parens=parents
alloit=allait
sembloit=semblait
falloit=fallait
foible=faible
serois=serais
paroissoit=paraissait
graces=grâces
premiere=première
foiblesse=faiblesse
avois=avais
mouvemens=mouvements
voudrois=voudrais
desirs=désirs
amans=amants
maniere=manière
donnoit=donnait
momens=moments
voulois=voulais
sçais=sais
faisoient=faisaient
desir=désir
reconnoître=reconnaître
frere=frère
connois=connais
pourrois=pourrais
voyois=voyais
voyoit=voyait
ames=âmes
caractere=caractère
pû=pu
devois=devais
habitans=habitants
trouvoit=trouvait
talens=talents
sçavoir=savoir
faisois=faisais
m'étois=m'étais
espece=espèce
disois=disais
tourmens=tourments
foibles=faibles
parloit=parlait
jetter=jetter
n'étoient=n'étaient
connoît=connaît
pouvoient=pouvaient
seroient=seraient
différens=différents
lumiere=lumière
voudroit=voudrait
feroit=ferait
derniere=dernière
croyoit=croyait
sentois=sentais
vîte=vite
laissoit=laissait
trouvois=trouvais
peres=pères
s'étoient=s'étaient
bergere=bergère
paroissent=paraissent
fidele=fidèle
hazard=hazard
commençoit=commençait
connoissances=connaissances
portoit=portait
passoit=passait
étois=étais
rendoit=rendait
aimoit=aimait
venois=venais
isle=île
connoissoit=connoissait
vû=vu
regne=règne
événemens=événements
