filename	au-name	image	field of work	sex or gender	title EN	Wikidata ID	title FR	genre	main subject	image2	au-gender	firsted-yr	printSource-yr	form	spelling	data-capture	token count	size	bgrf
Diderot_Jacques	Denis Diderot	Louis-Michel van Loo 001.jpg	performing arts	male	Jacques the Fatalist	Q945216	Jacques le fataliste et son maître	philosophical novel		DiderotJacquesFatalist01.jpg	M	1778-1780	1780	dialogue novel	modern	semi-automatic transcription	93744	medium	97.21
Diderot_Neveu	Denis Diderot	Louis-Michel van Loo 001.jpg	performing arts	male	Rameau's Nephew	Q1336786	Le Neveu de Rameau ou La Satire seconde	philosophical novel		DiderotRameauNephew.jpg	M	NA	1862	dialogue novel	modern	semi-automatic transcription	33211	short	1
								dialogue											
Diderot_Religieuse	Denis Diderot	Louis-Michel van Loo 001.jpg	performing arts	male	La Religieuse	Q1209658	La Religieuse	novel		DiderotTheNun.jpg	M	1780-1782	1782	autodiegetic	modern	semi-automatic transcription	82141	medium	97.22
Diderot_Supplement	Denis Diderot	Louis-Michel van Loo 001.jpg	performing arts	male	Supplément au voyage de Bougainville	Q1765222		philosophical fable			M	1796	1875	dialogue novel	modern	semi-automatic transcription	15826	short	98.38
Doppet_Memoires	François Amédée Doppet			male	Mémoires de Mme de Warens, suivis de ceux de Claude Anet						M	1786	1786	autodiegetic	historical	double keying	34946	short	86.32
Dorat_Malheurs	Claude-Joseph Dorat	Claude-Joseph Dorat by Saint-Aubin detail.jpg		male	Les Malheurs de l'inconstance ou Lettres de la marquise de Circé et du comte de Mirbelle						M	1772	1775	epistolary	historical	semi-automatic transcription	68517	medium	72.19
Dorat_Sacrifices	Claude-Joseph Dorat	Claude-Joseph Dorat by Saint-Aubin detail.jpg		male	Les Sacrifices de l’amour						M	1771	1771	epistolary	historical	semi-automatic transcription	75519	medium	71.25
Duclos_Acajou	Charles Pinot Duclos	Charles Pinot Duclos by Maurice Quentin de La Tour.jpg		male	Acajou et Zirphile	Q64120339	Acajou et Zirphile	tale			M	unknown	1744	heterodiegetic	historical	semi-automatic transcription	12298	short	61.R19
Ducray_Cinquante	François Guillaume Ducray-Duminil	Ducray-Duminil, François-Guillaume, d'après Romagnesi.jpg		male	Les Cinquante francs de Jeannette, par le Cen Ducray-Duminil						M	1798	1798	heterodiegetic	historical	double keying	72560	medium	99.76
Dulaurens_Compere	Henri Joseph Du Laurens			male	Le Compère Mathieu ou les Bigarrures de l'esprit humain						M	1766	1831	homodiegetic	modern	semi-automatic transcription	145307	long	66.21
Dulaurens_Imirce	Henri Joseph Du Laurens			male	Imirce ou la Fille de nature						M	1765	1922	autodiegetic	modern	OCR	71740	medium	65.21
Fievee_Dot	Joseph Fiévée	Joseph Fiévée.jpg		male	La Dot de Suzette, ou Histoire de Mme de Senneterre racontée par elle-même						M	1797	1826	heterodiegetic	historical	semi-automatic transcription	33262	short	98.41
Florian_Estelle	Jean-Pierre Claris de Florian	Jean-Pierre Claris de Florian.jpg		male	Estelle	Q2344773					M	1788	1788	heterodiegetic	historical	double keying	38191	short	88.53
Florian_Galatee	Jean-Pierre Claris de Florian	Jean-Pierre Claris de Florian.jpg		male	Galatée						M	1783	1783	heterodiegetic	historical	double keying	26390	short	83.26
Florian_Numa	Jean-Pierre Claris de Florian	Jean-Pierre Claris de Florian.jpg		male	Numa Pompilius						M	1786	1786	mixed	modern	semi-automatic transcription	71429	medium	86.34
Fourqueux_Zely	Marie-Louise Auget de Monthyon				Zély						F	NA	NA	heterodiegetic	historical	double keying	25494	short	75.28
Genlis_Adele	Stéphanie Félicité Ducrest de Saint-Aubin de Genlis	Marie Victoire Lemoine - Portrait of Madame Genlis 281N10007 4FD4Q.jpg		female	Adèle et Théodore						F	1782	1782	epistolary	historical	semi-automatic transcription	262122	long	82.20
Genlis_Chevaliers	Stéphanie Félicité Ducrest de Saint-Aubin de Genlis	Marie Victoire Lemoine - Portrait of Madame Genlis 281N10007 4FD4Q.jpg		female	Les Chevaliers du cygne						F	1795	1795	heterodiegetic	historical	semi-automatic transcription	193036	long	95.20
Gerard_Comte	Philippe Louis Gérard			male	Le Comte de Valmont ou les égarements de la raison, lettres recueillies et publiées						M	1774	1774	epistolary	historical	semi-automatic transcription	180258	long	74.15
Gorjy_Voyage	Jean-Claude Gorgy			male	Nouveau voyage sentimental1						M	1791	1791	autodiegetic	historical	double keying	19017	short	84.27
Jacquin_Parisiennes	Armand Pierre Jacquin			male	Lettres parisiennes sur le désir d'être heureux						M	1758	1758	epistolary	historical	double keying	61934	medium	58.13
Kimber_Thompson	Edward Kimber			male	La vie et les aventures de Joseph Thompson						M	1762	1762	autodiegetic	historical	double keying	154206	long	62.24
LaPlace_Collection	Pierre Antoine La Place			male	Collection de romans et contes, imités de l'anglois						M	1788	1788	mixed	historical	double keying	113029	long	88.75
LaPlace_Lydia	Pierre Antoine La Place			male	Lydia, ou Mémoires de Milord D***						M	1772	1772	autodiegetic	historical	double keying	20924	short	72.23
Laclos_Liaisons	Pierre Choderlos de Laclos	Laclos by Quentin de La Tour.jpg		male	Les Liaisons dangereuses	Q862050	Les Liaisons dangereuses	epistolary novel		LiaisonsDangereuses X.jpg	M	1782	1869	epistolary	modern	semi-automatic transcription	147961	long	82.17
								libertine novel											
								erotic novel											
Lagrave_Sophie	Comtesse de Lagrave			female	Sophie de Beauregard, ou Le véritable amour						F	1798	1798	epistolary	historical	double keying	57943	medium	99.104
Lagrave_Zabeth	Comtesse de Lagrave			female	Zabeth, ou la Victime de l'ambition						F	1798	1798	heterodiegetic	historical	double keying	73683	medium	99.105
Lavaux_Eusebe	Jean-Charles Laveaux	Jean-Charles Laveaux.jpg		male	Eusèbe, ou les Beaux profits de la vertu dans le siècle où nous vivons						M	1785	1785	heterodiegetic	historical	OCR	29895	short	85.33
Leonard_Clementine	Nicolas-Germain Léonard			male	La Nouvelle Clémentine, ou Lettres de Henriette du Berville						M	1774	1774	epistolary	modern	semi-automatic transcription	13553	short	74.20
Leonard_Lettres	Nicolas-Germain Léonard			male	Lettres de deux amants habitants de Lyon						M	1783	1783	epistolary	historical	double keying	66934	medium	83.31
Lesuire_Aventurier	Robert-Martin Lesuire			male	L'Aventurier François ou Mémoires de Grégoire Merveil						M	1782	1782	autodiegetic	historical	double keying	218774	long	82.27
Lesuire_Crime	Robert-Martin Lesuire			male	Le crime, ou Lettres originales, contenant les aventures de César de Perlencour						M	1789	1789	epistolary	historical	double keying	178990	long	89.81
Loaisel_Ainsi	Joseph-Marie Loaisel de Tréogate			male	Ainsi finissent les grandes passions, ou les Dernières amours du chevalier de ***						M	1788	1788	epistolary	modern	semi-automatic transcription	69750	medium	87.54bis
Loaisel_Comtesse	Joseph-Marie Loaisel de Tréogate			male	La Comtesse d'Alibre						M	1779	1779	heterodiegetic	historical	double keying	31565	short	79.22
Loaisel_Dolbreuse	Joseph-Marie Loaisel de Tréogate				Dolbreuse ou l'Homme du siècle ramené à la vérité par le sentiment et la raison						M	1783	1783	autodiegetic	modern	semi-automatic transcription	66862	medium	83.33
Louvet_Annee	Jean-Baptiste Louvet de Couvrai	Jean-Baptiste Louvet de Courvray.jpg		male	Une année dans la vie du chevalier de Faublas						M	1787	1960	autodiegetic	historical	semi-automatic transcription	119518	long	87.56
Louvet_Fin	Jean-Baptiste Louvet de Couvrai	Jean-Baptiste Louvet de Courvray.jpg		male	La Fin des amours de Faublas						M	1790	1884	autodiegetic	historical	semi-automatic transcription	73119	medium	90.47
Maistre_Voyage	Xavier de Maistre				Voyage Around My Room	Q10392559		novel		Frontispice Voyage autour de ma chambre 1796 Dufart.jpeg	M	1794	1839	autodiegetic	modern	semi-automatic transcription	19708	short	94.8
Marmontel_Belisaire	Jean-François Marmontel	Jean-François Marmontel.jpg		male	Bélisaire	Q5005038	Bélisaire	historical novel	Belisarius		M	1767	1767	heterodiegetic	modern	semi-automatic transcription	44239	short	67.39
Marmontel_Contes	Jean-François Marmontel	Jean-François Marmontel.jpg		male	Contes moraux	Q107289374	Contes moraux				M	1761	1829	heterodiegetic	modern	semi-automatic transcription	130232	long	61.12
Marmontel_Incas	Jean-François Marmontel	Jean-François Marmontel.jpg		male	Les Incas, ou La Destruction de l'Empire du Pérou	Q106889862	Les Incas, ou La Destruction de l'Empire du Pérou				M	1777	1777	heterodiegetic	modern	semi-automatic transcription	109917	long	77.50
Merard_Bergeries	Anne-Jeanne-Félicité Mérard de Saint-Just			female	Bergeries et opuscules de Mlle d'Ormoy l'aînée						F	1784	1784	dialogue novel	historical	double keying	19894	short	84.43
Mercier_An	Louis-Sébastien Mercier	Louis-Sébastien Mercier by Bonneville.png		male	L'An deux mille quatre cent quarante, rêve s'il en fut jamais						M	1771	1774	autodiegetic	NA	NA	68158	medium	71.36
Mercier_Jezennemours	Louis-Sébastien Mercier	Louis-Sébastien Mercier by Bonneville.png		male	Jezennemours : roman dramatique						M	1776	1776	mixed	historical	semi-automatic transcription	78873	medium	76.36
Mirabeau_Conversion	Honoré Gabriel Riqueti, comte de Mirabeau	Boze - Honoré de Mirabeau.jpg		male	Ma Conversion ou le Libertin de qualité						M	1783	1783	autodiegetic	modern	semi-automatic transcription	39962	short	83.40
Mirabeau_Rideau	Honoré Gabriel Riqueti, comte de Mirabeau	Boze - Honoré de Mirabeau.jpg		male	Le Rideau levé ou l’éducation de Laure	Q19198685					M	1786	1921	autodiegetic	modern	semi-automatic transcription	43539	short	86.51
Montesquieu_Arsace	Montesquieu	Montesquieu 1.png		male	Arsace et Isménie : histoire orientale						M	1755	1949	heterodiegetic	historical	semi-automatic transcription	14228	short	83.42
Morelly_Naufrage	Étienne-Gabriel Morelly	Étienne-Gabriel Morelly.png		male	NaufrageIles Flottantes						M	1753	1753	heterodiegetic	historical	double keying	101833	medium	53.26
Nerciat_Aphrodites	André Robert de Nerciat	Andréa de Nerciat by Félix Bracquemond.jpg		male	Les Aphrodites	Q3230640	Les Aphrodites, ou Fragments thali-priapiques pour servir à l’histoire du plaisir	erotic novel			M	1764	1764	dialogue novel	historical	double keying	110529	long	93.16
Nerciat_Etourdi	André Robert de Nerciat	Andréa de Nerciat by Félix Bracquemond.jpg		male	L'Étourdi						U	1784	1784	autodiegetic	modern	semi-automatic transcription	45727	short	84.50
Nerciat_Felicia	André Robert de Nerciat	Andréa de Nerciat by Félix Bracquemond.jpg		male	Félicia ou Mes Fredaines	Q20725904		libertine novel		Nerciat - Félicia.djvu	M	1775	1778	autodiegetic	modern	semi-automatic transcription	100569	medium	75.37
Popeliniere_Daira	Alexandre Le Riche de La Poupelinière	La Poupelinière par Balechou.jpg		male	Daïra. Histoire orientale						M	1761	1761	autodiegetic	historical	double keying	46633	medium	60.21
Prevost_Manon	Antoine François Prévost	Schmidt Prevost.jpg	history	male	Manon Lescaut	Q1141032	Histoire du Chevalier des Grieux, et de Manon Lescaut	romance novel		Histoire du Chevalier des Grieux, et de Manon Lescaut.jpg	M	1731	1846	autodiegetic	modern	semi-automatic transcription	62973	medium	53.R34
			translation					memoir											
								memoir novel											
Prevost_Monde	Antoine François Prévost	Schmidt Prevost.jpg	history	male	Le monde moral,: ou mémoires pour servir à l'histoire du cœur humain						M	1760	1766	autodiegetic	modern	semi-automatic transcription	148056	long	60.28
			translation																
Puget_Periphas	Puget de Saint-Pierre				Les aventures de Periphas, descendant de Cécrops						M	1761	1761	heterodiegetic	historical	double keying	65527	medium	61.17
Puttelange_Roi	Jean Vesque de Puttelange			male	Le Roi Guiot						M	1791	1791	heterodiegetic	modern	semi-automatic transcription	25804	short	91.44
Retif_AntiJustine	Nicolas-Edme Rétif	Retifdelabretonne.jpg		male	Anti-Justine	Q3202134	L'Anti-Justine	libertine novel			M	1798	1798	autodiegetic	modern	semi-automatic transcription	57064	medium	98.84
								pornographic novel											
								erotic novel											
Retif_Paysan	Nicolas-Edme Rétif	Retifdelabretonne.jpg		male	Le Paysan perverti ou les Dangers de la ville						M	1776	1776	epistolary	modern	semi-automatic transcription	227440	long	76.44
Retif_Paysanne	Nicolas-Edme Rétif	Retifdelabretonne.jpg		male	La paysanne pervertie ou Les dangers de la ville						M	1784	1784	epistolary	modern	semi-automatic transcription	199461	long	84.58
Retif_Sara	Nicolas-Edme Rétif	Retifdelabretonne.jpg		male	Histoire de Sara						M	1796	1883	mixed	modern	semi-automatic transcription	65625	medium	83.48
Retif_Vie	Nicolas-Edme Rétif	Retifdelabretonne.jpg		male	La Vie de mon père	Q3213622	La Vie de mon père	novel		RestifMyFathersLife.jpg	M	1779	1983	heterodiegetic	modern	semi-automatic transcription	57821	medium	79.31
