filename	au-name	au-birth	au-death	title	au-gender	firsted-yr	printSource-yr	form	spelling	data-capture	token count	vols_count	size	bgrf	author_wikidata	author_MiMoText-ID	title_wikidata	title_MiMoText-ID	lang	publisher	distributor	distribution_date	copyright_status	digitalSource_Title	digitalSource_Ref	digitalSource_Publisher	digitalSource_Date	printSource_title	printSource_author	printSource_pubPlace	printSource_publisher	printSource_date	resp_datacapture	resp_encoding
Arnaud_Batilde	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Bathilde ou l'héroïsme de l'amour, anecdote historique par M. d'Arnaud	M	1767	1773	heterodiegetic	historical	semi-automatic transcription	15703	1	short	67.14	Q548610	Q68	Q123068755	Q1593	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2021	https://creativecommons.org/publicdomain/zero/1.0/deed.en	LesSacrificesDeLAmour	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	txtlab	2016	Épreuves du sentiment	François-Thomas-Marie de Baculard d'Arnaud	Paris	Le Jay	1773	unknown	Amelie Probst
Arnaud_Clary	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Clary ou le retour à la vertu récompensé	M	1767	1773	mixed	modern	semi-automatic transcription	14372	1	short	67.15	Q548610	Q68	Q123068943	Q1594	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	LesSacrificesDeLAmour	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	txtlab	2016	Épreuves du sentiment	François-Thomas-Marie de Baculard d'Arnaud	Paris	Le Jay	1773	unknown	Amelie Probst
Arnaud_Epoux	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Les époux malheureux	M	1783	1803	autodiegetic	modern	semi-automatic transcription	76971	2	medium	83.15	Q548610	Q68	Q123066840	Q1056	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Les Époux malheureux ou Histoire de Monsieur et Madame de ***	https://www.frantext.fr/repository/frantext	Frantext	unknown	Les Époux malheureux ou Histoire de Monsieur et Madame de ***	François-Thomas-Marie de Baculard d'Arnaud	unknown	Laporte	1803	frantext	Johanna Konstanciak
Arnaud_Fanny	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Fanny, histoire anglaise	M	1764	1773	autodiegetic	modern	semi-automatic transcription	17786	1	short	64.14	Q548610	Q68	Q123067744	Q1494	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	LesSacrificesDeLAmour	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	txtlab	2016	Épreuves du sentiment	François-Thomas-Marie de Baculard d'Arnaud	Paris	Le Jay	1773	unknown	Amelie Probst
Arnaud_Julie	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Julie ou l'heureux repentir	M	1767	1773	heterodiegetic	historical	semi-automatic transcription	17136	1	short	67.16	Q548610	Q68	Q123069316	Q1595	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	LesSacrificesDeLAmour	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	txtlab	2016	Épreuves du sentiment	François-Thomas-Marie de Baculard d'Arnaud	Paris	Le Jay	1773	unknown	Amelie Probst
Arnaud_Matinees	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Les matinées	M	1798	1799	heterodiegetic	historical	semi-automatic transcription	76587	3	medium	99.43	Q548610	Q68	Q123067320	Q1098	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Les matinées	https://books.google.de/books?id=srQ5AAAAcAAJ	Google Books	2009	Les matinées, nouvelles anecdotes	François-Thomas-Marie de Baculard d'Arnaud	Paris	l'imprimerie de Vatar-Jouannet	1799	googlebooks	Amelie Probst
Arnaud_Nancy	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Nancy ou les malheurs de l'imprudence et de la jalousie	M	1767	1773	heterodiegetic	historical	semi-automatic transcription	17520	1	short	67.18	Q548610	Q68	Q123070185	Q1597	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2021	https://creativecommons.org/publicdomain/zero/1.0/deed.en	LesSacrificesDeLAmour	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	txtlab	2016	Épreuves du sentiment	François-Thomas-Marie de Baculard d'Arnaud	Paris	Le Jay	1773	unknown	Amelie Probst
Arnaud_Sargines	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Sargines, nouvelle	M	1772	1773	heterodiegetic	modern	semi-automatic transcription	22157	1	short	72.11	Q548610	Q68	Q123071790	Q1792	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	LesSacrificesDeLAmour	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	txtlab	2016	Épreuves du sentiment	François-Thomas-Marie de Baculard d'Arnaud	Paris	Le Jay	1773	unknown	Amelie Probst
Arnaud_Selicourt	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Sélicourt, nouvelle	M	1769	1773	heterodiegetic	modern	semi-automatic transcription	18765	1	short	69.13	Q548610	Q68	Q123070987	Q1675	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	LesSacrificesDeLAmour	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	txtlab	2016	Épreuves du sentiment	François-Thomas-Marie de Baculard d'Arnaud	Paris	Le Jay	1773	unknown	Amelie Probst
Arnaud_Sidney	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Sidney et Volsan	M	1766	1773	autodiegetic	modern	semi-automatic transcription	18068	1	short	66.9	Q548610	Q68	Q123068421	Q1587	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	LesSacrificesDeLAmour	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	txtlab	2016	Épreuves du sentiment	François-Thomas-Marie de Baculard d'Arnaud	Paris	Le Jay	1773	unknown	Amelie Probst
