filename	au-name	au-birth	au-death	title	au-gender	firsted-yr	printSource-yr	form	spelling	data-capture	token count	vols_count	size	bgrf	author_wikidata	author_MiMoText-ID	title_wikidata	title_MiMoText-ID	lang	publisher	distributor	distribution_date	copyright_status	digitalSource_Title	digitalSource_Ref	digitalSource_Publisher	digitalSource_Date	printSource_title	printSource_author	printSource_pubPlace	printSource_publisher	printSource_date	resp_datacapture	resp_encoding
Benoist_Elisabeth	Françoise-Albine Benoist	1724	1809	Elisabeth	F	1766	1766	epistolary	historical	double keying	84763	3	medium	66.11	Q3086371	Q107	Q123125508	Q1031	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Elisabeth, roman. Par madame ***…	https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001100158141, https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001200044084, https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001200044092	Bibliothèque numérique de Lyon	unknown	Elisabeth, roman. Par madame ***	Françoise-Albine Puzin de la Martinière Mme Benoist	Amsterdam	Arkstée & Merkus	1766	"double keying volume 3 by ""Jiangsu"", China"	Julia Dudar
Bernardin_Chaumiere	Jacques Henri Bernardin de Saint-Pierre	1737	1814	Chaumière Indienne	M	1791	1829	heterodiegetic	modern	semi-automatic transcription	13552	1	short	91.43	Q361976	Q865	Q42187814	Q1079	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	La Chaumière indienne	https://www.frantext.fr/	Frantext	unknown	La Chaumière indienne	Jacques-Henri Bernardin de Saint-Pierre	unknown	unknown	1829	frantext	Johanna Konstanciak
Bernardin_Paul	Jacques Henri Bernardin de Saint-Pierre	1737	1814	Paul et Virginie	M	1787	1806	homodiegetic	modern	semi-automatic transcription	64369	1	medium	88.101	Q361976	Q866	Q2293012	Q3971	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Paul et Virginie	https://www.ebooksgratuits.com/details.php?book=1682	Ebooks Libres & Gratuits	2008	Paul et Virginie	Jacques-Henri Bernardin de Saint Pierre	Paris	P. Didot l'aîné	1806	Ebooks libres et gratuits contributors	Julia Dudar
Berquin_Enfants	Arnaud Berquin	1747	1791	L'ami des Enfants	M	1782	1845	mixed	modern	semi-automatic transcription	38324	1	short	82.14	Q350566	Q114	Q123126381	Q1052	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	LAmiDesEnfants	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	txtlab	2016	L'ami des enfants	Arnaud Berquin	Paris	Didier	1845	unknown	Amelie Probst
Blanchard_Philetas	Pierre Blanchard	1772	1856	Philétas	M	1800	1800	autodiegetic	historical	semi-automatic transcription	27292	1	short	00.50	Q21416437	Q129	Q123126382	Q1173	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Philétas,: roman pastoral	https://books.google.de/books?id=G-UFAAAAQAAJ	Google Books	2007	Philétas, roman pastoral, par Pierre Blanchard.	Pierre Blanchard	Paris	Cailleau	1800	googlebooks	Johanna Konstanciak
Boismortier_Histoire	Suzanne Bodin de Boismortier	1722	1799	Histoire de Jacques Féru	F	1766	1766	homodiegetic	historical	semi-automatic transcription	7294	1	short	66.12	Q3505914	Q138	Q123126513	Q1558	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2023	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Histoire de Jacques Seru et de valeureuse demoiselle Agathe Mignard ;                        écrite par un ami d'iceux avec des airs notés	https://gallica.bnf.fr/ark:/12148/bpt6k63560161	Bibliothèque national de France	2012	Histoire de Jacques Feru, et de valeureuse Damoiselle Agathe Mignard;                        Ecrite par un Ami d'iceux.	Suzanne Bodin de Boismortier	La Haye, Paris	Cuissart	1766	gallica	Johanna Konstanciak
Boufflers_Reine	Stanislas de Boufflers	1738	1815	La Reine de Golgonde	M	1760	1761	autodiegetic	modern	semi-automatic transcription	4445	1	short	61.6	Q918355	Q153	Q123126452	Q1025	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	La Reine de Golgonde	https://www.frantext.fr/	Frantext	unknown	La Reine de Golgonde	Stanislas-Jean de Boufflers	unknown	unknown	1761	frantext	Johanna Konstanciak
Brument_Henriette	Brument	unknown	unknown	Henriette de Wolmar	U	1768	1768	heterodiegetic	historical	semi-automatic transcription	20739	1	short	68.17	0	Q176	Q123246881	Q1632	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2022	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Henriette De Wolmar, Ou la Mere Jalouse De Sa Fille Histoire Veritable ;                        Pour servir de suite à la Nouvelle Héloise par J. J. R.	https://opendata.uni-halle.de//handle/1981185920/44901	Halle (Saale): Universitäts- und Landesbibliothek Sachsen-Anhalt	2010	Henriette de Wolmar, ou la mere jalouse de sa fille, histoire veritable,                        Pour servir de suite à la Nouvelle Héloïse, Par J. J. R.	Brument	Geneve, Paris	Delalain, Valade	1768	Universitäts- und Landesbibliothek Sachsen-Anhalt	Johanna Konstanciak
CastilhonJL_Zingha	Jean-Louis Castilhon	1721	1798	Zingha, reine d'Angola	M	1769	1769	heterodiegetic	historical	semi-automatic transcription	42519	1	short	69.23	Q3166691	Q211	Q123193866	Q1683	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2022	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Zingha, reine d'Angola : histoire africaine... ([Reprod.]) / par M. L.                        Castilhon	https://gallica.bnf.fr/ark:/12148/bpt6k85830z	Bibliothèque national de France	2007	Zingha, reine d'Angola. Histoire Africaine, en deux parties.	Jean-Louis Castilhon	Paris	Lacombe	1769	gallica	Johanna Konstanciak
CastilhonJ_Robert	Jean Castilhon	1720	1799	Histoire de Robert le Diable, duc de Normandie; et de Richard sans peur, son fils	M	1769	1769	heterodiegetic	modern	semi-automatic transcription	56538	1	medium	69.22	Q2363786	Q210	Q123193865	Q1682	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2022	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Histoire de Robert le Diable, Duc de Normandie ; et de Richard Sans                        Peur, son fils	https://intertextual-hub.uchicago.edu/philologic/hub18thcfrench/navigate/517/	The Intertextual Hub	unknown	Histoire de Robert le Diable, Duc de Normandie ; et de Richard Sans                        Peur, son fils	Jean Castilhon	Paris	Lacombe	1769	Hub18thcFrench	Henning Gebhard, Johanna Konstanciak
Cazotte_Diable	Jacques Cazotte	1719	1792	Le Diable amoureux	M	1772	1871	autodiegetic	modern	semi-automatic transcription	26070	1	short	72.17	Q425373	Q217	Q1994609	Q1040	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Le Diable amoureux	https://fr.wikisource.org/wiki/Le_Diable_amoureux	Wikisource	2021	Le Diable amoureux	Jacques Cazotte	Paris	Henri Plon	1871	Wikisource contributors	Amelie Probst
Cazotte_Honneur	Jacques Cazotte	1719	1792	L'Honneur perdu et recouvré	M	1788	1817	heterodiegetic	modern	semi-automatic transcription	14965	1	short	88.41	Q425373	Q217	Q123392352	Q3975	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Œuvres badines et morales, t. 2., L'Honneur perdu et recouvré	https://www.frantext.fr/	Frantext	unknown	L'Honneur perdu et recouvré	Jacques Cazotte	Paris	unknown	1817	frantext	Johanna Konstanciak
Cazotte_Ollivier	Jacques Cazotte	1719	1792	Ollivier	M	1763	1817	heterodiegetic	historical	semi-automatic transcription	59531	1	medium	63.19	Q425373	Q217	Q123193867	Q1028	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Œuvres badines et morales, t. 1., Ollivier	https://www.frantext.fr/	Frantext	unknown	Ollivier	Jacques Cazotte	Paris	Jean-François Bastien	1817	frantext	Amelie Probst
Charriere_Caliste	Isabelle de Charrière	1740	1805	Caliste ou continuation des Lettres écrites de Lausanne	F	1787	1787	mixed	modern	semi-automatic transcription	29960	1	short	87.30	Q123386	Q231	Q122945488	Q2240	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	CalisteOuLettresDeLausanne	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	txtlab	2016	Caliste ou Lettres écrites de Lausanne	Isabelle de Charrière	unknown	unknown	1787	unknown	Amelie Probst
Charriere_Femmes	Isabelle de Charrière	1740	1805	Trois Femmes	F	1795	1795	heterodiegetic	modern	semi-automatic transcription	40344	1	short	96.18	Q123386	Q231	Q123000926	Q1087	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	TroisFemmes	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	txtlab	2016	Trois Femmes	Isabelle De Charrière	unknown	unknown	1795	unknown	Amelie Probst
Charriere_Lausanne	Isabelle de Charrière	1740	1805	Lettres écrites de Lausanne	F	1785	1787	epistolary	modern	semi-automatic transcription	23794	1	short	85.24	Q123386	Q231	Q122945531	Q1066	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	CalisteOuLettresDeLausanne	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	txtlab	2016	Caliste ou Lettres écrites de Lausanne	Isabelle de Charrière	unknown	unknown	1787	unknown	Amelie Probst
Charriere_Neuchateloises	Isabelle de Charrière	1740	1805	Lettres neuchâteloises	F	1784	1991	epistolary	modern	semi-automatic transcription	19651	1	short	84.18	Q123386	Q231	Q123193940	Q2125	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2022	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Lettres Neuchâteloises	https://intertextual-hub.uchicago.edu/philologic/hub18thcfrench/navigate/664/	The Intertextual Hub	unknown	Lettres neuchâteloises	Isabelle de Charrière	Paris	La Différence	1991	Hub18thcFrench	Henning Gebhard, Johanna Konstanciak
Charriere_Noble	Isabelle de Charrière	1740	1805	Le noble	F	1763	1908	heterodiegetic	modern	semi-automatic transcription	7007	1	short	63.21	Q123386	Q231	Q123193871	Q1470	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2022	https://creativecommons.org/publicdomain/zero/1.0/deed.en	LE NOBLE	https://athena.unige.ch/athena/charriere/charriere-le-noble.html	Athena: Pierre Perroud	1997	Le Noble (conte moral)	Madame de Charrière	Genève	Jullien	1908	Athena	Johanna Konstanciak
Charriere_Observations	Isabelle de Charrière	1740	1805	Observations et conjectures politiques	F	1788	1788	heterodiegetic	modern	semi-automatic transcription	4815	1	short	88.43	Q123386	Q231	Q123193870	Q2290	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2022	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Observations et conjectures politiques	https://intertextual-hub.uchicago.edu/philologic/hub18thcfrench/navigate/702/	The Intertextual Hub	unknown	Observations et conjectures politiques	Isabelle de Charrière	unknown	unknown	1788	Hub18thcFrench	Henning Gebhard, Johanna Konstanciak
Charriere_Ruines	Isabelle de Charrière	1740	1805	Les Ruines d'Yedburg	F	1799	1799	heterodiegetic	modern	semi-automatic transcription	17383	1	short	98.35	Q123386	Q231	Q123392312	Q3976	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2022	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Les Ruines d'Yedburg	https://fr.wikisource.org/wiki/Les_Ruines_d%27Yedburg	Wikisource	2020	Les Ruines d'Yedburg	Isabelle de Charrière	Leipzig	Pierre Philippe Wolf	1799	Wikisource contributors	Henning Gebhard, Johanna Konstanciak
Charriere_Sainte	Isabelle de Charrière	1740	1805	Sainte Anne	F	1799	1799	heterodiegetic	modern	semi-automatic transcription	26210	1	short	98.35	Q123386	Q231	Q123392353	Q3977	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2022	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Sainte Anne	https://fr.wikisource.org/wiki/Sainte_Anne	Wikisource	2020	Sainte Anne	Isabelle de Charrière	Leipzig	Pierre Philippe Wolf	1799	Wikisource contributors	Henning Gebhard, Johanna Konstanciak
Chaussard_Diable	Pierre-Jean-Baptiste Chaussard	1766	1823	Le Nouveau Diable boiteux	M	1799	1798-1799	heterodiegetic	historical	semi-automatic transcription	83995	2	short	99.57	Q3383151	Q233	Q123193873	Q2730	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2022	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Le Nouveau Diable boiteux. Tableau philosophique et moral de Paris.                        Mémoires mis en lumière et enrichis de notes par le docteur Dicaculus, de                        Louvain....	https://gallica.bnf.fr/ark:/12148/bpt6k64625732, https://gallica.bnf.fr/ark:/12148/bpt6k6462574g	Bibliothèque national de France	2013, 2013	Le Nouveau Diable boiteux. Tableau philosophique et moral de Paris.                        Mémoires mis en lumière et enrichis de notes par le docteur Dicaculus, de                        Louvain...	Pierre-Jean-Baptiste Chaussard	Paris	F. Buisson	1798-1799	TGB Bibliothèque nationale de France (BnF) - Observatoire de la vie                        littéraire (OBVIL)	Johanna Konstanciak
Chevrier_Colporteur	François-Antoine Chevrier	1721	1762	Le Colporteur	M	1761	1761	heterodiegetic	modern	semi-automatic transcription	43001	1	short	62.11	Q3083281	Q235	Q123193874	Q1026	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Le Colporteur : histoire morale et critique	https://www.frantext.fr/	Frantext	unknown	Le Colporteur : histoire morale et critique	François-Antoine Chevrier	Londres	Jean Nourse	1761	frantext	Johanna Konstanciak
Chevrier_Magakou	François-Antoine Chevrier	1721	1762	Ma-Gakou histoire japonnoise	M	1752	1752	heterodiegetic	historical	semi-automatic transcription	15683	1	short	52.18	Q3083281	Q235	Q123193875	Q1249	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2022	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Ma-Gakou, histoire japonnoise , traduite par l'auteur D. R. D. S.	https://gallica.bnf.fr/ark:/12148/bpt6k1512688p	Bibliothèque national de France	2017	Ma-Gakou histoire japonnoise, traduite par l'Auteur D. R. D. S.	François-Antoine Chevrier	Paris	Jacques-François Mérigot	1752	gallica	Johanna Konstanciak
Colombe_Plaisirs	Etienne-Guillaume Sainte-Colombe	1725	unknown	Les plaisirs d'un jour ou la journée d'une provinciale à Paris	M	1764	1764	heterodiegetic	historical	semi-automatic transcription	41914	1	short	64.41	0	Q867	Q123246882	Q1508	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2023	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Les Plaisirs d'un jour; ou La journée d'une provinciale à Paris	https://gallica.bnf.fr/ark:/12148/bpt6k3044876t	Bibliothèque nationale de France	2019	Les plaisirs d'un jour; ou la journée d'une provinviale a Paris.	Monsieur de Sainte Colombe	Bruxelles	unknown	1764	gallica	Johanna Konstanciak
Constant_Laure	Samuel de Constant	1729	1800	Laure, ou Lettres de quelques personnes de Suisse	M	1787	1787, 1786, 1688 [sic], 1786, 1786, 1786, 1786, 1787	epistolary	historical	double keying, semi-automatic transcription	274893	7	long	86.27	Q55229494	Q255	Q123193876	Q1067	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Laure, ou Lettres de quelques personnes de Suisse....	https://gallica.bnf.fr/ark:/12148/bpt6k9754329n, https://gallica.bnf.fr/ark:/12148/bpt6k97543287, https://books.google.de/books?id=noYNAAAAQAAJ, https://books.google.de/books?id=gwicZzS8M8wC, https://gallica.bnf.fr/ark:/12148/bpt6k9753969x, https://gallica.bnf.fr/ark:/12148/bpt6k9753968h, https://gallica.bnf.fr/ark:/12148/bpt6k9754031p	Bibliothèque national de France, Google Books	2016, 2016, 2007, 2018, 2016, 2016, 2016, 2016	Laure, ou Lettres de quelques personnes de Suisse	Samuel de Constant de Rebecque	Genève, Paris	Barde, Manget et Cie	1787, 1786, 1688 [sic], 1786, 1786, 1786, 1786, 1787	"double keying by ""Jiangsu"", China ; OCR"	Julia Dudar, Johanna Konstanciak
Constant_Mari	Samuel de Constant	1729	1800	Le mari sentimental	M	1783	1783	epistolary	modern	semi-automatic transcription	39223	1	short	83.22	Q55229494	Q255	Q123193877	Q2091	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2022	https://creativecommons.org/publicdomain/zero/1.0/deed.en	LE MARI SENTIMENTAL	https://athena.unige.ch/athena/constant-s/constant-le-mari-sentimental.html	Athena: Pierre Perroud	1998	Le mari sentimental, ou le mariage comme il y en a quelques-uns. Lettres                        d'un homme du pays de vaud, écrites en 178...	Samuel de Constant	Genève, Lausanne	unknown	1783	Athena	Henning Gebhard, Johanna Konstanciak
Cottin_Claire	Sophie Ristaud Cottin	1770	1807	Claire d'Albe	F	1798	1824	epistolary	modern	semi-automatic transcription	40093	1	short	99.62	Q464409	Q260	Q2975140	Q1099	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Œuvres complètes. 1, Claire d’Albe	https://fr.wikisource.org/wiki/Claire_d%E2%80%99Albe	Wikisource	2022	Claire d'Albe	Sophie Cottin	Paris	Ménard et Desène fils	1824	Wikisource contributors	Amelie Probst
Crebillon_Atheniennes	Claude Prosper Jolyot de Crébillon	1707	1777	Lettres athéniennes extraites du porte-feuille d'Alcibiade	M	1771	1771	epistolary	modern	semi-automatic transcription	181386	4	long	71.23	Q733161	Q269	Q123193879	Q1037	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Lettres athéniennes extraites du porte-feuille d'Alcibiade	https://www.frantext.fr/	Frantext	unknown	Lettres athéniennes extraites du porte-feuille d'Alcibiade	Claude Prosper Jolyot de Crébillon	Londres & Paris	Delalain	1771	frantext	Johanna Konstanciak
Crebillon_Conte	Claude Prosper Jolyot de Crébillon	1707	1777	Ah quel conte !	M	1751	1779	mixed	historical	semi-automatic transcription	135948	1	long	54.13	Q733161	Q269	Q123193942	Q1013	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Collection complète des Œuvres, t. 4., Ah quel conte!	https://www.frantext.fr/	Frantext	unknown	Ah quel conte !	Claude Prosper Jolyot de Crébillon	unknown	unknown	1779	frantext	Johanna Konstanciak
Crebillon_Nuit	Claude Prosper Jolyot de Crébillon	1707	1777	La Nuit et le moment, ou les Matines de Cythère	M	1755	1756	dialogue novel	modern	semi-automatic transcription	32279	1	short	55.16	Q733161	Q269	Q30738391	Q1015	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	La Nuit et le Moment : Dialogue	https://fr.wikisource.org/wiki/La_Nuit_et_le_Moment	Wikisource	2022	La Nuit et le moment, ou les Matines de Cythère, dialogue	Claude Prosper Jolyot de Crébillon	Amsterdam	J. H. Schneider	1756	Wikisource contributors	Amelie Probst
DamiensGomicourt_Dorval	August-Pierre Damiens de Gomicourt	1723	1790	Dorval ou mémoires pour servir à l'histoire des moeurs du XVIIIe siècle	M	1769	1769	heterodiegetic	historical	semi-automatic transcription	73464	2	medium	69.30	Q60845151	Q275	Q123193880	Q1690	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2023	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Dorval, ou Mémoires pour servir à l'histoire des mœurs du dix-huitieme …	https://archive.org/details/dorvaloummoires00gomigoog/, https://archive.org/details/dorvaloummoires00merigoog/	Internet Archive	2009	Dorval, ou Mémoires pour servir a l’histoire des mœurs du dix-huitieme                        siecle	Auguste-Pierre Damiens de Gomicourt	Amsterdam, Paris	Mérigot jeune	1769	Internet Archive / Oxford University	Johanna Konstanciak
Denon_Point	Dominique Vivant	1747	1825	Point de lendemain	M	1777	1876	autodiegetic	modern	semi-automatic transcription	7837	1	short	79.15	Q468618	Q296	Q929438	Q3982	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Point de lendemain	https://www.frantext.fr/	Frantext	unknown	Point de lendemain	Dominique-Vivant Denon	Paris	unknown	1876	frantext	Johanna Konstanciak
Diderot_Jacques	Denis Diderot	1713	1784	Jacques le fataliste et son maître	M	1796	1765-1784	dialogue novel	modern	semi-automatic transcription	93744	1	medium	97.21	Q448	Q306	Q945216	Q1088	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Jacques le fataliste et son maître	https://www.ebooksgratuits.com/details.php?book=184	Ebooks Libres & Gratuits	2012	Jacques le fataliste et son maître	Denis Diderot	unknown	unknown	1765-1784	Ebooks libres et gratuits contributors: Jean-Marc, PatriceC, Coolmicro.	Julia Dudar
Diderot_Neveu	Denis Diderot	1713	1784	Le Neveu de Rameau	M	1774	1862	dialogue novel	modern	semi-automatic transcription	33211	1	short	1	Q448	Q306	Q1336786	Q3978	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Le Neveu de Rameau	https://fr.wikisource.org/wiki/Le_Neveu_de_Rameau_(nouvelle_%C3%A9dition_par_Charles_Asselineau)	Wikisource	2020	Le Neveu de Rameau	Denis Diderot	Paris	Poulet-Malassis	1862	Wikisource contributors	Julia Dudar
Diderot_Oiseau	Denis Diderot	1713	1784	L'oiseau blanc	M	1798	unknown	heterodiegetic	modern	semi-automatic transcription	21719	1	short	98.38	Q448	Q306	Q3204457	Q3979	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2022	https://creativecommons.org/publicdomain/zero/1.0/deed.en	L’Oiseau blanc, conte bleu	https://intertextual-hub.uchicago.edu/philologic/hub18thcfrench/navigate/289/	The Intertextual Hub	unknown	L'Oiseau blanc: conte bleu	Denis Diderot	Paris	Garnier	unknown	Hub18thcFrench	Henning Gebhard, Johanna Konstanciak
Diderot_Pensees	Denis Diderot	1713	1784	Pensées philosophiques	M	1777	1746	heterodiegetic	modern	semi-automatic transcription	9631	1	short	77.33	Q448	Q306	Q3374872	Q3980	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2022	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Pensées philosophiques	https://intertextual-hub.uchicago.edu/philologic/hub18thcfrench/navigate/274/	The Intertextual Hub	unknown	Pensées philosophiques	Denis Diderot	Genève	R. Niklaus	1746	Hub18thcFrench	Henning Gebhard, Johanna Konstanciak
Diderot_Religieuse	Denis Diderot	1713	1784	La Religieuse	M	1796	1875	autodiegetic	modern	semi-automatic transcription	65542	1	medium	97.22	Q448	Q306	Q1209658	Q1089	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Œuvres complètes de Diderot, V, La Religieuse,	https://fr.wikisource.org/wiki/La_Religieuse	Wikisource	2017	La Religieuse	Denis Diderot	Paris	Garnier	1875	Wikisource contributors	Julia Dudar
Diderot_Supplement	Denis Diderot	1713	1784	Supplément au voyage de Bougainville	M	1796	1796	dialogue novel	modern	semi-automatic transcription	15831	1	short	98.38	Q448	Q306	Q1765222	Q3981	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Supplément au voyage de Bougainville	https://fr.wikisource.org/wiki/Suppl%C3%A9ment_au_voyage_de_Bougainville	Wikisource	2010	Supplément au voyage de Bougainville	Denis Diderot	Paris	Garnier	1796	Wikisource contributors	Pia Geißel
Doppet_Memoires	François Amédée Doppet	1753	1799	Mémoires de Mme de Warens	M	1786	1786	autodiegetic	historical	double keying	34946	1	short	86.32	Q3083791	Q313	Q123193881	Q1068	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Mémoires de Mme de Warens, suivis de ceux de Claude Anet, publiés par un                        C. D. M. D. P. (F.-A. Doppet) ; pour servir d'apologie aux Confessions de                        J.-J. Rousseau	https://gallica.bnf.fr/ark:/12148/bpt6k5813528x	Bibliothèque national de France	2010	Mémoires de Mme de Warens, suivis de ceux de Claude Anet	Claude Anet	Chambery	unknown	1786	"double keying by ""Jiangsu"", China"	Julia Dudar
Dorat_Malheurs	Claude-Joseph Dorat	1734	1780	Les Malheurs de l'inconstance ou Lettres de la marquise de Circé et du comte de Mirbelle	M	1772	1775	epistolary	historical	semi-automatic transcription	68524	1	medium	72.19	Q361456	Q314	Q123193884	Q1041	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Collection complète des Œuvres, t. 3., Les Malheurs de l'inconstance ou                        Lettres de la marquise de Circé et du comte de Mirbelle	https://www.frantext.fr/	Frantext	unknown	Les Malheurs de l'inconstance ou Lettres de la marquise de Circé et du                        comte de Mirbelle	Claude-Joseph Dorat	Neuchatel	unknown	1775	frantext	Amelie Probst
Dorat_Sacrifices	Claude-Joseph Dorat	1734	1780	Les Sacrifices de l'amour	M	1771	1771	epistolary	historical	semi-automatic transcription	75519	1	medium	71.25	Q361456	Q314	Q123193882	Q1038	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	LesSacrificesDeLAmour	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	txtlab	2016	Les Sacrifices de l'amour	Claude-Joseph Dorat	Amsterdam, Paris	Delalain	1771	unknown	Amelie Probst
Dorvigny_Tante	Dorvigny	1742	1812	Ma tante Geneviève ou je l'ai échappé belle	M	1800	1800	autodiegetic	modern	semi-automatic transcription	95686	4	medium	00.64	Q3037277	Q315	Q123001012	Q1186	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2022	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Ma tante Geneviève, ou Je l’ai échappé belle	https://fr.wikisource.org/wiki/Ma_tante_Genevi%C3%A8ve,_ou_Je_l%E2%80%99ai_%C3%A9chapp%C3%A9_belle	Wikisource	2022	Ma tante Geneviève, ou Je l'ai échappé belle	Dorvigny	Paris	Barba	1800	Wikisource contributors	Henning Gebhard, Johanna Konstanciak
