filename	au-name	title	au-gender	firsted-yr	printSource-yr	form	spelling	data-capture	token count
Fievee_Dot	     Joseph Fiévée	"
     La Dot de Suzette, ou Histoire de Mme de Senneterre racontée par elle-même
    "	M	"
      1797
     "	"
      1797
     "	"
      heterodiegetic
     "	"
      historical
     "	"
      semi-automatic transcription
     "	33262
Florian_Estelle	     Jean-Pierre Claris de Florian	"
     Estelle
    "	M	"
      1788
     "	"
      1788
     "	"
      heterodiegetic
     "	"
      historical
     "	"
      double keying
     "	38171
Fourqueux_Zely	     Marie-Louise Auget de Monthyon, Madame de Fourqueux	"
     Zély
    "	F	NA	NA	"
      heterodiegetic
     "	"
      historical
     "	"
      double keying
     "	25485
Genlis_Adele	Stéphanie Félicité Ducrest de Saint-Aubin de Genlis	Adèle et Théodore	F	1782	1782	epistolary	historical	semi-automatic transcription	262122
Genlis_Chevaliers	     Stéphanie Félicité Ducrest de Saint-Aubin de Genlis	"
     Les Chevaliers du cygne
    "	F	"
      1795
     "	"
      1795
     "	"
      heterodiegetic
     "	"
      historical
     "	"
      semi-automatic transcription
     "	193036
Gerard_Comte	     Philippe Louis Gérard	"
     Le Comte de Valmont ou les égarements de la raison, lettres recueillies et publiées
    "	M	"
      1774
     "	"
      1774
     "	"
      epistolary
     "	"
      historical
     "	"
      semi-automatic transcription
     "	180258
Gorjy_Voyage	     Jean-Claude Gorgy	"
     Nouveau voyage sentimental1
    "	M	"
      1791
     "	"
      1791
     "	"
      autodiegetic
     "	"
      historical
     "	"
      double keying
     "	19022
Jacquant_Lettres	Armand-Pierre Jacquin	Lettres parisiennes sur le désir d'être heureux, Partie 1	M	1758	1758	epistolary	historical	double keying	33411
Jacquin_Parisiennes2	Nikolaus Joseph Freiherr von Jacquin	Lettres parisiennes sur le désir d'être heureux — Partie 2	M	1758	1758	epistolary	historical	double keying	29192
Kimber_Thompson1	Edward Kimber	La vie et les aventures de Joseph Thompson — Partie 1	M	1762	1762	autodiegetic	historical	double keying	41227
Kimber_Thompson2	Edward Kimber	La vie et les aventures de Joseph Thompson — Partie 2	M	1762	1762	autodiegetic	historical	double keying	39136
LaPlace_Collection	     Pierre-Antoine de La Place	"
     Collection de romans et contes, imités de l'anglois
    "	M	"
      1788
     "	"
      1788
     "	"
      mixed
     "	"
      historical
     "	"
      double keying
     "	113019
LaPlace_Lydia	     Pierre-Antoine de La Place	"
     Lydia, ou Mémoires de Milord D***
    "	M	"
      1772
     "	"
      1772
     "	"
      autodiegetic
     "	"
      historical
     "	"
      double keying
     "	20877
Laclos_Liaisons	     Pierre Choderlos de Laclos	"
     Les Liaisons dangereuses
    "	M	NA	"
      1869
     "	"
      epistolary
     "	"
      modern
     "	NA	147955
Lagrave_Sophie1	Comtesse de Lagrave	Sophie de Beauregard, ou Le véritable amour — Tome 1	F	1798	1798	epistolary	historical	double keying	29281
Lagrave_Zabeth1	Comtesse de Lagrave	Zabeth, ou la Victime de l'ambition. Tome 1	F	1798	1798	heterodiegetic	historical	double keying	40077
Leonard_Lettres1	Nicolas-Germain Léonard	Lettres de deux amants habitants de Lyon (Tome 1)	M	1783	1783	epistolary	historical	double keying	36275
Lesuire_Aventurier1	Robert-Martin Lesuire	L'Aventurier François ou Mémoires de Grégoire Merveil	M	1782	1782	autodiegetic	historical	double keying	49384
Lesuire_Crime1	Robert-Martin Lesuire	Le crime, ou Lettres originales, contenant les aventures de César de Perlencour — Tome 1	M	1789	1789	epistolary	historical	double keying	48059
Loaisel_Comtesse	     Joseph Marie Loaisel de Tréogate	"
     La Comtesse d'Alibre
    "	M	"
      1779
     "	"
      1779
     "	"
      heterodiegetic
     "	"
      historical
     "	"
      double keying
     "	31565
Loaisel_Lucile	     Joseph Marie Loaisel de Tréogate	"
     Lucile de Milcourt ou le cri du sentiment
    "	M	"
      1794
     "	"
      1794
     "	"
      autodiegetic
     "	"
      historical
     "	"
      double keying
     "	32099
Louvet_Annee	     Jean-Baptiste Louvet de Couvrai	"
     Une année de la vie du chevalier de Faublas — Tome 2
    "	M	"
      1787
     "	"
      1884
     "	"
      autodiegetic
     "	"
      historical
     "	"
      semi-automatic transcription
     "	63775
Louvet_Fin	     Jean-Baptiste Louvet de Couvrai	"
     La Fin des amours de Faublas
    "	M	"
      1790
     "	"
      1884
     "	"
      autodiegetic
     "	"
      historical
     "	"
      semi-automatic transcription
     "	73119
Maistre_Voyage	     Xavier de Maistre	"
     Voyage autour de ma chambre
    "	M	"
      1794
     "	"
      1839
     "	"
      autodiegetic
     "	"
      modern
     "	NA	19706
Marmontel_Belisaire	Jean-François Marmontel	Bélisaire	M	1767	1767	heterodiegetic	modern	semi-automatic transcription	44239
Merard_Bergeries	     Anne-Jeanne-Félicité Mérard de Saint-Just	"
     Bergeries et opuscules de Mlle d'Ormoy l'aînée
    "	F	"
      1784
     "	"
      1784
     "	"
      dialogue novel
     "	"
      historical
     "	"
      double keying
     "	19837
Mirabeau_Conversion	     Honoré-Gabriel Riqueti de Mirabeau	"
     Ma Conversion ou le Libertin de qualité
    "	M	"
      1783
     "	"
      1783
     "	"
      autodiegetic
     "	"
      modern
     "	"
      semi-automatic transcription
     "	39959
Mirabeau_Rideau	     Honoré-Gabriel Riqueti de Mirabeau	"
     Le Rideau levé ou l'éducation de Laure
    "	M	"
      1786
     "	"
      1921
     "	"
      autodiegetic
     "	"
      modern
     "	"
      semi-automatic transcription
     "	43539
Morelly_Naufrage1	Étienne-Gabriel Morelly	Naufrage des isles flottantes	M	1753	1753	heterodiegetic	historical	double keying	44416
Morelly_Naufrage2	Étienne-Gabriel Morelly	Naufrage des isles flottantes	M	1753	1753	heterodiegetic	historical	double keying	55274
Nerciat_Aphrodites	     Robert-André Andréa de Nerciat	"
     Les Aphrodites
    "	M	"
      1764
     "	"
      1764
     "	"
      dialogue novel
     "	"
      historical
     "	"
      double keying
     "	109823
Nerciat_Etourdi	"
     Robert-André Andréa de Nerciat
    "	"
     L'Étourdi
    "	U	"
      1784
     "	"
      1784
     "	"
      autodiegetic
     "	"
      modern
     "	"
      semi-automatic transcription
     "	45680
